Variable,VIP_Score
YDL174C,3.346304802352493
YEL071W,3.109919257997383
YDL178W,2.9933971212809487
YAL060W,2.9439072199476763
YML054C,2.9016855664375987
YGR032W,2.8675819024292193
YMR306W,2.833307160584164
YLR342W,2.7934352011009347
YGR143W,2.7857517951047184
YPR159W,2.7800155392104204
YIL020C,2.771507083794456
YEL038W,2.7359129975549314
YMR009W,2.7163115613973337
YOL066C,2.710427200248339
YBR153W,2.6987829449847975
YER152C,2.662836739814032
YHR063C,2.617602568940176
YDR035W,2.435663522036596
YOR108W,2.4258396114226555
YNL104C,2.424382612451555
