,0
355,5.38E-01
356,5.39E-01
357,5.39E-01
358,5.39E-01
359,5.39E-01
360,5.40E-01
361,5.41E-01
362,5.41E-01
363,5.41E-01
364,5.42E-01
365,5.42E-01
366,5.42E-01
367,5.42E-01
368,5.43E-01
369,5.43E-01
370,5.44E-01
371,5.44E-01
372,5.44E-01
373,5.45E-01
374,5.45E-01
375,5.47E-01
376,5.47E-01
377,5.47E-01
378,5.47E-01
379,5.47E-01
380,5.47E-01
381,5.47E-01
382,5.48E-01
383,5.48E-01
384,5.50E-01
385,5.50E-01
386,5.50E-01
387,5.50E-01
388,5.52E-01
389,5.52E-01
390,5.52E-01
391,5.52E-01
392,5.52E-01
393,5.53E-01
394,5.53E-01
395,5.53E-01
396,5.53E-01
397,5.54E-01
398,5.54E-01
399,5.54E-01
400,4.55E-01
401,4.77E-01
402,4.88E-01
403,4.90E-01
404,4.96E-01
405,4.99E-01
406,5.04E-01
407,5.04E-01
408,5.06E-01
409,5.06E-01
410,5.07E-01
411,5.07E-01
412,5.08E-01
413,5.10E-01
414,5.11E-01
415,5.13E-01
416,5.14E-01
417,5.14E-01
418,5.17E-01
419,5.18E-01
420,5.18E-01
421,5.18E-01
422,5.19E-01
423,5.19E-01
424,5.20E-01
425,5.20E-01
426,5.21E-01
427,5.24E-01
428,5.24E-01
429,5.25E-01
430,5.25E-01
431,5.26E-01
432,5.28E-01
433,5.28E-01
434,5.28E-01
435,5.28E-01
436,5.30E-01
437,5.30E-01
438,5.30E-01
439,5.31E-01
440,5.31E-01
441,5.31E-01
442,5.32E-01
443,5.33E-01
444,5.34E-01
445,5.35E-01
446,5.36E-01
447,5.36E-01
448,5.37E-01
449,5.38E-01
450,5.38E-01
451,5.38E-01
452,5.38E-01
453,5.38E-01
454,5.39E-01
455,5.39E-01
456,5.39E-01
457,5.39E-01
458,5.40E-01
459,5.41E-01
460,5.41E-01
461,5.41E-01
462,5.42E-01
463,5.42E-01
464,5.42E-01
465,5.42E-01
466,5.43E-01
467,5.43E-01
468,5.44E-01
469,5.44E-01
470,5.44E-01
471,5.45E-01
472,5.45E-01
473,5.47E-01
474,5.47E-01
475,5.47E-01
476,5.47E-01
477,5.47E-01
478,5.47E-01
479,5.47E-01
480,5.48E-01
481,5.48E-01
482,5.50E-01
483,5.50E-01
484,5.50E-01
485,5.50E-01
486,5.52E-01
487,5.52E-01
488,5.52E-01
489,5.52E-01
490,5.53E-01
491,5.53E-01
492,5.53E-01
493,5.53E-01
494,5.54E-01
495,5.54E-01
496,5.54E-01
497,5.54E-01
498,5.54E-01
499,5.54E-01
500,4.55E-01
501,4.77E-01
502,4.88E-01
503,4.90E-01
504,4.96E-01
505,4.99E-01
506,5.04E-01
507,5.06E-01
508,5.06E-01
509,5.07E-01
510,5.07E-01
511,5.08E-01
512,5.10E-01
513,5.11E-01
514,5.13E-01
515,5.14E-01
516,5.14E-01
517,5.17E-01
518,5.18E-01
519,5.18E-01
520,5.18E-01
521,5.19E-01
522,5.19E-01
523,5.20E-01
524,5.20E-01
525,5.21E-01
526,5.24E-01
527,5.25E-01
528,5.25E-01
529,5.26E-01
530,5.28E-01
531,5.28E-01
532,5.28E-01
533,5.28E-01
534,5.30E-01
535,5.30E-01
536,5.30E-01
537,5.31E-01
538,5.31E-01
539,5.31E-01
540,5.32E-01
541,5.33E-01
542,5.34E-01
543,5.35E-01
544,5.36E-01
545,5.36E-01
546,5.37E-01
547,5.38E-01
548,5.38E-01
549,5.38E-01
550,5.38E-01
551,5.38E-01
552,5.39E-01
553,5.39E-01
554,5.39E-01
555,5.39E-01
556,5.40E-01
557,5.41E-01
558,5.41E-01
559,5.41E-01
560,5.42E-01
561,5.42E-01
562,5.42E-01
563,5.42E-01
564,5.43E-01
565,5.43E-01
566,5.44E-01
567,5.44E-01
568,5.44E-01
569,5.45E-01
570,5.45E-01
571,5.47E-01
572,5.47E-01
573,5.47E-01
574,5.47E-01
575,5.47E-01
576,5.47E-01
577,5.47E-01
578,5.48E-01
579,5.48E-01
580,5.50E-01
581,5.50E-01
582,5.50E-01
583,5.50E-01
584,5.52E-01
585,5.52E-01
586,5.52E-01
587,5.52E-01
588,5.53E-01
589,5.53E-01
590,5.53E-01
591,5.53E-01
592,5.54E-01
593,5.54E-01
594,5.54E-01
595,5.54E-01
596,5.54E-01
597,5.54E-01
598,5.55E-01
599,5.55E-01
600,4.55E-01
601,4.77E-01
602,4.88E-01
603,4.90E-01
604,4.99E-01
605,5.04E-01
606,5.06E-01
607,5.06E-01
608,5.07E-01
609,5.07E-01
610,5.08E-01
611,5.10E-01
612,5.11E-01
613,5.13E-01
614,5.14E-01
615,5.14E-01
616,5.17E-01
617,5.18E-01
618,5.18E-01
619,5.18E-01
620,5.19E-01
621,5.19E-01
622,5.20E-01
623,5.20E-01
624,5.21E-01
625,5.24E-01
626,5.25E-01
627,5.25E-01
628,5.26E-01
629,5.28E-01
630,5.28E-01
631,5.28E-01
632,5.28E-01
633,5.30E-01
634,5.30E-01
635,5.30E-01
636,5.31E-01
637,5.31E-01
638,5.31E-01
639,5.32E-01
640,5.33E-01
641,5.35E-01
642,5.36E-01
643,5.37E-01
644,5.38E-01
645,5.38E-01
646,5.38E-01
647,5.38E-01
648,5.38E-01
649,5.39E-01
650,5.39E-01
651,5.39E-01
652,5.39E-01
653,5.40E-01
654,5.41E-01
655,5.41E-01
656,5.42E-01
657,5.42E-01
658,5.42E-01
659,5.42E-01
660,5.43E-01
661,5.44E-01
662,5.44E-01
663,5.44E-01
664,5.45E-01
665,5.45E-01
666,5.47E-01
667,5.47E-01
668,5.47E-01
669,5.47E-01
670,5.47E-01
671,5.47E-01
672,5.47E-01
673,5.48E-01
674,5.48E-01
675,5.50E-01
676,5.50E-01
677,5.50E-01
678,5.50E-01
679,5.52E-01
680,5.52E-01
681,5.52E-01
682,5.52E-01
683,5.53E-01
684,5.53E-01
685,5.53E-01
686,5.53E-01
687,5.54E-01
688,5.54E-01
689,5.54E-01
690,5.54E-01
691,5.54E-01
692,5.54E-01
693,5.55E-01
694,5.55E-01
695,5.55E-01
696,5.55E-01
697,5.56E-01
698,5.56E-01
699,5.56E-01
700,4.55E-01
701,4.77E-01
702,4.88E-01
703,4.90E-01
704,4.99E-01
705,5.04E-01
706,5.06E-01
707,5.06E-01
708,5.07E-01
709,5.07E-01
710,5.08E-01
711,5.10E-01
712,5.11E-01
713,5.13E-01
714,5.14E-01
715,5.14E-01
716,5.17E-01
717,5.18E-01
718,5.18E-01
719,5.18E-01
720,5.19E-01
721,5.19E-01
722,5.20E-01
723,5.20E-01
724,5.21E-01
725,5.24E-01
726,5.25E-01
727,5.25E-01
