epoch,d_loss
0,0.6727498885658052
1,0.616743920577897
2,0.5537157480915388
3,0.4957967061135504
4,0.4525090712640021
5,0.4240724800361527
6,0.4646131205889914
7,0.4745413578218884
8,0.5357943293121126
9,0.5248409509658813
10,0.6487661947806677
11,0.6658865503138967
12,0.6783644879857699
13,0.7266923321617974
14,0.7102736466460757
15,0.7526328795486026
16,0.7301119334167905
17,0.7201447718673282
18,0.7176620728439755
19,0.6881160818868213
20,0.6996163096692827
21,0.7187144756317139
22,0.7254383630222745
23,0.7292944010761049
24,0.7157475302616755
25,0.7162007540464401
26,0.7244983199569914
27,0.7052035745647218
28,0.6941883729563819
29,0.6841886358128654
30,0.6706273274289237
31,0.674126148223877
32,0.6735442810588412
33,0.6731148825751411
34,0.6834005001518462
35,0.6842497222953372
36,0.6957085861100091
37,0.6913723482025994
38,0.6815006881952286
39,0.6836373541090224
40,0.6750586032867432
41,0.6764370219575034
42,0.6777148776584201
43,0.6687942660517163
44,0.6725492063495848
45,0.6714423216051526
46,0.6820061537954543
47,0.6987752798530791
48,0.7104595121410158
49,0.7326347281535467
50,0.7221493356757693
51,0.7202949507368935
52,0.7213716639412774
53,0.6919902215401331
54,0.697334435251024
55,0.6953923337989383
56,0.7034871495432324
57,0.6868426766660478
58,0.7073213309049606
59,0.6961217158370547
60,0.6979574097527398
61,0.6977361026737425
62,0.6943969014618132
63,0.7063653435972002
64,0.7036779622236887
65,0.6971659693453047
66,0.699107880393664
67,0.6966461853848563
68,0.7024425019820532
69,0.7057380792167451
70,0.6989912622504764
71,0.7039430522256427
72,0.6908660166793399
73,0.6973785327540504
74,0.6941987689998415
75,0.6959113130966822
76,0.6998661607503891
77,0.7019792795181274
78,0.6904386298524009
79,0.6906815088457532
80,0.695910448829333
81,0.6965215851863226
82,0.7033677895863851
83,0.7113495187626945
84,0.7046877923938963
85,0.7047010742955737
86,0.6975800924830966
87,0.7015275524722205
88,0.6975273920430077
89,0.6934747215774324
90,0.701434345708953
91,0.6966229892439313
92,0.6967875477340486
93,0.6919559687376022
94,0.6919014619456397
95,0.6911511487430997
96,0.6851733144786623
97,0.6952232089307573
98,0.689427086048656
99,0.6900606287850274
100,0.6927004141940011
101,0.6916921618911955
102,0.6911825935045878
103,0.6902417755789227
104,0.6937053600947062
105,0.6932985683282217
106,0.6874357908964157
107,0.6885745823383331
108,0.6908017065789964
109,0.6901703725258509
110,0.6952464050716824
111,0.692741913927926
112,0.6959194839000702
113,0.6969777709907956
114,0.6960420459508896
115,0.7005482696824603
116,0.7075669980711408
117,0.6986748692062166
118,0.7007521109448539
119,0.6957388553354475
120,0.696907843152682
121,0.6900241490867403
122,0.6946962740686204
123,0.70314921438694
124,0.7010515845484204
125,0.6936214996708764
126,0.6996529615587659
127,0.6963964038425021
128,0.6974426524506675
129,0.6948846992519166
130,0.6964005927244822
131,0.6880581710073683
132,0.6893484940131506
133,0.6918792062335544
134,0.6893752449088626
135,0.6933838658862643
136,0.6905767122904459
137,0.689521806107627
138,0.6944029695457883
139,0.6937544312742021
140,0.6944133142630259
141,0.6909584701061249
142,0.6937403314643436
143,0.6896369589699639
144,0.6893021083540387
145,0.6931228157546785
146,0.692151332894961
147,0.6965698401133219
148,0.7024770362509621
149,0.6971485598219765
150,0.6933772464593252
151,0.6926572140720155
152,0.6918197737799751
153,0.6899683558278613
154,0.6904665182034174
155,0.6970178220007155
156,0.6919835309187571
157,0.6919122752216127
158,0.6883095850547155
159,0.6886855264504751
160,0.6913076374265883
161,0.6910664306746589
162,0.6940640856822332
163,0.6948557330502404
164,0.694275912311342
165,0.6954975260628594
166,0.6921851933002472
167,0.6908760567506155
168,0.6920750306712257
169,0.6875932614008585
170,0.6948942012257047
171,0.6889763805601332
172,0.6876901437838873
173,0.6902401513523526
174,0.6925417366955016
175,0.6937088039186265
176,0.7052976820203993
177,0.7000344528092278
178,0.6975553648339378
179,0.6942420452833176
180,0.6939436561531491
181,0.6903441713915931
182,0.6937062193950018
183,0.6953164719873004
184,0.6961225635475583
185,0.6953714821073744
186,0.6918700502978431
187,0.6925333523088031
188,0.6995358318090439
189,0.6979078898827235
190,0.6913910673724281
191,0.6984624167283376
192,0.6954547415177027
193,0.6943207995759116
194,0.6873061011234919
195,0.6880556212531196
196,0.6940930287043253
197,0.6874957945611742
198,0.6910367988877826
199,0.6899422887298796
200,0.6921190884378221
201,0.6961289611127641
202,0.6952487263414595
203,0.6956196162435744
204,0.6960659970839819
205,0.6962880078289244
206,0.6911989003419876
207,0.6914544006188711
208,0.6918666313091913
209,0.6928774416446686
210,0.6975854138533274
211,0.6935978134473165
212,0.6929222196340561
213,0.694203774134318
214,0.6920142587688234
215,0.6910855422417322
216,0.6916117701265547
217,0.6962225486834844
218,0.6974129345681932
219,0.6980273326237997
220,0.6923240340418286
221,0.6943311558829414
222,0.6906253049770991
223,0.6851406113968955
224,0.6898402124643326
225,0.6945944295989143
226,0.6921955164935853
227,0.6955863883097967
228,0.6942722433143191
229,0.6941782981157303
230,0.6941873745785819
231,0.6927575833267636
232,0.6939239402612051
233,0.6889742927418815
234,0.6878051393561893
235,0.6964250952005386
236,0.6966864963372549
237,0.696025205983056
238,0.6931707478231854
239,0.6920444253418181
240,0.6937511132823097
241,0.6861696243286133
242,0.6890211684836282
243,0.6954698910315832
244,0.6992598689264722
245,0.6979068534241782
246,0.6954959763420953
247,0.6922051989369922
248,0.6903476963440577
249,0.6892116020123163
250,0.6866218762265311
251,0.6933828310834037
252,0.6897519247399436
253,0.6939204831918081
254,0.6904755516184701
255,0.69346917172273
256,0.6937574628326628
257,0.6884827448262109
258,0.6894610457950168
259,0.6943067875173357
260,0.6944538205862045
261,0.689455078707801
262,0.6950307670566771
263,0.6967391388283836
264,0.6944119185209274
265,0.6913845009273953
266,0.6939042922523286
267,0.6921498262219958
268,0.6909098029136658
269,0.6928238289223777
270,0.6985240131616592
271,0.6932752049631543
272,0.6924308356311586
273,0.6925975117418501
274,0.6918255670203103
275,0.6908775501781039
276,0.6915116376347012
277,0.6899374425411224
278,0.6870660831530889
279,0.6880380246374342
280,0.6898988054858314
281,0.6908949679798551
282,0.6930825445387099
283,0.6933933049440384
284,0.6920887000030942
285,0.6890899886687597
286,0.691508659058147
287,0.6880272891786363
288,0.6893109232187271
289,0.6907098210520215
290,0.6885441690683365
291,0.6858809805578656
292,0.6902095162206225
293,0.6911802589893341
294,0.6852300746573342
295,0.6890514343976974
296,0.687308261791865
297,0.6847253176901076
298,0.6881658004389869
299,0.6925855841901567
300,0.6948356197939979
301,0.6930072042677138
302,0.6925540169080099
303,0.6915303998523288
304,0.6876906951268514
305,0.6919631808996201
306,0.6886065072483487
307,0.6899421430296369
308,0.6912461635139253
309,0.6890991462601556
310,0.6940118124087652
