Value,Category,Type
264,Bay,Number
258,Bay,Number
270,Bay,Number
272,Bay,Number
271,Bay,Number
272,Bay,Number
275,Bay,Number
269,Bay,Number
272,Bay,Number
266,Gan,Number
271,Gan,Number
271,Gan,Number
273,Gan,Number
276,Gan,Number
270,Gan,Number
266,Gan,Number
270,Gan,Number
271,Gan,Number
116,Bay,Extra
110,Bay,Extra
81,Bay,Extra
76,Bay,Extra
63,Bay,Extra
59,Bay,Extra
59,Bay,Extra
65,Bay,Extra
65,Bay,Extra
72,Gan,Extra
64,Gan,Extra
55,Gan,Extra
54,Gan,Extra
48,Gan,Extra
48,Gan,Extra
49,Gan,Extra
52,Gan,Extra
48,Gan,Extra
0.341130815,Bay,Corr_All
0.349947519,Bay,Corr_All
0.344609546,Bay,Corr_All
0.328824168,Bay,Corr_All
0.332182526,Bay,Corr_All
0.342649998,Bay,Corr_All
0.312160943,Bay,Corr_All
0.273338978,Bay,Corr_All
0.286524187,Bay,Corr_All
0.329252028,Gan,Corr_All
0.357311392,Gan,Corr_All
0.353757145,Gan,Corr_All
0.365851925,Gan,Corr_All
0.375108643,Gan,Corr_All
0.364534883,Gan,Corr_All
0.330813666,Gan,Corr_All
0.314742678,Gan,Corr_All
0.396744491,Gan,Corr_All
