generation,label_in_plot,PC1,PC2
0,1,-0.9040622499853546,-0.27538795797687615
1,2,-0.9511607980207665,-0.267143146770389
2,3,-1.054117246793391,-0.2240065796134426
3,4,-0.9965257650371279,-0.15210296684277208
4,5,-1.0054352883422382,-0.10905452741283504
5,6,-0.7960501132518761,-0.008646002665066165
6,7,-0.7765534582302153,0.024773644389917603
7,8,-0.5976966517424659,0.09254084670245115
8,9,-0.32891887838532957,0.18616065128246778
9,10,-0.29440977761372505,0.2001957506316773
10,11,-0.24180519578933132,0.22322019178992364
11,12,-0.1918493165128681,0.23390985392771957
12,13,-0.14759758895568806,0.24584134501235405
13,14,-0.1096283803668292,0.2423973397183754
14,15,-0.049255979084959926,0.22667181495118405
15,16,0.01507217539813632,0.22462363800846283
16,17,0.020461538059920455,0.21560208780897377
17,18,0.013781575596924991,0.19193831425429556
18,19,0.04655958464657669,0.17625397160588818
19,20,0.05023815739638469,0.17385457077326458
20,21,0.10342972778571391,0.12066249896838888
21,22,0.12017518082279925,0.10353566385557197
22,23,0.14078821070382647,0.07760252774637985
23,24,0.1456026951058657,0.07254684733966177
24,25,0.15449404474472322,0.05972291801001954
25,26,0.16042900467825327,0.04937377294101072
26,27,0.18056553885431706,0.009142009679801461
27,28,0.20368491748454715,0.0031858371239167817
28,29,0.21917215911820864,-0.0032814027841042512
29,30,0.22794526690618566,-0.030164196826099207
30,31,0.23441294208519717,-0.04674639022983545
31,32,0.24423245072652838,-0.052145232169237485
32,33,0.2514912315736101,-0.06793491051615923
33,34,0.2564775914181649,-0.06515205824464561
34,35,0.2889118108496112,-0.05824447581232328
35,36,0.2983782288979682,-0.06965620323443876
36,37,0.315077735996571,-0.09835197494546023
37,38,0.3196945694178695,-0.0934615251566092
38,39,0.33868535701628855,-0.09594728388428765
39,40,0.3484541779809724,-0.10032601518030095
40,41,0.35284821376890335,-0.11634884191333597
41,42,0.35681589700574146,-0.11629612724438707
42,43,0.35412935040476473,-0.1200973222481924
43,44,0.3608377527720002,-0.13376805324421828
44,45,0.36332000977714585,-0.14438683709385763
45,46,0.37774569314252004,-0.14713778693060658
46,47,0.3995329511836258,-0.13876336396523606
47,48,0.39323022642895433,-0.1409498408728462
48,49,0.3910145033838893,-0.1415885941778546
49,50,0.3973762169794619,-0.13666647856630681
