generation,kcat_index,abs_log10_var_plus_eps
0,kcat_0,0.3974544940935863
1,kcat_0,0.3740800552101631
2,kcat_0,0.30288826629696447
3,kcat_0,0.25559777528917577
4,kcat_0,0.2333149764432273
5,kcat_0,0.21411902241593392
6,kcat_0,0.19639012464394368
7,kcat_0,0.1578158081306343
8,kcat_0,0.10275451607261168
9,kcat_0,0.09784168753039336
10,kcat_0,0.09630610843359678
11,kcat_0,0.08442230954397482
12,kcat_0,0.0807100638054582
13,kcat_0,0.08005761918178342
14,kcat_0,0.08524173509787229
15,kcat_0,0.0653307878671404
16,kcat_0,0.06320348001096096
17,kcat_0,0.05853992551993069
18,kcat_0,0.045420453408686084
19,kcat_0,0.03724890688284089
20,kcat_0,0.020843188140022357
21,kcat_0,0.009913885963258052
22,kcat_0,0.005009064287228775
23,kcat_0,0.004135931418861708
24,kcat_0,0.008833167665357036
25,kcat_0,0.012973886373809614
26,kcat_0,0.01668529082380139
27,kcat_0,0.01650169365634064
28,kcat_0,0.021499936043789532
29,kcat_0,0.02346791188541261
30,kcat_0,0.029178711877941577
31,kcat_0,0.0292360594036125
32,kcat_0,0.029546340332787784
33,kcat_0,0.03220131337539156
34,kcat_0,0.03978759305874146
35,kcat_0,0.04088996688692323
36,kcat_0,0.04627929216540653
37,kcat_0,0.04829849527136794
38,kcat_0,0.054670404582863055
39,kcat_0,0.05729376074200752
40,kcat_0,0.05871457833061182
41,kcat_0,0.057767366697836144
42,kcat_0,0.06268343267591861
43,kcat_0,0.06633403687366456
44,kcat_0,0.07401520557834923
45,kcat_0,0.07789870654677267
46,kcat_0,0.08139707060014113
47,kcat_0,0.08275709442575664
48,kcat_0,0.08729189918216239
49,kcat_0,0.08913447604949311
0,kcat_1,0.9366457286396901
1,kcat_1,0.8163561167053652
2,kcat_1,0.6746202059152979
3,kcat_1,0.5205955486523024
4,kcat_1,0.44812390887052844
5,kcat_1,0.40977494289637517
6,kcat_1,0.37415387307098824
7,kcat_1,0.3056795950127511
8,kcat_1,0.27310356920948997
9,kcat_1,0.2656920431985859
10,kcat_1,0.2553274193140834
11,kcat_1,0.23714095710296687
12,kcat_1,0.22520244847798557
13,kcat_1,0.22747344976259606
14,kcat_1,0.21365664383271782
15,kcat_1,0.1757239492399198
16,kcat_1,0.17091851253896018
17,kcat_1,0.16348788728780098
18,kcat_1,0.15061721426850266
19,kcat_1,0.14646178442641133
20,kcat_1,0.13531075553227323
21,kcat_1,0.1279395355265283
22,kcat_1,0.11925884081742892
23,kcat_1,0.11503366948049899
24,kcat_1,0.10651789262967609
25,kcat_1,0.09778116422890237
26,kcat_1,0.0892470444080969
27,kcat_1,0.08601785014931712
28,kcat_1,0.07962450686117224
29,kcat_1,0.07186496765438186
30,kcat_1,0.06788947288977254
31,kcat_1,0.06408056390666149
32,kcat_1,0.05577478558534238
33,kcat_1,0.05256202014661125
