PC,singular_value,explained_variance,explained_variance_ratio
PC1,3.0518520847407826,0.19007757443136045,0.7795320459023144
PC2,1.0342045645497606,0.021828144517052242,0.08951996680583554
PC3,0.6889882791289477,0.00968785405667487,0.03973110828984155
PC4,0.5287540759658612,0.005705732098990036,0.02339992516109453
PC5,0.44147277984958877,0.003977514598941295,0.01631228777090008
PC6,0.3279211600673771,0.0021945364738762112,0.009000070168223526
PC7,0.2693044181252117,0.001480099380035895,0.006070073764934198
PC8,0.25013179254058676,0.0012768553803993294,0.00523654455283204
PC9,0.23745681144809375,0.0011507293327162357,0.0047192857636976105
PC10,0.1997456119093164,0.0008142512138168824,0.0033393466666649225
PC11,0.18004024702216131,0.0006615202152612422,0.002712977626903342
PC12,0.1566319014120678,0.0005006847457134637,0.0020533711320008395
PC13,0.15249817220636894,0.0004746059699241501,0.0019464187915867286
PC14,0.1364369632677391,0.00037989887644331407,0.001558013086371683
PC15,0.1304634818466446,0.00034736163460305643,0.001424573764160037
PC16,0.12538420295232217,0.00032084078265283905,0.0013158084137936215
PC17,0.11837232327302886,0.00028595932483784593,0.0011727551669499443
PC18,0.11380520096658965,0.000264318852388691,0.0010840048669050841
PC19,0.10851471829376624,0.0002403151854362336,0.000985562808894901
PC20,0.09575629537636143,0.00018712792049397912,0.000767435144016916
PC21,0.09428054984440316,0.00018140453222373448,0.00074396280867623
PC22,0.09191295002923727,0.0001724079670015728,0.0007070667628659556
PC23,0.08485843754798894,0.00014695825353236612,0.0006026942861672778
PC24,0.08181771753148417,0.00013661507963391291,0.0005602756287622389
PC25,0.07932663457610967,0.00012842275414635994,0.000526677871282879
PC26,0.07436366563744923,0.00011285621973547647,0.0004628375552791268
PC27,0.07265267638195154,0.00010772268133593018,0.0004417842684656342
PC28,0.06710286973513134,9.189377809571439e-05,0.0003768679448848584
PC29,0.06519278780705937,8.673672616441364e-05,0.0003557182261194653
PC30,0.06267020298205449,8.015417024105941e-05,0.0003287223361437559
PC31,0.059422331387047264,7.206149933616454e-05,0.00029553327464515753
PC32,0.05880079245253877,7.056190189890898e-05,0.00028938323689456624
PC33,0.05705314185863302,6.642981624370007e-05,0.0002724370337757349
PC34,0.05449664102839857,6.060987517098233e-05,0.0002485687232450527
PC35,0.05073965236790252,5.254106780439991e-05,0.00021547752911928265
PC36,0.04852831594497733,4.8061172417460015e-05,0.00019710491453359577
PC37,0.04733206590611611,4.572090740695753e-05,0.0001875071933029443
PC38,0.044617962829255814,4.062780830679293e-05,0.00016661975314377782
PC39,0.042749282399164396,3.729594174782667e-05,0.00015295534921209577
PC40,0.04046597143601694,3.3418262127766105e-05,0.00013705249724956146
PC41,0.03997966315620901,3.2619866654774205e-05,0.0001337781769707888
PC42,0.038569669436469556,3.0359579600786404e-05,0.00012450845540162026
PC43,0.03692630900484708,2.7827597892274498e-05,0.00011412447987305901
PC44,0.03635052542427565,2.69665448698145e-05,0.00011059319310113632
PC45,0.0340222634599617,2.362274308038867e-05,9.687984128779963e-05
PC46,0.031098665331415046,1.9737285416231757e-05,8.094509058789094e-05
PC47,0.02937396227470647,1.760876856563018e-05,7.221577520047171e-05
PC48,0.02829648471051225,1.6340633611678644e-05,6.701499421359598e-05
PC49,0.02422496068788191,1.197650449651886e-05,4.911715167272925e-05
PC50,8.406112232154755e-14,1.4420963848894246e-28,5.914218700781738e-28
