Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b1709,1.04E-06,1.75E-06,0,7.80E-07,1.33E-06,1.15E-06,2.77E-06,7.62E-07,1.13E-06,1.01E-06,1.12E-06,1.40E-06,0,0,8.02E-07,1.99E-06,0
b3500,1.64E-05,2.32E-05,2.63E-05,1.27E-05,1.64E-05,2.03E-05,1.65E-05,1.61E-05,1.57E-05,1.42E-05,1.29E-05,1.12E-05,2.05E-05,1.90E-05,1.61E-05,1.78E-05,1.88E-05
b3008,3.54E-05,5.28E-06,5.98E-06,1.26E-05,1.57E-05,1.33E-05,1.67E-05,1.73E-05,1.93E-05,1.69E-05,1.54E-05,1.29E-05,1.71E-05,1.67E-05,1.05E-05,1.07E-05,1.46E-05
b0115,0.000150371,0.000371005,0.000168088,5.92E-05,0.000106304,9.46E-05,9.37E-05,0.000363434,0.000117359,0.000104639,8.54E-05,9.31E-05,0.000225632,0.000113119,8.12E-05,0.000114482,0.00018626
b0273,2.48E-06,1.79E-07,2.88E-07,6.58E-07,1.16E-06,7.29E-07,8.62E-07,5.33E-07,1.61E-06,6.99E-07,1.15E-06,1.29E-06,7.48E-07,5.82E-07,3.97E-07,6.03E-07,8.92E-07
b3640,5.25E-05,9.55E-05,8.74E-05,1.84E-05,3.43E-05,3.60E-05,3.81E-05,3.91E-05,3.19E-05,2.34E-05,1.67E-05,1.29E-05,4.45E-05,3.32E-05,2.65E-05,4.05E-05,4.29E-05
b0150,1.45E-05,9.13E-06,1.81E-05,9.71E-06,1.50E-05,1.39E-05,1.47E-05,1.35E-05,1.88E-05,1.19E-05,8.77E-06,7.67E-06,1.67E-05,1.42E-05,1.27E-05,1.47E-05,1.53E-05
b3805,3.73E-06,1.22E-05,1.15E-05,2.25E-06,3.05E-06,3.73E-06,7.25E-06,3.70E-06,2.75E-06,2.78E-06,2.68E-06,1.97E-06,3.22E-06,3.34E-06,3.11E-06,3.28E-06,3.11E-06
b2020,5.73E-05,1.29E-05,7.47E-05,1.77E-05,2.43E-05,2.87E-05,4.08E-05,2.87E-05,2.82E-05,2.37E-05,2.47E-05,1.80E-05,3.50E-05,3.10E-05,2.30E-05,2.28E-05,3.28E-05
b2215,0.000557961,0.001227515,0.000367015,0.000696832,0.000520764,0.000270301,0.000446369,0.000709231,0.000218969,0.00023236,0.000305019,0.000389333,0.000545562,0.000416611,0.000528204,0.000443889,0.000498446
b1723,1.56E-05,1.01E-05,1.34E-05,1.34E-05,1.39E-05,1.34E-05,1.40E-05,1.30E-05,1.31E-05,1.08E-05,9.56E-06,7.68E-06,2.94E-05,2.56E-05,1.84E-05,1.92E-05,1.91E-05
b1603,3.23E-05,1.49E-05,1.13E-05,9.93E-06,1.46E-05,2.79E-05,2.24E-05,2.35E-05,4.43E-05,3.26E-05,2.46E-05,1.85E-05,2.82E-05,2.13E-05,1.31E-05,2.03E-05,4.78E-05
b0871,4.28E-06,2.82E-06,2.86E-06,7.22E-06,5.76E-06,6.02E-06,4.63E-06,2.50E-06,7.17E-06,7.81E-06,1.02E-05,1.44E-05,3.81E-06,5.50E-06,8.49E-06,4.42E-06,4.15E-06
b0243,1.57E-05,2.02E-05,1.64E-05,1.14E-05,1.23E-05,1.31E-05,1.58E-05,1.33E-05,1.55E-05,1.42E-05,1.34E-05,1.26E-05,1.72E-05,1.32E-05,1.53E-05,1.36E-05,1.77E-05
