Gene_ID,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17
b4053,2.42E-07,2.42E-07,2.17E-07,2.81E-07,1.14E-07,1.93E-07,1.21E-07,2.18E-07,2.33E-07,1.55E-07,1.48E-07,1.38E-07,2.63E-07,1.21E-07,1.36E-07,1.55E-07,2.04E-07
b2530,0.000226451,0.000211798,0.000261972,0.000157405,0.000149857,0.000166064,0.000204916,0.000163178,0.000206692,0.000138535,0.000109673,7.24E-05,0.000257532,0.000204694,0.000150079,0.000142975,0.000241991
b3959,0.000106177,6.71E-06,8.74E-06,3.91E-05,4.87E-05,5.68E-05,6.41E-05,6.49E-05,4.57E-05,2.92E-05,3.11E-05,3.76E-05,6.12E-05,5.90E-05,4.57E-05,6.01E-05,9.11E-05
b0908,3.41E-05,1.09E-05,1.67E-05,1.06E-05,1.28E-05,2.13E-05,1.91E-05,1.69E-05,1.33E-05,9.16E-06,7.38E-06,6.15E-06,2.71E-05,1.37E-05,1.44E-05,1.51E-05,2.74E-05
b3390,3.51E-05,5.33E-05,3.99E-05,1.47E-05,2.00E-05,2.16E-05,2.03E-05,1.76E-05,1.77E-05,1.28E-05,9.79E-06,7.74E-06,2.51E-05,2.07E-05,1.34E-05,2.16E-05,2.58E-05
b0388,1.13E-05,5.91E-06,4.36E-06,6.69E-06,6.96E-06,8.73E-06,5.96E-06,9.47E-06,7.43E-06,6.80E-06,4.69E-06,3.08E-06,5.12E-06,5.33E-06,4.33E-06,6.96E-06,7.22E-06
b3172,0.000138218,1.72E-05,2.17E-05,3.97E-05,5.28E-05,6.78E-05,7.14E-05,5.56E-05,7.12E-05,4.13E-05,3.95E-05,3.71E-05,8.08E-05,6.58E-05,4.77E-05,6.36E-05,9.83E-05
b3731,0.00016821,0.000255307,0.000355701,0.000118345,0.00019148,0.000190815,0.000199458,0.000214085,0.000140951,0.00011768,8.98E-05,6.85E-05,0.000171534,0.000186826,0.000117016,0.000187491,0.000212091
b0032,0.000153671,1.31E-05,1.20E-05,4.93E-05,8.22E-05,7.78E-05,9.66E-05,6.64E-05,8.07E-05,4.45E-05,3.09E-05,2.49E-05,9.93E-05,6.96E-05,5.73E-05,9.21E-05,0.000124918
b3926,8.24E-06,0.00021895,0.000414759,8.76E-06,1.14E-05,7.07E-06,0.000462821,1.02E-05,1.41E-05,1.89E-05,1.80E-05,1.69E-05,6.78E-06,1.30E-05,6.89E-06,9.47E-06,7.05E-06
b1249,1.70E-07,2.30E-07,1.22E-07,1.58E-07,1.51E-07,2.65E-07,1.55E-07,1.47E-07,6.68E-07,4.93E-07,4.88E-07,5.06E-07,2.28E-07,1.79E-07,1.23E-07,1.90E-07,3.87E-07
b0910,1.58E-05,3.00E-05,1.47E-05,8.86E-06,1.02E-05,1.08E-05,1.20E-05,1.10E-05,9.35E-06,7.69E-06,7.49E-06,7.93E-06,1.30E-05,1.08E-05,1.09E-05,1.08E-05,1.20E-05
b3634,1.02E-06,1.07E-06,9.27E-07,4.91E-07,5.90E-07,6.74E-07,9.60E-07,6.46E-07,6.80E-07,4.46E-07,4.37E-07,5.41E-07,7.92E-07,9.49E-07,9.10E-07,1.02E-06,9.21E-07
b1189,8.41E-07,1.82E-05,1.78E-05,2.71E-06,1.28E-06,1.23E-06,1.43E-06,2.86E-06,3.20E-06,1.97E-06,1.05E-06,1.06E-06,5.47E-06,2.31E-06,1.38E-06,2.25E-06,4.31E-06
b3809,6.00E-06,5.20E-06,0,3.58E-06,4.28E-06,4.91E-06,3.91E-06,3.04E-06,4.18E-06,1.69E-06,2.54E-06,2.10E-06,0,0,2.66E-06,3.81E-06,0
b4383,1.68E-05,9.93E-05,2.78E-05,2.20E-05,2.28E-05,2.05E-05,1.97E-05,1.71E-05,2.20E-05,2.35E-05,2.37E-05,2.37E-05,2.37E-05,2.28E-05,2.84E-05,2.09E-05,2.02E-05
b4381,1.93E-05,0.000119141,2.14E-05,1.42E-05,1.36E-05,1.80E-05,1.39E-05,1.30E-05,1.47E-05,1.32E-05,1.34E-05,1.48E-05,2.42E-05,1.51E-05,1.45E-05,1.17E-05,1.53E-05
b2478,5.96E-05,6.56E-05,7.91E-05,3.78E-05,5.09E-05,5.73E-05,6.31E-05,5.51E-05,5.09E-05,3.81E-05,3.20E-05,2.00E-05,8.23E-05,6.05E-05,3.84E-05,6.69E-05,8.20E-05
b3225,1.35E-06,9.89E-05,1.35E-05,1.54E-06,2.79E-06,2.59E-06,2.89E-06,2.04E-06,2.18E-06,2.39E-06,1.57E-06,1.00E-06,1.16E-06,3.26E-06,6.67E-07,2.50E-06,1.38E-06
b1185,5.97E-07,1.56E-06,1.22E-06,3.13E-07,4.58E-07,5.47E-07,4.83E-07,6.27E-07,1.28E-06,1.02E-06,8.06E-07,6.07E-07,5.62E-07,3.34E-07,3.62E-07,5.67E-07,6.12E-07
b2779,0.000600766,0.000664351,0.000681892,0.000320116,0.000355198,0.000513063,0.000440708,0.000324502,0.000399049,0.000260917,0.000234606,0.000243376,0.000787136,0.000442901,0.000431938,0.000390279,0.000872646
b0954,3.43E-05,9.72E-05,8.87E-05,1.67E-05,3.20E-05,5.15E-05,3.52E-05,2.30E-05,4.25E-05,3.12E-05,2.96E-05,2.51E-05,3.20E-05,3.46E-05,2.74E-05,3.75E-05,3.65E-05
b0180,8.17E-05,0.00015173,0.00011468,4.64E-05,5.10E-05,7.70E-05,7.00E-05,5.51E-05,8.29E-05,6.41E-05,5.46E-05,4.75E-05,9.41E-05,8.06E-05,6.12E-05,6.65E-05,9.35E-05
b1091,3.52E-05,5.91E-05,5.20E-05,2.46E-05,2.78E-05,2.96E-05,3.14E-05,3.23E-05,2.41E-05,2.29E-05,2.07E-05,1.82E-05,2.73E-05,2.28E-05,1.93E-05,2.02E-05,2.62E-05
b3608,5.42E-06,1.57E-05,8.59E-06,5.09E-06,5.78E-06,5.07E-06,5.01E-06,5.37E-06,5.42E-06,5.04E-06,4.54E-06,4.57E-06,4.49E-06,4.60E-06,2.97E-06,4.24E-06,3.61E-06
b4025,7.65E-05,9.65E-05,0.000121517,4.85E-05,5.32E-05,7.08E-05,7.47E-05,4.28E-05,6.26E-05,5.06E-05,4.44E-05,4.05E-05,9.29E-05,6.47E-05,5.74E-05,5.24E-05,7.69E-05
b0757,6.14E-06,2.97E-05,2.25E-05,8.65E-06,1.01E-05,1.32E-05,9.81E-06,8.58E-06,8.79E-06,9.78E-06,9.16E-06,7.34E-06,7.17E-06,1.29E-05,7.92E-05,1.18E-05,8.29E-06
b2153,0.000235513,2.75E-05,4.27E-05,4.84E-05,8.07E-05,9.68E-05,0.000113724,8.47E-05,9.60E-05,5.28E-05,3.46E-05,2.15E-05,0.00016615,7.06E-05,5.77E-05,8.71E-05,0.000145986
b3430,3.99E-06,5.12E-06,4.71E-06,4.77E-06,3.54E-06,4.28E-06,4.85E-06,5.14E-06,7.09E-06,6.35E-06,6.21E-06,6.60E-06,4.46E-06,4.32E-06,3.00E-06,3.54E-06,4.56E-06
b0087,3.39E-07,4.87E-07,2.74E-07,3.06E-07,3.94E-07,3.84E-07,4.07E-07,5.50E-07,5.67E-07,4.19E-07,3.67E-07,3.21E-07,4.02E-07,1.86E-07,2.45E-07,1.71E-07,3.54E-07
b1210,1.00E-07,3.80E-07,1.27E-10,5.62E-09,6.81E-08,3.48E-09,7.00E-08,1.21E-07,1.63E-08,7.78E-08,3.07E-09,5.49E-08,4.39E-09,7.54E-08,7.00E-08,8.08E-08,5.06E-08
b1215,4.38E-05,6.85E-05,6.59E-05,4.45E-05,4.87E-05,4.64E-05,5.33E-05,4.12E-05,5.52E-05,4.42E-05,3.41E-05,2.77E-05,4.94E-05,3.41E-05,3.86E-05,3.96E-05,4.77E-05
b1207,0.000123469,0.000155653,0.000188714,9.16E-05,0.000138975,0.000129613,0.000130783,0.000129905,0.000114106,8.05E-05,5.88E-05,5.24E-05,0.000125224,0.000108547,8.54E-05,0.000162382,0.000145997
b1098,3.38E-06,4.51E-06,4.80E-06,1.52E-06,1.72E-06,2.35E-06,1.83E-06,2.06E-06,1.94E-06,1.15E-06,1.20E-06,1.03E-06,2.06E-06,1.48E-06,8.13E-07,1.16E-06,1.27E-06
b0096,2.18E-06,2.21E-06,2.47E-06,1.49E-06,2.16E-06,1.98E-06,1.90E-06,1.82E-06,1.64E-06,1.64E-06,2.05E-06,1.68E-06,1.80E-06,2.10E-06,2.21E-06,1.80E-06,1.67E-06
b0963,1.44E-05,3.74E-05,3.74E-05,1.97E-05,2.30E-05,2.71E-05,2.59E-05,2.61E-05,2.16E-05,2.14E-05,1.73E-05,1.53E-05,7.58E-06,1.08E-05,9.00E-06,1.50E-05,1.03E-05
b0783,5.25E-06,6.71E-06,3.82E-06,2.59E-06,3.06E-06,4.15E-06,3.36E-06,3.22E-06,2.94E-06,2.30E-06,1.72E-06,1.64E-06,5.70E-06,3.61E-06,3.34E-06,3.69E-06,5.45E-06
