,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
G6PDH2r_REV,2.984680326,0.506256188,3.764693755,0.191776181
MOHMT,-0.107071818,0.00083358,-0.106855087,0.000804912
GMPS,0.408141859,0.054280145,0.460501311,0.044891412
FTHFLi,0.783903579,1,0.783903579,1
UDPGD,-0.931814138,1,-0.931814138,1
GLCRD,1.387258483,0.156809561,1.468799455,0.133941437
CHRPL,-0.218556309,0.449005231,0.086767248,0.329216073
TDPAGTA,-0.420216403,1,-0.420216403,1
FBA3,-2.522878745,1,-2.522878745,1
FBA3_REV,-2.698970004,1,-2.698970004,1
PMPK,-1.123928274,0.043803407,-1.087069588,0.041253182
LCADi,0.638459544,1.129831433,2.171890555,0.928507563
GLUDC,0.61456384,1.158197807,1.193662744,1.003028723
ADSK,0.326606257,1.372363747,0.957893581,1.21854773
HSDy,1.380211242,1,1.380211242,1
HSDy_REV,1.380211242,1,1.380211242,1
CYSTL,1.656098202,1,1.656098202,1
SHSL1,1.359932725,1.095600614,2.060274837,0.076336931
SSALy,1.013103149,0.341005291,1.156325371,0.309470521
NTP3pp,-0.296763215,0.35594546,0.30580075,0.086624187
THD2pp,2.33551466,0.080410784,2.38967375,0.049290325
ACACT7r,3.401734788,2.334710817,5.302165887,2.185958056
ACACT7r_REV,3.401734788,2.334710817,5.398083487,2.139429675
PSP_L,-0.823908741,1,-0.823908741,1
ACACT2r,3.401734788,2.334710817,5.392084575,2.149617411
ACACT2r_REV,3.401734788,2.334710817,5.541959888,2.059315104
ACACT3r,3.401734788,2.334710817,4.912496573,2.331815544
ACACT3r_REV,3.401734788,2.334710817,5.299166431,2.190820408
ACACT4r,3.401734788,2.334710817,4.717661917,2.377594931
ACACT4r_REV,3.401734788,2.334710817,5.149291118,2.259865678
AHGDx,1.522444234,1,1.522444234,1
AHGDx_REV,1.522444234,1,1.522444234,1
GTPCI,-2.728030116,0.207305928,-2.555088684,0.164217612
FDMO,-0.065501549,1,-0.065501549,1
CBL1abcpp,0.1430148,1,0.1430148,1
CHOLD,1.749244152,0.915639519,3.448541136,0.294285479
DRPA,1.883541265,0.734647837,2.574168908,0.335752835
NTD8pp,0.373908656,1.289831762,2.828977688,0.184138392
TREHpp,2.298853076,1,2.298853076,1
ATPS4rpp,1.252574989,0.048455007,1.275833392,0.04250805
ATPS4rpp_REV,1.760298298,0.611189234,2.538003478,0.082606323
ACGAMK,1.812913357,1,1.812913357,1
METS,0.920645001,1,0.920645001,1
TRSARr,2.385606274,1,2.385606274,1
TRSARr_REV,2.385606274,1,2.385606274,1
CBIuabcpp,0.1430148,1,0.1430148,1
URIH,1.035429738,1,1.035429738,1
XTSNH,1.792391689,1,1.792391689,1
INSH,0.380165427,1.334030049,1.652555542,0.160203997
MTHFR2,1.041392685,0.698970004,1.293021887,0.652105675
ASPO6,0.341623784,0.77668586,0.931732053,0.209512643
ACACT5r,3.401734788,2.334710817,4.660704748,2.396461559
ACACT5r_REV,3.401734788,2.334710817,5.251207631,2.21204269
