,log10_kcat_mean,log10_kcat_std,log10_kcat_max,log10_kcat_max_std
PUNP1_REV,1.620099616,1.28270656,4.283303844,0.317574135
PUNP2,1.693262912,0.351590172,2.023312364,0.119098026
PUNP2_REV,1.620099616,1.28270656,4.315982316,0.21469216
PUNP3,1.560797799,0.602943076,2.301838775,0.247440349
PUNP3_REV,1.620099616,1.28270656,4.262936606,0.228405277
LYSAM,-1.080921908,1,-1.080921908,1
LYSAM_REV,-1.080921908,1,-1.080921908,1
MDH,2.585253496,0.891458581,3.465391186,0.106703279
MDH_REV,3.055963154,0.242935351,3.333883533,0.105366496
FUM,2.775828477,0.265676948,3.00396442,0.091130924
FUM_REV,2.792391689,1,2.792391689,1
PYDXNK,-1.159379381,0.636500636,-0.879319101,0.571576154
PYAM5PO,1.447158031,1,1.447158031,1
OHPBAT,0.396199347,1,0.396199347,1
OHPBAT_REV,-0.096332699,0.473817288,0.347661323,0.114118139
GLUTRR,-0.854982694,0.031073953,-0.835716843,0.02438068
ADMDC,-0.784318118,0.784318118,-0.392159059,0.679239415
ARGDC,0.021110212,0.946096727,0.903185034,0.248690691
SPMS,0.61939325,1.041755824,1.333926879,0.219882057
G1SAT,-0.022276395,1,-0.022276395,1
G1SAT_REV,-0.022276395,1,-0.022276395,1
KDOCT2,1.15908386,0.181360255,1.246136782,0.159101636
OAADC,2.061988017,1.105159497,3.337874029,0.89485659
MNNH,0.338931172,0.430446154,0.493891788,0.40158573
GUI1,1.504129707,0.788126364,1.819380253,0.722329744
GUI1_REV,1.129490219,0.8335496,1.730493854,0.767570144
PGAMT,-0.481246911,1.378874002,0.29092253,1.142386917
PGAMT_REV,0.897627091,1,0.897627091,1
UAGDP,2.51851394,1,2.51851394,1
UAGCVT,0.085327716,0.583941433,0.664744629,0.041342191
GLUR,1.223358928,1.287123687,3.411781142,0.623965289
GLUR_REV,1.706979754,1.378690776,4.196075674,1.14936243
UAG2E,0.87444272,0.023184371,0.883252781,0.02144523
UAG2E_REV,0.87444272,0.023184371,0.884643843,0.020819514
ICHORS_copy1,1.084649078,0.617781458,1.319406032,0.5714395
HACD5,-0.468578575,2.6229202,2.558704912,2.757225143
HACD5_REV,-0.468578575,2.6229202,2.977256073,2.647782652
HPPK2,-0.769551079,1,-0.769551079,1
PTPATi,0.686010291,1,0.686010291,1
DXPRIi,0.813197461,0.523750228,1.432272014,0.295089691
GHMT2r,1.435783329,0.816749802,2.278449322,0.755375872
GHMT2r_REV,0.698970004,1,0.698970004,1
ABTA,1.675778342,1,1.675778342,1
SSALx,1.354108439,1,1.354108439,1
ASPT,1.199212937,1.290555941,2.133766849,0.197566355
SERD_L,2.653040266,0.139665138,2.754944246,0.044405999
THRD,1.914651886,0.215681882,2.039747378,0.175698014
KARA1,-0.01478901,0.722897728,1.701782083,0.294680444
KARA1_REV,0.091777267,0.054350769,0.11460459,0.049324633
KARA2,0.013871353,0.727316896,1.741219987,0.256974172
KARA2_REV,0.013871353,0.727316896,1.677582459,0.270913847
ACCOAC,1.271512242,0.207054253,1.391603709,0.168669806
NADK,0.925958334,0.533934181,1.96698268,0.224173344
ICHORS_copy2,1.084649078,0.617781458,1.368828549,0.548539842
ICHORS_copy2_REV,0.255272505,1,0.255272505,1
SUCBZS,1.94405031,0.15501046,2.069975383,0.049304608
DHBD,0.81244635,0.653044781,1.749764878,0.28396619
DHBD_REV,0.81244635,0.653044781,1.806826286,0.277919396
ICHORT,0.512652933,0.487347067,0.766073408,0.416275422
RBK_L1,1.757936922,0.145153065,1.827610393,0.12733821
RBP4E,1.562292864,1,1.562292864,1
RBP4E_REV,1.562292864,1,1.562292864,1
NTD2,0.750755012,1.33923132,2.827349544,0.184140451
NTD4,0.750755012,1.33923132,2.854644051,0.109411884
NTD5,0.373908656,1.289831762,2.828819824,0.218711341
NTD6,0.373908656,1.289831762,2.835329624,0.18612893
LGTHL,2.409440295,0.073789083,2.46936074,0.035312283
HACD6,-0.468578575,2.6229202,2.66041163,2.675175773
HACD6_REV,-0.468578575,2.6229202,3.28225197,2.462788201
UGLT,2.892094603,1,2.892094603,1
UGLT_REV,2.671940519,0.220154084,2.812839133,0.169160874
DXPS,0.632948717,0.462337618,1.112390135,0.471252828
MECDPS,0.343318135,0.08804563,0.397906425,0.06908076
DDGLK,1.041392685,1,1.041392685,1
XYLI2,1.277949662,0.513103236,2.065838524,0.275103081
XYLI2_REV,1.311753861,1,1.311753861,1
PMANM,0.625848305,0.267913458,0.749088495,0.237885427
PMANM_REV,0.625848305,0.267913458,0.78123811,0.218246716
ICL,1.228271235,0.19399796,1.421493885,0.082406363
GLYCL,1.452152743,0.970077236,2.549026132,0.249483175
HCYSMT,-0.420216403,1,-0.420216403,1
LACZ,2.128087029,0.708912562,3.413204312,0.138408494
TRE6PH,0.342448744,0.792343978,1.383683939,0.964946247
XYLI1,1.541352113,0.604091274,2.319764905,0.08936
XYLI1_REV,0.886490725,1,0.886490725,1
PPC,2.73239376,1,2.73239376,1
G3PT,0.076759658,1.176191365,1.881854088,0.56048821
GOFUCR,-0.124938737,1,-0.124938737,1
PYDXK,-0.450423722,0.738107709,0.223693547,0.276939311
GTPCII2,-0.649283388,1.710199494,1.7861447,1.513918121
URIC,0.478566496,1,0.478566496,1
ALCD19,1.151192539,0.646552667,1.587343769,0.337565074
ALCD19_REV,1.151192539,0.646552667,1.588949993,0.386788038
RMPA,1.583198774,1,1.583198774,1
RMPA_REV,0.959041392,1,0.959041392,1
PFK_2,1.703210183,0.630531189,2.218056652,0.106035351
TGBPA,1.094189999,0.291416274,1.228241486,0.258754022
TGBPA_REV,1.094189999,0.291416274,1.245726462,0.248917949
PGLYCP,1.973127854,1,1.973127854,1
GLXCL,1.276461804,1,1.276461804,1
GLCRAL,1.436162647,1,1.436162647,1
KAS14,-1.096910013,1,-1.096910013,1
EDTXS1,2.117271296,1,2.117271296,1
NNDPR,-0.853871964,1,-0.853871964,1
HACD4,-0.468578575,2.6229202,2.810263198,2.646162785
HACD4_REV,-0.468578575,2.6229202,2.636088133,2.711121822
HACD7,-0.468578575,2.6229202,2.445025388,2.84915398
HACD7_REV,-0.468578575,2.6229202,3.198188703,2.474826603
AACPS1,-1.795880017,1,-1.795880017,1
SDPDS,1.979997419,0.076907432,2.016912987,0.067468467
DKGLCNR2y,1.683047038,1,1.683047038,1
NTD9,0.750755012,1.33923132,2.837477939,0.203268118
NTD10,0.750755012,1.33923132,2.812649342,0.276304691
ADPT,0.478326689,0.491554955,0.753597464,0.407249646
ADK1,0.821108565,1.690774796,1.294525508,1.623143804
ADK1_REV,0.821108565,1.690774796,1.666495963,1.464253926
OCTDPS,-1,1.301029996,-0.453567402,1.180716082
AACPS2,-1.795880017,1,-1.795880017,1
AACPS3,-1.795880017,1,-1.795880017,1
ACNML,0.476279966,0.863893828,1.10260644,0.144746849
CAT,3.189510759,1.660416492,5.462389495,0.207992843
AB6PGH,0.509016122,0.792145363,2.182739924,0.316054806
AMALT1,1.255270639,1.322348618,2.579547027,0.071906454
MLTP2,1.204959672,0.45606738,1.629814969,0.172101316
MLTP2_REV,1.13065523,0.39826147,1.289959818,0.365012667
PACCOAL,0.840849099,0.514727854,1.336105436,0.003525214
