Value,Category,Type
426.0,GAN+<i>V</i><sub>syn</sub>,Number
401.0,GAN+<i>V</i><sub>syn</sub>,Number
422.0,GAN+<i>V</i><sub>syn</sub>,Number
395.0,GAN+<i>V</i><sub>syn</sub>,Number
407.0,GAN+<i>V</i><sub>syn</sub>,Number
428.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
423.0,GAN+<i>V</i><sub>syn</sub>,Number
405.0,GAN+<i>V</i><sub>syn</sub>,Number
429.0,GAN+<i>V</i><sub>syn</sub>,Number
414.0,GAN+<i>V</i><sub>syn</sub>,Number
398.0,GAN+<i>V</i><sub>syn</sub>,Number
400.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
405.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
426.0,GAN+<i>V</i><sub>syn</sub>,Number
414.0,GAN+<i>V</i><sub>syn</sub>,Number
411.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
403.0,GAN+<i>V</i><sub>syn</sub>,Number
420.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
406.0,GAN+<i>V</i><sub>syn</sub>,Number
423.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
408.0,GAN+<i>V</i><sub>syn</sub>,Number
420.0,GAN+<i>V</i><sub>syn</sub>,Number
429.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
404.0,GAN+<i>V</i><sub>syn</sub>,Number
416.0,GAN+<i>V</i><sub>syn</sub>,Number
408.0,GAN+<i>V</i><sub>syn</sub>,Number
424.0,GAN+<i>V</i><sub>syn</sub>,Number
421.0,GAN+<i>V</i><sub>syn</sub>,Number
415.0,GAN+<i>V</i><sub>syn</sub>,Number
403.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
427.0,GAN+<i>V</i><sub>syn</sub>,Number
401.0,GAN+<i>V</i><sub>syn</sub>,Number
424.0,GAN+<i>V</i><sub>syn</sub>,Number
397.0,GAN+<i>V</i><sub>syn</sub>,Number
398.0,GAN+<i>V</i><sub>syn</sub>,Number
419.0,GAN+<i>V</i><sub>syn</sub>,Number
402.0,GAN+<i>V</i><sub>syn</sub>,Number
414.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
408.0,GAN+<i>V</i><sub>syn</sub>,Number
406.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
405.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
401.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
401.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
419.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
401.0,GAN+<i>V</i><sub>syn</sub>,Number
406.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
419.0,GAN+<i>V</i><sub>syn</sub>,Number
417.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
419.0,GAN+<i>V</i><sub>syn</sub>,Number
411.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
408.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
404.0,GAN+<i>V</i><sub>syn</sub>,Number
404.0,GAN+<i>V</i><sub>syn</sub>,Number
420.0,GAN+<i>V</i><sub>syn</sub>,Number
410.0,GAN+<i>V</i><sub>syn</sub>,Number
414.0,GAN+<i>V</i><sub>syn</sub>,Number
409.0,GAN+<i>V</i><sub>syn</sub>,Number
431.0,GAN+<i>V</i><sub>syn</sub>,Number
413.0,GAN+<i>V</i><sub>syn</sub>,Number
422.0,GAN+<i>V</i><sub>syn</sub>,Number
418.0,GAN+<i>V</i><sub>syn</sub>,Number
418.0,GAN+<i>V</i><sub>syn</sub>,Number
406.0,GAN+<i>V</i><sub>syn</sub>,Number
412.0,GAN+<i>V</i><sub>syn</sub>,Number
