epoch,d_loss
0,0.6863621357414458
1,0.6536999824974272
2,0.5794438959823714
3,0.5485403794381354
4,0.5335877223147286
5,0.5109008062216971
6,0.5068026843170325
7,0.5381540788544549
8,0.5563825807637639
9,0.5632009729743004
10,0.6225658729672432
11,0.6477356735203001
12,0.6612881206803851
13,0.682194247841835
14,0.7242949075169034
15,0.7067382550901837
16,0.7302525954114066
17,0.7354420804315143
18,0.7241140852371851
19,0.7052890807390213
20,0.7095266994502809
21,0.7007444881730609
22,0.7050972249772813
23,0.6975826306475533
24,0.6868695600165261
25,0.6744866851303313
26,0.6949754357337952
27,0.7042588558461931
28,0.6958212024635739
29,0.7111554071307182
30,0.7102000597450469
31,0.7025069942077001
32,0.6978711303737428
33,0.7059705373313692
34,0.7019491891066233
35,0.6996177732944489
36,0.6969271947940191
37,0.6975003033876419
38,0.697881849275695
39,0.6978128883573744
40,0.6970007055335574
41,0.6909077018499374
42,0.6880291153987249
43,0.6867849545346366
44,0.6972759366035461
45,0.6898689104451073
46,0.6923067222038904
47,0.6907803879843818
48,0.6840386423799727
49,0.6880263686180115
50,0.6730659405390421
51,0.6851493302318785
52,0.6839923974540498
53,0.6811075359582901
54,0.6926720175478194
55,0.6881162640121248
56,0.6886824816465378
57,0.6915119041999181
58,0.7029631204075284
59,0.6946138193209966
60,0.6981856425603231
61,0.6940437489085727
62,0.696575351887279
63,0.6912825339370303
64,0.6884347548087438
65,0.6925940463940302
66,0.6881205489238104
67,0.6885375794437196
68,0.6797492288880878
69,0.6871772276030647
70,0.6869817905955844
71,0.6923696994781494
72,0.6930227528015772
73,0.6873856120639377
74,0.6912323501374986
75,0.6952338268359503
76,0.6900705248117447
77,0.6930590569972992
78,0.6985013749864366
79,0.6945466995239258
80,0.6923792213201523
81,0.6927044408188926
82,0.6964690850840675
83,0.6935789469215605
84,0.6893893082936605
85,0.6898974229892095
86,0.6852450420459112
87,0.6860941184891595
88,0.6773367077112198
89,0.6879646993345685
90,0.6904589219225777
91,0.6889459490776062
92,0.685995403263304
93,0.6889467222823037
94,0.6887903859217962
95,0.6851719386047788
96,0.6854818032847511
97,0.6836352248986562
98,0.6824693183104197
99,0.6857320186164644
100,0.6920506093237135
101,0.6863922344313728
102,0.6903501086764865
103,0.6949197120136685
104,0.6903748595052295
105,0.6960811714331309
106,0.6883115867773691
107,0.6897394922044542
108,0.6869245519240698
109,0.6897351178858016
110,0.6859528621037801
111,0.6902491367525525
112,0.685598212811682
113,0.6865433040592406
114,0.6791439751784006
115,0.6741791135734982
116,0.6849820713202158
117,0.6867441948917177
118,0.6904542015658485
119,0.6971272991763221
120,0.6803433861997392
121,0.6915877047512267
122,0.6867831697066625
123,0.6816667434242036
124,0.6920989520019956
125,0.697298581401507
126,0.695305359032419
127,0.7020412137111028
128,0.702600884768698
129,0.6998205631971359
130,0.6982808576689826
131,0.6962112668487761
132,0.6945552544461356
133,0.6924341900481118
134,0.6928628037373225
135,0.6873511158757739
136,0.6805820398860507
137,0.6847730461094115
138,0.6872454037268957
139,0.6905548887120353
140,0.6962617304590013
141,0.69075079758962
142,0.6881869220071368
143,0.6825659887658225
144,0.6858826875686646
145,0.6856973254018359
146,0.6855654915173849
147,0.6838314731915792
148,0.6905285037226148
149,0.6873010247945786
150,0.6859548555480109
151,0.6804219153192308
152,0.6881679081254535
153,0.6919122636318207
154,0.6950694769620895
155,0.6974145538277097
156,0.6927200241221322
157,0.690659330950843
158,0.6886422468556298
159,0.6862437725067139
160,0.6865862508614858
161,0.6951121389865875
162,0.6918322907553779
163,0.6854875750011868
164,0.682455751630995
165,0.6848353263404634
166,0.6824914978610145
167,0.6814452227618959
168,0.6873126410775714
169,0.6860503123866187
170,0.6895207845502429
171,0.6824256165160073
172,0.685821071267128
173,0.6843427883254157
174,0.6840097622738944
175,0.683555962310897
176,0.6839804136090808
177,0.6908332026667066
178,0.688375742899047
179,0.6907872458299001
180,0.6921479801336924
181,0.6941208044687907
182,0.680962108903461
183,0.68414439757665
184,0.6860771758688821
185,0.6911881268024445
186,0.685338192515903
187,0.6897457192341486
188,0.6911196625894971
