Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YDL174C,0.332960488,0.10560936,1.18E-05,3.11E-05
YEL039C,0.310040533,0.102051249,1.18E-05,3.11E-05
YJR048W,0.305311364,0.105165516,1.46E-06,3.76E-06
YEL071W,0.264381436,0.044707088,3.91E-07,8.76E-07
YDL178W,0.301241356,0.076672766,1.18E-05,3.11E-05
YAL060W,0.224422689,0.105602184,9.38E-07,3.82E-06
YML054C,0.310040533,0.102051249,1.18E-05,3.11E-05
YGR032W,0.310040533,0.102051249,1.18E-05,3.11E-05
YMR306W,0.310040533,0.102051249,1.18E-05,3.11E-05
YCR034W,0.346734846,0.020360782,1.18E-05,3.11E-05
YLR342W,0.310040533,0.102051249,1.18E-05,3.11E-05
YGR143W,0.310040533,0.102051249,1.18E-05,3.11E-05
YPR159W,0.493447361,0.249744249,1.18E-05,3.11E-05
YIL020C,0.310040533,0.102051249,1.18E-05,3.11E-05
YHR037W,0.211595127,0.093628758,1.19E-05,3.40E-05
YEL038W,0.296297942,0.050522294,1.18E-05,3.11E-05
YMR009W,0.354212497,0.143244221,4.87E-07,1.30E-06
YOL066C,0.343277493,0.04850195,1.56E-08,5.20E-08
YBR153W,0.310040533,0.102051249,1.18E-05,3.11E-05
YCL009C,0.329564565,0.062294725,1.18E-05,3.11E-05
YMR108W,0.493175019,0.081939022,3.53E-06,1.95E-05
YNL256W,0.453320348,0.086824524,1.57E-07,5.28E-07
YER152C,0.310040533,0.102051249,1.18E-05,3.11E-05
YGL202W,0.298198526,0.055246038,2.45E-06,1.27E-05
YJL060W,0.144032966,0.056057011,9.15E-07,1.94E-06
YHR063C,0.276668075,0.058690057,2.55E-07,9.03E-07
YDR035W,0.326516719,0.044972966,1.18E-05,3.11E-05
YBR249C,0.414850838,0.049902497,7.43E-07,3.30E-06
YDR204W,0.31240877,0.082683341,2.06E-07,4.77E-07
YGL119W,0.310040533,0.102051249,1.18E-05,3.11E-05
YGR255C,0.177782707,0.097081857,1.36E-07,4.21E-07
YLR201C,0.313168814,0.074171069,1.42E-07,1.99E-07
YML110C,0.236826259,0.085979784,6.42E-08,2.84E-07
YOL096C,0.310040533,0.102051249,1.18E-05,3.11E-05
YOR125C,0.310040533,0.102051249,1.18E-05,3.11E-05
YGL009C,0.460220059,0.030035145,1.18E-05,3.11E-05
YNL104C,0.276293481,0.043502943,1.26E-05,3.68E-05
YOR108W,0.310040533,0.102051249,1.18E-05,3.11E-05
YHR208W,0.384186181,0.041844383,6.55E-06,1.50E-05
YJR148W,0.188538815,0.037952302,2.12E-05,2.82E-05
YHR137W,0.310040533,0.102051249,1.18E-05,3.11E-05
YDR234W,0.254861081,0.065934017,1.99E-06,4.28E-06
YPR001W,0.310040533,0.102051249,1.18E-05,3.11E-05
YOL064C,0.318396719,0.056854722,6.13E-08,2.54E-07
YGL248W,0.310040533,0.102051249,1.18E-05,3.11E-05
YOR360C,0.380410006,0.01758756,3.27E-07,2.77E-07
YDR487C,0.310040533,0.102051249,1.18E-05,3.11E-05
YDR127W,0.296597754,0.057536339,1.18E-05,3.11E-05
YBR265W,0.310040533,0.102051249,1.18E-05,3.11E-05
YPL252C,0.310040533,0.102051249,1.18E-05,3.11E-05
YDR376W,0.310040533,0.102051249,1.18E-05,3.11E-05
YDR538W,0.310040533,0.102051249,1.18E-05,3.11E-05
