NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YBR001C,P35172,YBR001C,P35172,1.261568246,,,1.261568246,1.261568246,0.549432964
YBR002C,P35196,YBR002C,,,P35196,9.869112,9.869112,9.869112,0.070233997
YBR003W,P18900,YBR003W,P18900,3.112442036,P18900,7.670753,3.112442036,7.670753,0.090362339
YBR006W,P38067,YBR006W,P38067,2.886939635,P38067,7.297211,2.886939635,7.297211,0.094987959
YBR011C,P00817,YBR011C,P00817,2.682438329,P00817,10.81479,2.682438329,10.81479,0.064092523
YBR022W,P38218,YBR022W,,,P38218,10.81345,10.81345,10.81345,0.064100466
YBR023C,P29465,YBR023C,P29465,1.400654576,P29465,3.71674,1.400654576,3.71674,0.18649332
YBR026C,P38071,YBR026C,P38071,3.826988748,P38071,8.095241,3.826988748,8.095241,0.085624033
YBR029C,P38221,YBR029C,P38221,1.543148891,P38221,7.26392,1.543148891,7.26392,0.095423295
YBR034C,P38074,YBR034C,P38074,1.097528716,P38074,11.92795,1.097528716,11.92795,0.058111174
YBR035C,P38075,YBR035C,P38075,2.972763735,P38075,13.67547,2.972763735,13.67547,0.050685438
YBR038W,P14180,YBR038W,,,P14180,0.7403748,0.7403748,0.7403748,0.936211201
YBR039W,P38077,YBR039W,P38077,2.959387577,P38077,8.0751,2.959387577,8.0751,0.085837597
YBR041W,P38225,YBR041W,P38225,6.105980514,P38225,9.867918,6.105980514,9.867918,0.070242495
YBR042C,P38226,YBR042C,P38226,,P38226,12.01363,12.01363,12.01363,0.057696731
YBR046C,P38230,YBR046C,P38230,3.460007539,P38230,7.638637,3.460007539,7.638637,0.090742259
YBR058C-A,Q3E790,YBR058C-A,Q3E790,,Q3E790,7.01591,7.01591,7.01591,0.098796476
YBR068C,P38084,YBR068C,,,P38084,0.8571132,0.8571132,0.8571132,0.808699692
YBR069C,P38085,YBR069C,P38085,0.836562274,P38085,4.690018,0.836562274,4.690018,0.147792009
YBR084W,P09440,YBR084W,P09440,1.28103159,P09440,8.82913,1.28103159,8.82913,0.07850685
YBR092C,P24031,YBR092C,P24031,2.600226921,,,2.600226921,2.600226921,0.266571804
YBR093C,P00635,YBR093C,P00635,1.853436057,,,1.853436057,1.853436057,0.373979549
YBR097W,P22219,YBR097W,,,P22219,6.023723,6.023723,6.023723,0.115069564
YBR110W,P16661,YBR110W,,,P16661,9.871561,9.871561,9.871561,0.070216573
YBR111C,Q01976,YBR111C,Q01976,3.383738508,Q01976,8.150484,3.383738508,8.150484,0.085043683
