NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YER090W,P00899,YER090W,P00899,1.833650194,P00899,10.54088,1.833650194,10.54088,0.065757999
YER091C,P05694,YER091C,P05694,2.207743013,P05694,7.511722,2.207743013,7.511722,0.092275404
YER099C,P38620,YER099C,P38620,2.007823356,P38620,10.78416,2.007823356,10.78416,0.064274564
YER141W,P40086,YER141W,P40086,10.85073962,P40086,32.49459,10.85073962,32.49459,0.021331156
YER152C,P10356,YER152C,,,P10356,18.21563,18.21563,18.21563,0.038052331
YER163C,P32656,YER163C,P32656,2.245463145,P32656,10.07724,2.245463145,10.07724,0.068783435
YER170W,P26364,YER170W,,,P26364,2.796516,2.796516,2.796516,0.247860974
YER174C,P32642,YER174C,P32642,1.540765983,P32642,9.886779,1.540765983,9.886779,0.070108493
YER175C,P32643,YER175C,P32643,5.500583539,P32643,,5.500583539,5.500583539,0.12601339
YER178W,P16387,YER178W,P16387,2.774910578,P16387,8.625998,2.774910578,8.625998,0.080355593
YER183C,P40099,YER183C,P40099,,P40099,9.942533,9.942533,9.942533,0.069715351
YFL001W,P31115,YFL001W,P31115,1.136744592,P31115,8.280342,1.136744592,8.280342,0.08370997
YFL017C,P43577,YFL017C,P43577,2.828727065,P43577,10.47681,2.828727065,10.47681,0.066160137
YFL018C,P09624,YFL018C,P09624,3.101214416,P09624,9.975375,3.101214416,9.975375,0.069485827
YFL022C,P15625,YFL022C,P15625,1.836444979,,,1.836444979,1.836444979,0.377439666
YFL030W,P43567,YFL030W,P43567,4.375632821,,,4.375632821,4.375632821,0.158410728
YFL045C,P07283,YFL045C,P07283,1.972148904,P07283,10.81288,1.972148904,10.81288,0.064103845
YFL053W,P43550,YFL053W,P43550,1.191303297,,,1.191303297,1.191303297,0.581839387
YFR015C,P23337,YFR015C,P23337,35.10051798,P23337,85.30212,35.10051798,85.30212,0.008125791
YFR019W,P34756,YFR019W,,,P34756,6.766429,6.766429,6.766429,0.102439142
YFR021W,P43601,YFR021W,P43601,2.832836385,P43601,9.99325,2.832836385,9.99325,0.069361537
YFR025C,P38635,YFR025C,P38635,2.933210637,P38635,9.458614,2.933210637,9.458614,0.073282109
YFR030W,P39692,YFR030W,P39692,1.474135391,P39692,7.880488,1.474135391,7.880488,0.087957393
YFR033C,P00127,YFR033C,P00127,3.186076228,P00127,14.04122,3.186076228,14.04122,0.049365168
YFR044C,P43616,YFR044C,P43616,2.823345989,P43616,10.78701,2.823345989,10.78701,0.064257582
YFR047C,P43619,YFR047C,P43619,3.622615776,P43619,8.602947,3.622615776,8.602947,0.0805709
YFR049W,P19955,YFR049W,P19955,3.145994567,P19955,4.999925,3.145994567,4.999925,0.138631516
YFR053C,P04806,YFR053C,P04806,16.53563434,P04806,11.36504,16.53563434,11.36504,0.060989418
YGL001C,P53199,YGL001C,P53199,2.330862169,P53199,12.05255,2.330862169,12.05255,0.057510417
YGL006W,P38929,YGL006W,P38929,19.46646812,P38929,6.002068,19.46646812,6.002068,0.115484726
YGL008C,P05030,YGL008C,P05030,2.143480011,,,2.143480011,2.143480011,0.323374688
YGL009C,P07264,YGL009C,P07264,1.506121184,P07264,23.07787,1.506121184,23.07787,0.030035145
YGL012W,P25340,YGL012W,P25340,2.164498852,P25340,12.01839,2.164498852,12.01839,0.05767388
YGL017W,P16639,YGL017W,,,P16639,4.022361,4.022361,4.022361,0.172323464
YGL026C,P00931,YGL026C,P00931,2.445660691,P00931,14.06506,2.445660691,14.06506,0.049281495
YGL027C,P53008,YGL027C,P53008,2.046571496,P53008,6.180034,2.046571496,6.180034,0.112159121
YGL037C,P53184,YGL037C,P53184,4.891288335,P53184;REV__P41921,17.08543,4.891288335,17.08543,0.04056949
YGL038C,P31755,YGL038C,P31755,4.096813859,P31755,3.679116,4.096813859,3.679116,0.188400469
YGL040C,P05373,YGL040C,P05373,2.399771977,P05373,16.65817,2.399771977,16.65817,0.041610044
YGL047W,P53178,YGL047W,,,P53178,10.48273,10.48273,10.48273,0.066122773
YGL055W,P21147,YGL055W,P21147,2.050081733,P21147,6.504499,2.050081733,6.504499,0.106564269
YGL062W,P11154,YGL062W,P11154,1.033463886,P11154,10.58923,1.033463886,10.58923,0.065457751
YGL065C,P43636,YGL065C,P43636,5.288775387,P43636,8.931976,5.288775387,8.931976,0.077602893
YGL067W,P53164,YGL067W,P53164,6.654821469,P53164,13.94876,6.654821469,13.94876,0.049692387
YGL077C,P19807,YGL077C,P19807,0.931244069,P19807,1.999213,0.931244069,1.999213,0.346710021
YGL080W,P53157,YGL080W,P53157,1.790097094,P53157,5.434515,1.790097094,5.434515,0.127545362
YGL101W,P53144,YGL101W,P53144,1.683486724,P53144,7.777827,1.683486724,7.777827,0.089118359
YGL125W,P53128,YGL125W,P53128,2.142922607,P53128,9.481778,2.142922607,9.481778,0.073103081
YGL148W,P28777,YGL148W,P28777,1.623751348,P28777,11.74517,1.623751348,11.74517,0.059015509
YGL154C,P50113,YGL154C,,,P50113,12.59244,12.59244,12.59244,0.055044708
YGL156W,P22855,YGL156W,P22855,23.45483335,P22855,,23.45483335,23.45483335,0.029552424
YGL167C,P13586,YGL167C,P13586,2.300116924,P13586,10.20556,2.300116924,10.20556,0.067918584
YGL169W,P32579,YGL169W,P32579,1.455126006,P32579,12.66982,1.455126006,12.66982,0.054708526
YGL187C,P04037,YGL187C,P04037,2.443008767,P04037,5.264722,2.443008767,5.264722,0.131658838
YGL191W,P32799,YGL191W,P32799,1.771644876,P32799,2.282247,1.771644876,2.282247,0.303712605
YGL196W,P53095,YGL196W,P53095,1.672347274,P53095,13.48858,1.672347274,13.48858,0.051387706
YGL202W,P53090,YGL202W,P53090,2.324448716,P53090,12.54655,2.324448716,12.54655,0.055246038
YGL224C,P53078,YGL224C,,,P53078,11.69093,11.69093,11.69093,0.059289311
YGL225W,P40107,YGL225W,,,P40107,4.633726,4.633726,4.633726,0.149587434
YGL234W,P07244,YGL234W,P07244,3.004274373,P07244,9.566328,3.004274373,9.566328,0.072456974
YGL245W,P46655,YGL245W,P46655,2.018488942,P46655,10.87496,2.018488942,10.87496,0.063737906
YGL253W,P04807,YGL253W,P04807,2.617505982,P04807,17.82053,2.617505982,17.82053,0.038895991
YGL255W,P32804,YGL255W,P32804,7.662499871,P32804,,7.662499871,7.662499871,0.090459666
YGL256W,P10127,YGL256W,P10127,62.97837129,P10127,,62.97837129,62.97837129,0.011006115
YGR007W,P33412,YGR007W,P33412,2.730852385,P33412,12.74722,2.730852385,12.74722,0.054376341
YGR010W,P53204,YGR010W,P53204,1.868106251,P53204,10.67821,1.868106251,10.67821,0.064912301
YGR012W,P53206,YGR012W,P53206,3.182519196,P53206,11.55317,3.182519196,11.55317,0.059996276
YGR019W,P17649,YGR019W,P17649,5.523444035,P17649,9.256395,5.523444035,9.256395,0.07488306
YGR020C,P39111,YGR020C,P39111,2.598940699,P39111,10.64483,2.598940699,10.64483,0.065115853
YGR038W,P53224,YGR038W,P53224,2.381467534,P53224,7.093758,2.381467534,7.093758,0.097712268
YGR043C,P53228,YGR043C,P53228,3.213995014,P53228,30.44811,3.213995014,30.44811,0.022764867
YGR046W,P53230,YGR046W,,,P53230,0.836072,0.836072,0.836072,0.82905202
YGR055W,P50276,YGR055W,P50276,0.595083307,P50276,0.5705262,0.595083307,0.5705262,1.214926117
YGR060W,P53045,YGR060W,P53045,1.013250641,P53045,2.722286,1.013250641,2.722286,0.25461953
YGR061C,P38972,YGR061C,P38972,2.622133702,P38972,9.241199,2.622133702,9.241199,0.075006196
YGR062C,P53239,YGR062C,,,P53239,11.22813,11.22813,11.22813,0.061733092
YGR065C,P53241,YGR065C,P53241,2.299250941,,,2.299250941,2.299250941,0.30146652
YGR087C,P26263,YGR087C,P26263,1.676391879,,,1.676391879,1.676391879,0.413475625
YGR088W,P06115,YGR088W,P06115,7.651551211,P06115,108.7558,7.651551211,108.7558,0.006373427
YGR094W,P07806,YGR094W,P07806,1.61845973,P07806-2;P07806,12.11523,1.61845973,12.11523,0.057212878
YGR106C,P53262,YGR106C,P53262,1.051318524,P53262,0.9002748,1.051318524,0.9002748,0.769928449
YGR124W,P49090,YGR124W,P49090,1.771446857,P49090,10.53781,1.771446857,10.53781,0.065777157
YGR138C,P53283,YGR138C,P53283,2.067449354,P53283,5.011285,2.067449354,5.011285,0.138317254
YGR144W,P32318,YGR144W,P32318,8.842499199,,,8.842499199,8.842499199,0.078388153
YGR155W,P32582,YGR155W,P32582,1.604336067,P32582,10.27612,1.604336067,10.27612,0.067452227
YGR157W,P05374,YGR157W,P05374,1.942844224,P05374,7.545722,1.942844224,7.545722,0.091859623
YGR171C,P22438,YGR171C,,,P22438,14.73471,14.73471,14.73471,0.047041793
YGR175C,P32476,YGR175C,P32476,0.978528645,P32476,1.387641,0.978528645,1.387641,0.499514774
YGR177C,P53296,YGR177C,P53296,,P53296,329.1791,329.1791,329.1791,0.002105684
YGR180C,P49723,YGR180C,P49723,3.209203176,P49723,12.25408,3.209203176,12.25408,0.056564604
YGR183C,P22289,YGR183C,,,P22289,4.422641,4.422641,4.422641,0.156726983
YGR185C,P36421,YGR185C,P36421,1.721611678,P36421,10.63723,1.721611678,10.63723,0.065162376
YGR191W,P06775,YGR191W,P06775,,P06775,1.598026,1.598026,1.598026,0.43375213
YGR192C,P00359,YGR192C,P00359,3.236846123,P00359,12.82182,3.236846123,12.82182,0.054059968
YGR193C,P16451,YGR193C,P16451,2.726631381,P16451,9.028211,2.726631381,9.028211,0.076775696
YGR194C,P42826,YGR194C,P42826,11.57798341,P42826,10.04883,11.57798341,10.04883,0.068977899
YGR202C,P13259,YGR202C,P13259,2.700232279,P13259,9.065197,2.700232279,9.065197,0.076462451
YGR204W,P07245,YGR204W,P07245,3.112932973,P07245,13.23866,3.112932973,13.23866,0.052357805
YGR208W,P42941,YGR208W,P42941,2.456908288,P42941,10.69431,2.456908288,10.69431,0.064814577
YGR209C,P22803,YGR209C,P22803,3.049372985,P22803,8.247792,3.049372985,8.247792,0.084040332
YGR234W,P39676,YGR234W,P39676,2.524382969,P39676,17.03765,2.524382969,17.03765,0.040683262
YGR240C,P16861,YGR240C,P16861,2.572474512,P16861,12.76639,2.572474512,12.76639,0.054294689
YGR244C,P53312,YGR244C,P53312,3.886652159,P53312,6.824685,3.886652159,6.824685,0.101564714
YGR248W,P53315,YGR248W,P53315,66.79324613,P53315,12.72619,66.79324613,12.72619,0.054466198
YGR254W,P00924,YGR254W,P00924,12.17747761,P00924,,12.17747761,12.17747761,0.056920423
YGR255C,P53318,YGR255C,P53318,3.898844789,P53318,7.139822,3.898844789,7.139822,0.097081857
YGR256W,P53319,YGR256W,P53319,10.13340539,P53319,,10.13340539,10.13340539,0.068402196
YGR260W,P53322,YGR260W,P53322,0.879467266,P53322,1.539793,0.879467266,1.539793,0.45015608
YGR264C,P00958,YGR264C,P00958,1.422594862,P00958,10.38673,1.422594862,10.38673,0.066733917
YGR267C,P51601,YGR267C,P51601,1.876316446,P51601,14.07535,1.876316446,14.07535,0.049245467
YGR277C,P53332,YGR277C,P53332,2.31379274,P53332,12.07357,2.31379274,12.07357,0.057410292
YGR282C,P15703,YGR282C,P15703,2.498103312,P15703,8.131497,2.498103312,8.131497,0.08524226
YGR286C,P32451,YGR286C,P32451,3.740268054,P32451,8.898758,3.740268054,8.898758,0.077892576
YGR287C,P53051,YGR287C,,,P53051,7.377053,7.377053,7.377053,0.093959902
YHL003C,P38703,YHL003C,P38703,2.68163046,P38703,14.88273,2.68163046,14.88273,0.046573927
YHL011C,P38689,YHL011C,P38689,1.296432315,P38689,12.14178,1.296432315,12.14178,0.057087773
YHR001W-A,P37299,YHR001W-A,P37299,2.640269675,P37299,2.555727,2.640269675,2.555727,0.271213311
YHR007C,P10614,YHR007C,P10614,1.200639983,P10614,2.645765,1.200639983,2.645765,0.261983653
YHR008C,P00447,YHR008C,P00447,3.436976606,P00447,7.75564,3.436976606,7.75564,0.089373305
YHR011W,P38705,YHR011W,,,P38705,7.466643,7.466643,7.466643,0.092832506
YHR013C,P07347,YHR013C,P07347,1.897014151,P07347,9.461493,1.897014151,9.461493,0.07325981
YHR018C,P04076,YHR018C,P04076,2.81965071,P04076,24.89179,2.81965071,24.89179,0.027846418
YHR019C,P38707,YHR019C,P38707,1.703283483,P38707,10.93215,1.703283483,10.93215,0.06340447
YHR020W,P38708,YHR020W,P38708,1.511516068,P38708,12.12631,1.511516068,12.12631,0.057160602
YHR025W,P17423,YHR025W,P17423,1.836193107,P17423,12.36992,1.836193107,12.36992,0.056034896
YHR026W,P23968,YHR026W,,,P23968,13.7834,13.7834,13.7834,0.050288549
YHR037W,P07275,YHR037W,P07275,3.275818259,P07275,7.403144,3.275818259,7.403144,0.093628758
YHR039C-A,P48836,YHR039C-A,P48836,2.520866706,P48836,9.572896,2.520866706,9.572896,0.072407261
YHR042W,P16603,YHR042W,P16603,2.211042116,P16603,9.986783,2.211042116,9.986783,0.069406453
YHR043C,P38773,YHR043C,,,P38773,35.87935,35.87935,35.87935,0.019318833
YHR046C,P38710,YHR046C,P38710,1.578338463,P38710,10.14843,1.578338463,10.14843,0.068300927
YHR051W,P00427,YHR051W,P00427,2.7659839,P00427,5.220231,2.7659839,5.220231,0.13278094
YHR063C,P38787,YHR063C,P38787,2.505338499,P38787,11.8103,2.505338499,11.8103,0.058690057
YHR068W,P38791,YHR068W,P38791,1.927868039,P38791,10.92922,1.927868039,10.92922,0.063421468
YHR072W,P38604,YHR072W,P38604,1.683294962,P38604,11.84861,1.683294962,11.84861,0.058500295
YHR074W,P38795,YHR074W,P38795,2.691599691,P38795,9.924216,2.691599691,9.924216,0.069844024
YHR094C,P32465,YHR094C,P32465,0.328414477,P32465,3.303991,0.328414477,3.303991,0.20979088
YHR100C,P38812,YHR100C,P38812,1.28342552,P38812,4.837837,1.28342552,4.837837,0.143276258
YHR104W,P38715,YHR104W,P38715,4.475246399,P38715,17.97931,4.475246399,17.97931,0.038552491
YHR106W,P38816,YHR106W,P38816,3.780573313,P38816,8.646878,3.780573313,8.646878,0.080161554
YHR116W,P38824,YHR116W,P38824,2.881057145,P38824,4.30529,2.881057145,4.30529,0.160998953
YHR119W,P38827,YHR119W,,,P38827,4.625658,4.625658,4.625658,0.149848342
YHR123W,P22140,YHR123W,P22140,1.849037698,,,1.849037698,1.849037698,0.374869145
YHR128W,P18562,YHR128W,P18562,1.371175375,P18562,36.56437,1.371175375,36.56437,0.018956902
YHR144C,P06773,YHR144C,P06773,,P06773,11.79004,11.79004,11.79004,0.05879091
YHR163W,P38858,YHR163W,P38858,2.439062691,P38858,10.80011,2.439062691,10.80011,0.064179641
YHR174W,P00925,YHR174W,P00925,2.984392522,P00925,16.03265,2.984392522,16.03265,0.043233475
YHR183W,P38720,YHR183W,P38720,2.659209123,P38720,18.57195,2.659209123,18.57195,0.037322262
YHR190W,P29704,YHR190W,P29704,2.560929474,P29704,10.22416,2.560929474,10.22416,0.067795025
YHR201C,P38698,YHR201C,P38698,1.965367417,P38698,10.04202,1.965367417,10.04202,0.069024676
YHR208W,P38891,YHR208W,P38891,1.804196024,P38891,16.56488,1.804196024,16.56488,0.041844383
YHR216W,P38697,YHR216W,,,P38697,14.58615,14.58615,14.58615,0.047520914
YIL002C,P40559,YIL002C,P40559,2.901083462,,,2.901083462,2.901083462,0.238927004
YIL009W,P39002,YIL009W,P39002,1.938392933,P39002,7.950223,1.938392933,7.950223,0.087185879
YIL010W,P40553,YIL010W,P40553,3.097028772,P40553,6.324696,3.097028772,6.324696,0.109593754
YIL020C,P40545,YIL020C,P40545,1.627094992,P40545,12.00456,1.627094992,12.00456,0.057740324
YIL043C,P38626,YIL043C,P38626,2.026026049,P38626,9.413725,2.026026049,9.413725,0.073631552
YIL048W,P40527,YIL048W,P40527,,P40527,19.85746,19.85746,19.85746,0.034906135
YIL053W,P41277,YIL053W,P41277,1.539631573,P41277,14.61748,1.539631573,14.61748,0.047419061
YIL074C,P40510,YIL074C,P40510,2.43827956,P40510,15.53671,2.43827956,15.53671,0.044613511
YIL078W,P04801,YIL078W,P04801,1.697676779,P04801,9.86552,1.697676779,9.86552,0.070259569
YIL083C,P40506,YIL083C,P40506,2.48461233,P40506,8.117419,2.48461233,8.117419,0.085390095
YIL094C,P40495,YIL094C,P40495,4.05960027,P40495,12.42764,4.05960027,12.42764,0.055774643
YIL107C,P40433,YIL107C,P40433,,P40433,7.256783,7.256783,7.256783,0.095517143
YIL111W,P00425,YIL111W,P00425,3.06436002,P00425,4.431159,3.06436002,4.431159,0.156425707
YIL116W,P07172,YIL116W,P07172,7.991690728,P07172,12.89804,7.991690728,12.89804,0.053740505
YIL124W,P40471,YIL124W,P40471,3.371876379,P40471,7.971594,3.371876379,7.971594,0.086952143
YIL125W,P20967,YIL125W,P20967,3.164093391,P20967,8.59666,3.164093391,8.59666,0.080629824
YIL145C,P40459,YIL145C,P40459,1.755327922,P40459,9.492991,1.755327922,9.492991,0.073016732
YIL155C,P32191,YIL155C,P32191,2.579385333,P32191,3.879521,2.579385333,3.879521,0.178668238
YIL162W,P00724,YIL162W,P00724,3.086015774,P00724-2;P00724,10.25783,3.086015774,10.25783,0.067572496
YIR034C,P38998,YIR034C,P38998,4.796443354,P38998,23.62586,4.796443354,23.62586,0.029338495
YIR036C,P40580,YIR036C,P40580,4.284911192,P40580,10.75245,4.284911192,10.75245,0.064464116
YIR037W,P40581,YIR037W,P40581,3.685575574,P40581,10.11792,3.685575574,10.11792,0.068506885
YIR038C,P40582,YIR038C,P40582,4.18888247,P40582,6.932253,4.18888247,6.932253,0.099988731
YJL005W,P08678,YJL005W,P08678,3.214335286,P08678,9.468722,3.214335286,9.468722,0.073203879
YJL012C,P47075,YJL012C,P47075,1.88993048,P47075,10.8539,1.88993048,10.8539,0.063861578
YJL026W,P09938,YJL026W,P09938,2.711001602,P09938,7.748006,2.711001602,7.748006,0.089461363
YJL046W,P47051,YJL046W,,,P47051,8.929699,8.929699,8.929699,0.077622681
YJL052W,P00360,YJL052W,P00360,45.97278987,P00360,,45.97278987,45.97278987,0.015077336
YJL060W,P47039,YJL060W,P47039,4.812420385,P47039,12.36504,4.812420385,12.36504,0.056057011
YJL068C,P40363,YJL068C,P40363,3.666997661,P40363,13.41556,3.666997661,13.41556,0.051667406
YJL071W,P40360,YJL071W,,,P40360,6.606802,6.606802,6.606802,0.104914175
YJL088W,P05150,YJL088W,P05150,3.169687818,P05150,,3.169687818,3.169687818,0.218679952
YJL097W,P40857,YJL097W,,,P40857,7.043882,7.043882,7.043882,0.098404144
YJL101C,P32477,YJL101C,P32477,2.250400857,P32477,8.298326,2.250400857,8.298326,0.083528555
YJL121C,P46969,YJL121C,P46969,1.851480091,P46969,10.90617,1.851480091,10.90617,0.063555509
YJL126W,P47016,YJL126W,P47016,,P47016,7.316395,7.316395,7.316395,0.094738895
YJL130C,P07259,YJL130C,P07259,1.397994189,P07259,7.846154,1.397994189,7.846154,0.088342286
YJL133W,P10566,YJL133W,P10566,1.64676033,,,1.64676033,1.64676033,0.420915641
YJL134W,P47013,YJL134W,P47013,1.92549331,P47013,9.461526,1.92549331,9.461526,0.073259555
YJL137C,P47011,YJL137C,P47011,2.695034186,,,2.695034186,2.695034186,0.257194207
YJL139C,P26725,YJL139C,,,P26725,6.07081,6.07081,6.07081,0.114177051
YJL153C,P11986,YJL153C,P11986,2.057241855,P11986,24.5044,2.057241855,24.5044,0.028286642
YJL155C,P32604,YJL155C,P32604,5.582570191,P32604,10.07014,5.582570191,10.07014,0.068831931
YJL166W,P08525,YJL166W,P08525,3.386187036,P08525,4.244023,3.386187036,4.244023,0.163323144
YJL167W,P08524,YJL167W,P08524,2.846880839,P08524,10.81348,2.846880839,10.81348,0.064100288
YJL168C,P46995,YJL168C,P46995,1.40367441,P46995,5.437005,1.40367441,5.437005,0.127486949
YJL198W,P39535,YJL198W,P39535,0.928281988,P39535,2.472512,0.928281988,2.472512,0.280341281
YJL200C,P39533,YJL200C,P39533,2.435901725,P39533,8.693124,2.435901725,8.693124,0.079735108
YJR001W,P47082,YJR001W,P47082,2.548795965,,,2.548795965,2.548795965,0.271950831
YJR009C,P00358,YJR009C,P00358,5.40883587,P00358,,5.40883587,5.40883587,0.128150899
YJR010W,P08536,YJR010W,P08536,2.253322552,,,2.253322552,2.253322552,0.307611167
YJR016C,P39522,YJR016C,P39522,1.532213083,P39522,11.70581,1.532213083,11.70581,0.059213944
YJR019C,P41903,YJR019C,,,P41903,9.463759,9.463759,9.463759,0.073242269
YJR024C,P47095,YJR024C,P47095,1.822533267,P47095,7.420066,1.822533267,7.420066,0.093415231
YJR025C,P47096,YJR025C,P47096,4.866126938,P47096,18.69971,4.866126938,18.69971,0.037067269
YJR040W,P37020,YJR040W,,,P37020,13.10723,13.10723,13.10723,0.052882812
YJR048W,P00044,YJR048W,P00044,2.27029604,P00044,6.591012,2.27029604,6.591012,0.105165516
YJR049C,P21373,YJR049C,P21373,3.05965971,P21373,8.668083,3.05965971,8.668083,0.079965453
YJR051W,P21375,YJR051W,P21375,2.733747879,P21375,7.989878,2.733747879,7.989878,0.086753162
YJR057W,P00572,YJR057W,P00572,2.112582088,P00572,10.65178,2.112582088,10.65178,0.065073366
YJR069C,P47119,YJR069C,P47119,2.019603385,P47119,10.9286,2.019603385,10.9286,0.063425066
YJR073C,P05375,YJR073C,P05375,3.083880129,,,3.083880129,3.083880129,0.224764631
YJR077C,P23641,YJR077C,P23641,1.96064996,P23641,7.856323,1.96064996,7.856323,0.088227938
YJR103W,P38627,YJR103W,P38627,3.996984902,P38627,9.990865,3.996984902,9.990865,0.069378095
YJR104C,P00445,YJR104C,P00445,2.030793067,P00445,6.18442,2.030793067,6.18442,0.112079577
YJR105W,P47143,YJR105W,P47143,1.540684139,P47143,8.081347,1.540684139,8.081347,0.085771243
YJR109C,P03965,YJR109C,P03965,1.08424329,P03965,21.19864,1.08424329,21.19864,0.032697719
YJR121W,P00830,YJR121W,P00830,2.952904065,P00830,8.503993,2.952904065,8.503993,0.081508437
YJR131W,P32906,YJR131W,P32906,2.976023841,P32906,8.651632,2.976023841,8.651632,0.080117506
YJR133W,P47165,YJR133W,P47165,2.50601683,P47165,7.574823,2.50601683,7.574823,0.091506716
YJR137C,P47169,YJR137C,P47169,1.69542784,P47169,10.27852,1.69542784,10.27852,0.067436477
YJR139C,P31116,YJR139C,P31116,2.483613474,P31116,11.72815,2.483613474,11.72815,0.059101152
YJR143C,P46971,YJR143C,P46971,2.210583921,P46971;REV__P38687,9.867316,2.210583921,9.867316,0.07024678
YJR148W,P47176,YJR148W,P47176,3.676416342,P47176,18.26364,3.676416342,18.26364,0.037952302
YJR149W,P47177,YJR149W,,,P47177,6.750132,6.750132,6.750132,0.102686463
YKL001C,Q02196,YKL001C,Q02196,1.359668695,Q02196,,1.359668695,1.359668695,0.509791233
YKL008C,P28496,YKL008C,P28496,2.74508295,P28496,6.328407,2.74508295,6.328407,0.109529488
YKL016C,P30902,YKL016C,P30902,2.64747323,,,2.64747323,2.64747323,0.261814614
YKL019W,P29703,YKL019W,P29703,1.326119462,P29703,9.598239,1.326119462,9.598239,0.072216078
YKL024C,P15700,YKL024C,P15700,1.738055096,P15700,14.45668,1.738055096,14.45668,0.047946498
YKL029C,P36013,YKL029C,P36013,1.928237116,P36013,13.08703,1.928237116,13.08703,0.052964437
YKL035W,P32861,YKL035W,P32861,4.077199455,P32861,10.88557,4.077199455,10.88557,0.063675782
YKL055C,P35731,YKL055C,,,P35731,6.099996,6.099996,6.099996,0.11363076
YKL060C,P14540,YKL060C,P14540,2.99803626,P14540,12.00931,2.99803626,12.00931,0.057717486
YKL067W,P36010,YKL067W,P36010,3.603084307,P36010,10.71624,3.603084307,10.71624,0.064681939
YKL069W,P36088,YKL069W,P36088,2.513192663,P36088,8.879546,2.513192663,8.879546,0.078061106
YKL080W,P31412,YKL080W,P31412,2.631218474,P31412,11.49703,2.631218474,11.49703,0.060289238
YKL085W,P17505,YKL085W,P17505,3.896125575,P17505,10.68305,3.896125575,10.68305,0.064882892
YKL087C,Q00873,YKL087C,,,Q00873,5.02157,5.02157,5.02157,0.138033958
YKL088W,P36076,YKL088W,P36076,2.405520982,P36076,10.83758,2.405520982,10.83758,0.063957745
YKL094W,P28321,YKL094W,P28321,2.735253424,P28321,11.55955,2.735253424,11.55955,0.059963163
YKL103C,P14904,YKL103C,P14904,8.168218739,P14904,16.62764,8.168218739,16.62764,0.041686444
YKL104C,P14742,YKL104C,P14742,2.701497199,P14742,13.05931,2.701497199,13.05931,0.053076861
YKL106W,Q01802,YKL106W,Q01802,3.162010282,Q01802,9.771689,3.162010282,9.771689,0.070934224
YKL120W,P32332,YKL120W,,,P32332,34.82648,34.82648,34.82648,0.019902878
YKL127W,P33401,YKL127W,P33401,2.520682774,P33401,9.694717,2.520682774,9.694717,0.071497413
YKL140W,P34163,YKL140W,P34163,16.74274758,,,16.74274758,16.74274758,0.041399847
YKL141W,P33421,YKL141W,P33421,3.574434168,P33421,3.99578,3.574434168,3.99578,0.173469806
YKL148C,Q00711,YKL148C,Q00711,3.477735119,Q00711,10.21982,3.477735119,10.21982,0.067823815
YKL150W,P36060,YKL150W,P36060,4.390678118,P36060,7.593922,4.390678118,7.593922,0.091276574
YKL152C,P00950,YKL152C,P00950,3.291137408,P00950,13.87729,3.291137408,13.87729,0.04994831
YKL165C,P36051,YKL165C,P36051,4.630310676,P36051,9.075162,4.630310676,9.075162,0.076378491
YKL174C,P36029,YKL174C,P36029,,P36029,4.324373,4.324373,4.324373,0.160288481
YKL181W,P32895,YKL181W,P32895,1.335550623,P32895,9.147252,1.335550623,9.147252,0.075776548
YKL182W,P07149,YKL182W,P07149,2.375653277,P07149,12.11169,2.375653277,12.11169,0.057229601
YKL184W,P08432,YKL184W,P08432,0.801549455,P08432,2.031195,0.801549455,2.031195,0.341250929
YKL192C,P32463,YKL192C,P32463,2.868298651,P32463,11.30133,2.868298651,11.30133,0.06133324
YKL194C,P07236,YKL194C,,,P07236,8.869157,8.869157,8.869157,0.078152544
YKL211C,P00937,YKL211C,P00937,2.0853968,P00937,13.47844,2.0853968,13.47844,0.051426365
YKL212W,P32368,YKL212W,P32368,2.314016384,P32368,11.21444,2.314016384,11.21444,0.061808452
YKL215C,P28273,YKL215C,P28273,2.823960152,P28273,10.34451,2.823960152,10.34451,0.067006285
YKL216W,P28272,YKL216W,P28272,1.170398003,P28272,10.08668,1.170398003,10.08668,0.068719061
YKL218C,P36007,YKL218C,P36007,,P36007,45.95864,45.95864,45.95864,0.015081978
YKR031C,P36126,YKR031C,,,P36126,6.532967,6.532967,6.532967,0.106099905
YKR043C,P36136,YKR043C,P36136,1.787644161,P36136,13.50461,1.787644161,13.50461,0.051326708
YKR052C,P23500,YKR052C,,,P23500,3.012566,3.012566,3.012566,0.23008531
YKR066C,P00431,YKR066C,P00431,2.255751733,P00431,7.851663,2.255751733,7.851663,0.088280302
YKR067W,P36148,YKR067W,P36148,3.471019874,P36148,6.798349,3.471019874,6.798349,0.101958164
YKR072C,P36024,YKR072C,P36024,1.678823108,P36024,9.045875,1.678823108,9.045875,0.076625775
YKR076W,P36156,YKR076W,P36156,6.101038294,P36156,4.854628,6.101038294,4.854628,0.142780699
YKR080W,Q02046,YKR080W,Q02046,3.855087112,Q02046,10.71453,3.855087112,10.71453,0.064692262
YKR089C,P36165,YKR089C,,,P36165,4.167235,4.167235,4.167235,0.166332636
YKR093W,P32901,YKR093W,P32901,0.676611026,P32901,1.576821,0.676611026,1.576821,0.439585204
YLL001W,P54861,YLL001W,P54861,3.095182395,P54861,10.60261,3.095182395,10.60261,0.065375146
