Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YCR048W,0.310040533,0.102051249,9.98E-06,1.51E-05
YNR019W,0.266761554,0.055081013,9.98E-06,1.51E-05
YJL091C,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL141W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR441C,0.310040533,0.102051249,9.98E-06,1.51E-05
YML022W,0.564945467,0.082312544,2.27E-07,6.08E-07
YJR105W,0.449895707,0.085771243,2.09E-06,3.15E-06
YML035C,0.324804122,0.077442554,2.00E-07,4.21E-07
YER043C,0.444694264,0.085799654,0.00019554,0.000327906
YOL052C,0.439614403,0.061138215,1.30E-07,2.07E-07
YNR058W,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL005W,0.215642464,0.073203879,2.75E-08,5.86E-08
YDL166C,0.423840278,0.077107117,1.70E-07,2.38E-07
YDR226W,0.27042003,0.05695755,2.83E-05,4.12E-05
YER170W,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR359W,0.183111833,0.087178817,8.69E-06,1.58E-05
YNL220W,0.187128078,0.046723774,6.25E-06,9.79E-06
YKL001C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR247W,0.310040533,0.102051249,9.98E-06,1.51E-05
YFL030W,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR335C,0.467637303,0.073249482,4.61E-06,6.91E-06
YGR177C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR377W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR303C,0.186958455,0.081338548,3.63E-05,5.26E-05
YDR368W,0.203952693,0.051587192,1.70E-06,2.56E-06
YHR104W,0.154884697,0.038552491,8.25E-07,1.28E-06
YGL256W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR083W,0.238860523,0.100011656,2.45E-05,5.40E-05
YBR145W,0.237821229,0.034651035,9.06E-06,1.20E-05
YDL168W,0.417355736,0.058654498,4.27E-07,6.77E-07
YOL086C,0.331391298,0.112874114,0.000120895,0.000211213
YCR105W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR318C,0.486006847,0.09791762,2.45E-06,2.98E-06
YMR110C,0.139073495,0.066622823,1.49E-06,1.17E-06
YMR169C,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR170C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL061W,0.420248942,0.174816439,5.13E-05,7.82E-05
YOR374W,0.219836327,0.212481115,3.33E-05,4.56E-05
YER073W,0.475641249,0.05623205,2.00E-05,2.71E-05
YDR481C,0.21929151,0.078367204,1.07E-06,2.48E-06
YIR029W,0.310040533,0.102051249,9.98E-06,1.51E-05
YIR027C,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR208C,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR199W,0.408160411,0.31010813,5.60E-08,7.50E-08
YBR205W,0.289541643,0.097536561,1.00E-06,1.10E-06
YDR483W,0.434210666,0.183627794,3.91E-08,4.83E-08
YJL139C,0.310040533,0.102051249,9.98E-06,1.51E-05
YKR061W,0.310040533,0.102051249,9.98E-06,1.51E-05
YNL029C,0.310040533,0.102051249,9.98E-06,1.51E-05
YOR099W,0.388818792,0.22515627,1.82E-07,3.53E-07
YPL053C,0.855957092,0.300092165,8.77E-08,1.39E-07
YPR026W,0.310040533,0.102051249,9.98E-06,1.51E-05
YBR001C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR001C,0.167435844,0.073447351,9.98E-06,1.51E-05
YBR126C,0.151086152,0.076786531,1.85E-06,3.63E-06
YDR074W,0.108469986,0.071378616,2.74E-07,4.19E-07
YML100W,0.080606441,0.064747192,1.31E-07,2.13E-07
YMR261C,0.199251827,0.070586288,2.91E-07,4.21E-07
YBR299W,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR287C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR292W,0.310040533,0.102051249,9.98E-06,1.51E-05
YIL172C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL216C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL221C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR242W,0.310040533,0.102051249,9.98E-06,1.51E-05
YMR293C,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR354W,0.329762458,0.048439481,1.40E-06,2.12E-06
YER090W,0.378014947,0.065757999,6.02E-07,1.07E-06
YKL211C,0.332381435,0.051426365,1.29E-06,2.56E-06
YDR305C,0.265456518,0.074111226,1.04E-07,1.56E-07
YPL111W,0.298078068,0.070921117,1.25E-07,2.67E-07
YHR018C,0.245827321,0.027846418,5.96E-06,7.45E-06
YOL058W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR341C,0.449963324,0.066493722,3.77E-06,6.37E-06
YHR091C,0.310040533,0.102051249,9.98E-06,1.51E-05
YGR124W,0.391288724,0.065777157,2.53E-06,4.76E-06
YPR145W,0.297077757,0.036300254,4.82E-06,1.31E-06
YHR019C,0.406947632,0.06340447,5.41E-06,8.99E-06
YCR024C,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL130C,0.495815495,0.088342286,5.50E-06,7.57E-06
YER052C,0.375881777,0.042588459,2.42E-06,6.05E-06
YLR027C,0.257341195,0.05454798,5.56E-06,1.38E-05
YKL106W,0.219210919,0.070934224,1.76E-07,3.16E-07
YDR158W,0.286683202,0.040070781,3.32E-05,4.03E-05
YLL018C,0.341038493,0.063730991,9.98E-06,1.51E-05
YPL104W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR530C,0.310040533,0.102051249,9.98E-06,1.51E-05
YCL050C,0.303590127,0.046004906,9.98E-06,1.51E-05
YER055C,0.29456536,0.04064178,9.23E-06,9.84E-06
Q0080,0.310040533,0.102051249,9.98E-06,1.51E-05
Q0085,0.310040533,0.102051249,9.98E-06,1.51E-05
Q0130,0.310040533,0.102051249,9.98E-06,1.51E-05
YBL099W,0.233349767,0.080404202,9.98E-06,1.51E-05
YBR039W,0.234219805,0.085837597,7.17E-06,1.03E-05
YDL004W,0.310040533,0.102051249,9.98E-06,1.51E-05
YDR298C,0.262197958,0.095631279,1.80E-05,2.83E-05
YDR322C-A,0.294000391,0.102006539,6.10E-09,9.59E-09
YDR377W,0.25827323,0.11119092,1.25E-05,2.53E-05
YJR121W,0.234734067,0.081508437,5.27E-05,8.15E-05
YKL016C,0.310040533,0.102051249,9.98E-06,1.51E-05
YLR295C,0.310040533,0.102051249,9.98E-06,1.51E-05
YML081C-A,0.269750181,0.156656423,9.98E-06,1.51E-05
YPL078C,0.257856329,0.115443546,1.96E-05,4.38E-05
YPL271W,0.256489384,0.111223071,2.36E-09,4.93E-09
YPR020W,0.269550651,0.100569947,1.97E-05,3.59E-05
YCL005W-A,0.310040533,0.102051249,9.98E-06,1.51E-05
YJL180C,0.253024611,0.107633121,9.98E-06,1.51E-05
YLR393W,0.2724695,0.10180482,1.14E-08,1.48E-08
YNL315C,0.250865712,0.085225773,1.40E-06,2.34E-06
YOL077W-A,0.310040533,0.102051249,9.98E-06,1.51E-05
YCR024C-A,0.310040533,0.102051249,9.98E-06,1.51E-05
YEL017C-A,0.310040533,0.102051249,9.98E-06,1.51E-05
YGL008C,0.310040533,0.102051249,9.98E-06,1.51E-05
YPL036W,0.310040533,0.102051249,9.98E-06,1.51E-05
YER005W,0.310040533,0.102051249,9.98E-06,1.51E-05
