Gene,kdeg_x,kdeg_y,vsyn_x,vsyn_y
YDL174C,0.332960488,0.10560936,8.10E-06,1.50E-05
YEL039C,0.310040533,0.102051249,8.10E-06,1.50E-05
YJR048W,0.305311364,0.105165516,2.05E-06,3.79E-06
YEL071W,0.264381436,0.044707088,5.53E-07,1.01E-06
YDL178W,0.301241356,0.076672766,8.10E-06,1.50E-05
YAL060W,0.224422689,0.105602184,9.98E-07,2.49E-06
YML054C,0.310040533,0.102051249,8.10E-06,1.50E-05
YGR032W,0.310040533,0.102051249,8.10E-06,1.50E-05
YMR306W,0.310040533,0.102051249,8.10E-06,1.50E-05
YCR034W,0.346734846,0.020360782,8.10E-06,1.50E-05
YLR342W,0.310040533,0.102051249,8.10E-06,1.50E-05
YGR143W,0.310040533,0.102051249,8.10E-06,1.50E-05
YPR159W,0.493447361,0.249744249,8.10E-06,1.50E-05
YIL020C,0.310040533,0.102051249,8.10E-06,1.50E-05
YHR037W,0.211595127,0.093628758,1.29E-05,2.51E-05
YEL038W,0.296297942,0.050522294,8.10E-06,1.50E-05
YMR009W,0.354212497,0.143244221,3.89E-07,6.99E-07
YOL066C,0.343277493,0.04850195,8.65E-09,1.64E-08
YBR153W,0.310040533,0.102051249,8.10E-06,1.50E-05
YCL009C,0.329564565,0.062294725,8.10E-06,1.50E-05
YMR108W,0.493175019,0.081939022,3.91E-06,1.20E-05
YNL256W,0.453320348,0.086824524,1.13E-07,2.38E-07
YER152C,0.310040533,0.102051249,8.10E-06,1.50E-05
YGL202W,0.298198526,0.055246038,4.74E-06,1.46E-05
YJL060W,0.144032966,0.056057011,6.84E-07,9.97E-07
YHR063C,0.276668075,0.058690057,2.89E-07,6.34E-07
YDR035W,0.326516719,0.044972966,8.10E-06,1.50E-05
YBR249C,0.414850838,0.049902497,4.27E-07,1.32E-06
YDR204W,0.31240877,0.082683341,2.22E-07,3.61E-07
YGL119W,0.310040533,0.102051249,8.10E-06,1.50E-05
YGR255C,0.177782707,0.097081857,1.59E-07,3.11E-07
YLR201C,0.313168814,0.074171069,2.26E-07,2.86E-07
YML110C,0.236826259,0.085979784,9.73E-08,2.48E-07
YOL096C,0.310040533,0.102051249,8.10E-06,1.50E-05
YOR125C,0.310040533,0.102051249,8.10E-06,1.50E-05
YGL009C,0.460220059,0.030035145,8.10E-06,1.50E-05
YNL104C,0.276293481,0.043502943,8.43E-06,1.62E-05
YOR108W,0.310040533,0.102051249,8.10E-06,1.50E-05
YHR208W,0.384186181,0.041844383,6.03E-06,1.01E-05
YJR148W,0.188538815,0.037952302,4.93E-06,5.72E-06
YHR137W,0.310040533,0.102051249,8.10E-06,1.50E-05
YDR234W,0.254861081,0.065934017,1.42E-06,2.29E-06
YPR001W,0.310040533,0.102051249,8.10E-06,1.50E-05
YOL064C,0.318396719,0.056854722,4.81E-08,1.21E-07
YGL248W,0.310040533,0.102051249,8.10E-06,1.50E-05
YOR360C,0.380410006,0.01758756,1.53E-07,1.39E-07
YDR487C,0.310040533,0.102051249,8.10E-06,1.50E-05
YDR127W,0.296597754,0.057536339,8.10E-06,1.50E-05
YBR265W,0.310040533,0.102051249,8.10E-06,1.50E-05
YPL252C,0.310040533,0.102051249,8.10E-06,1.50E-05
YDR376W,0.310040533,0.102051249,8.10E-06,1.50E-05
YDR538W,0.310040533,0.102051249,8.10E-06,1.50E-05
YDR539W,0.310040533,0.102051249,8.10E-06,1.50E-05
YLR231C,0.139091095,0.053063533,8.10E-06,1.50E-05
YKR009C,0.310040533,0.102051249,8.10E-06,1.50E-05
YJR025C,0.1424433,0.037067269,8.10E-06,1.50E-05
YER175C,0.310040533,0.102051249,8.10E-06,1.50E-05
YCL018W,0.310040533,0.102051249,8.10E-06,1.50E-05
YGR087C,0.310040533,0.102051249,8.10E-06,1.50E-05
YLR044C,0.261797608,0.060337311,8.10E-06,1.50E-05
YLR134W,0.310040533,0.102051249,8.10E-06,1.50E-05
YBR176W,0.364280634,0.070598733,1.92E-07,4.62E-07
YDL080C,0.310040533,0.102051249,8.10E-06,1.50E-05
YNR033W,0.310040533,0.102051249,8.10E-06,1.50E-05
YMR289W,0.310040533,0.102051249,8.10E-06,1.50E-05
YGR019W,0.125491845,0.07488306,5.53E-07,9.17E-07
YCR053W,0.384831991,0.067408212,8.15E-06,1.51E-05
YLR410W,0.348409802,0.060104278,1.83E-07,3.46E-07
YOR163W,0.272502381,0.099725587,6.59E-08,1.01E-07
YDR017C,0.335930908,0.11849642,3.52E-08,1.97E-08
YLR017W,0.524941524,0.084418423,1.09E-07,1.42E-07
YER037W,0.310040533,0.102051249,8.10E-06,1.50E-05
YGL224C,0.310040533,0.102051249,8.10E-06,1.50E-05
YOR155C,0.177174694,0.056530697,1.20E-07,1.27E-07
YGR061C,0.264344713,0.075006196,8.10E-06,1.50E-05
