ID,S1,ST
YDL174C+r_0001_1,0,0
YEL039C+r_0001_1,0,0
YDL174C+r_0001_2,0,0
YJR048W+r_0001_2,0,0
YEL039C+r_0001_3,0,0
YEL071W+r_0001_3,0,0
YJR048W+r_0001_4,0,0
YEL071W+r_0001_4,0,0
YEL039C+r_0002_1,0,0
YDL178W+r_0002_1,0,0
YJR048W+r_0002_2,0,0
YDL178W+r_0002_2,0,0
YAL060W+r_0003_fwd,0,0
YAL060W+r_0003_rvs,0,0
YEL039C+r_0004_1,0,0
YML054C+r_0004_1,0.350540107,0.159049915
YJR048W+r_0004_2,0.350540107,0.159049915
YML054C+r_0004_2,0.350540107,0.159049915
YGR032W+r_0005_1,0.350540107,0.159049915
YMR306W+r_0005_2,0.350540107,0.159049915
YCR034W+r_0005_3,0.350540107,0.159049915
YLR342W+r_0005_3,0.350540107,0.159049915
YGR143W+r_0006_1,0.350540107,0.159049915
YPR159W+r_0006_2,0.350540107,0.159049915
YIL020C+r_0007,0.350540107,0.159049915
YHR037W+r_0012,0.350540107,0.159049915
YEL038W+r_0013,0.350540107,0.159049915
YMR009W+r_0013,0.350540107,0.159049915
YOL066C+r_0014,0.350540107,0.159049915
YBR153W+r_0015,0.350540107,0.159049915
YCL009C+r_0016_1,0.350540107,0.159049915
YMR108W+r_0016_1,0.350540107,0.159049915
YMR108W+r_0016_2,0.350540107,0.159049915
YNL256W+r_0017,0.350540107,0.159049915
YER152C+r_0018_1_fwd,0.350540107,0.159049915
YER152C+r_0018_1_rvs,0.350540107,0.159049915
YGL202W+r_0018_2_fwd,0.742833592,0.358245725
YGL202W+r_0018_2_rvs,0.742833592,0.358245725
YJL060W+r_0018_3_fwd,0.742833592,0.358245725
YJL060W+r_0018_3_rvs,0.742833592,0.358245725
YHR063C+r_0019,0.742833592,0.358245725
YDR035W+r_0020_1,0.742833592,0.358245725
YBR249C+r_0020_2,0.742833592,0.358245725
YDR204W+r_0021,0.742833592,0.358245725
YGL119W+r_0021,0.742833592,0.358245725
YGR255C+r_0021,0.742833592,0.358245725
YLR201C+r_0021,0.742833592,0.358245725
YML110C+r_0021,0.742833592,0.358245725
YOL096C+r_0021,0.742833592,0.358245725
YOR125C+r_0021,0.742833592,0.358245725
YDR204W+r_0022,0.742833592,0.358245725
YGL119W+r_0022,0.742833592,0.358245725
YGR255C+r_0022,0.742833592,0.358245725
YLR201C+r_0022,0.742833592,0.358245725
YML110C+r_0022,0.742833592,0.358245725
YOL096C+r_0022,0.742833592,0.358245725
YOR125C+r_0022,0.742833592,0.358245725
YGL009C+r_0023_fwd,0.742833592,0.358245725
YGL009C+r_0023_rvs,0.742833592,0.358245725
YNL104C+r_0024_1,0.742833592,0.358245725
YOR108W+r_0024_2,0.742833592,0.358245725
YNL104C+r_0025,0.742833592,0.358245725
YHR208W+r_0026_1,0.742833592,0.358245725
YJR148W+r_0026_2,0.742833592,0.358245725
YGL202W+r_0026_3,0.742833592,0.358245725
YHR137W+r_0026_4,0.742833592,0.358245725
YDR234W+r_0027_fwd,0.742833592,0.358245725
YDR234W+r_0027_rvs,0.742833592,0.358245725
YPR001W+r_0028,0.742833592,0.358245725
YJR148W+r_0029,0.742833592,0.358245725
YHR208W+r_0030,0.742833592,0.358245725
YOL064C+r_0032,0.742833592,0.358245725
YGL248W+r_0033_1,0.742833592,0.358245725
YOR360C+r_0033_2,0.849443364,0.680457136
YOR360C+r_0034,0.849443364,0.680457136
YOR360C+r_0035,0.849443364,0.680457136
YOR360C+r_0036,0.849443364,0.680457136
YOR360C+r_0037,0.849443364,0.680457136
YDR487C+r_0038,0.849443364,0.680457136
YDR127W+r_0039,0.849443364,0.680457136
YDR127W+r_0040,0.849443364,0.680457136
YBR265W+r_0041,0.849443364,0.680457136
YBR249C+r_0042_1,0.849443364,0.680457136
YDR035W+r_0042_2,0.849443364,0.680457136
YPL252C+r_0043_1,0.849443364,0.680457136
YDR376W+r_0043_2,0.849443364,0.680457136
YDR538W+r_0044,0.849443364,0.680457136
YDR539W+r_0044,0.849443364,0.680457136
YLR231C+r_0045,0.849443364,0.680457136
YKR009C+r_0057,0.849443364,0.680457136
YJR025C+r_0058,0.849443364,0.680457136
YER175C+r_0059,0.849443364,0.680457136
YGL009C+r_0060_fwd,0.849443364,0.680457136
YGL009C+r_0060_rvs,0.849443364,0.680457136
YCL018W+r_0061,1.156711736,1.002668547
YGR087C+r_0062_1,1.156711736,1.002668547
YLR044C+r_0062_2,1.156711736,1.002668547
YLR134W+r_0062_3,1.156711736,1.002668547
YBR176W+r_0063,1.156711736,1.002668547
YDL080C+r_0064_1,1.156711736,1.002668547
YGR087C+r_0064_2,1.156711736,1.002668547
YLR044C+r_0064_3,1.156711736,1.002668547
YLR134W+r_0064_4,1.156711736,1.002668547
YDR127W+r_0065,1.156711736,1.002668547
YNR033W+r_0066,1.156711736,1.002668547
YMR289W+r_0067,1.156711736,1.002668547
YGR019W+r_0068,1.156711736,1.002668547
YCR053W+r_0069,1.156711736,1.002668547
YDL080C+r_0072,1.156711736,1.002668547
YLR410W+r_0073_1,1.156711736,1.002668547
YOR163W+r_0073_2,1.156711736,1.002668547
YDR017C+r_0074,1.156711736,1.002668547
YLR017W+r_0075,1.156711736,1.002668547
YER037W+r_0076_1,1.156711736,1.002668547
YGL224C+r_0076_2,1.156711736,1.002668547
YOR155C+r_0077,1.156711736,1.002668547
YER037W+r_0078_1,1.156711736,1.002668547
YGL224C+r_0078_2,1.156711736,1.002668547
YGR061C+r_0079,1.156711736,1.002668547
YGL125W+r_0080_1,1.156711736,1.002668547
YPL023C+r_0080_2,1.156711736,1.002668547
YDR232W+r_0081,1.156711736,1.002668547
YOR163W+r_0082,1.156711736,1.002668547
YDR017C+r_0083,1.156711736,1.002668547
YER183C+r_0084,1.156711736,1.002668547
YER091C+r_0085,1.156711736,1.002668547
YJR024C+r_0086,1.156711736,1.002668547
YPR118W+r_0087_fwd,1.156711736,1.002668547
YPR118W+r_0087_rvs,1.156711736,1.002668547
YLR410W+r_0088_fwd,1.156711736,1.002668547
YLR410W+r_0088_rvs,1.156711736,1.002668547
YLR410W+r_0089_fwd,1.013392381,1.315334113
YLR410W+r_0089_rvs,1.013392381,1.315334113
YIL107C+r_0090_1,1.013392381,1.315334113
YOL136C+r_0090_2,1.013392381,1.315334113
YGR248W+r_0091_1,1.013392381,1.315334113
YHR163W+r_0091_2,1.013392381,1.315334113
YLR410W+r_0092_1,1.013392381,1.315334113
YOR163W+r_0092_2,1.013392381,1.315334113
YDR017C+r_0093,1.013392381,1.315334113
YGR087C+r_0095_1,1.013392381,1.315334113
YLR044C+r_0095_2,1.013392381,1.315334113
YLR134W+r_0095_3,1.013392381,1.315334113
YLR355C+r_0096,1.013392381,1.315334113
YCL009C+r_0097_1,1.013392381,1.315334113
YMR108W+r_0097_1,1.013392381,1.315334113
YMR108W+r_0097_2,1.013392381,1.315334113
YKL192C+r_0099_fwd,1.013392381,1.315334113
YIL160C+r_0100,1.013392381,1.315334113
YIL160C+r_0101,1.013392381,1.315334113
YIL160C+r_0102,1.013392381,1.315334113
YPL028W+r_0103_fwd,1.013392381,1.315334113
YPL028W+r_0103_rvs,1.013392381,1.315334113
YPL028W+r_0104_fwd,1.013392381,1.315334113
YPL028W+r_0104_rvs,1.013392381,1.315334113
YIL160C+r_0105,1.013392381,1.315334113
YIL160C+r_0106,1.013392381,1.315334113
YIL160C+r_0107,1.013392381,1.315334113
YMR207C+r_0108,1.013392381,1.315334113
YDL141W+r_0109,1.013392381,1.315334113
YNR016C+r_0109,1.013392381,1.315334113
YBL015W+r_0111,1.013392381,1.315334113
YAL054C+r_0112_1,1.013392381,1.315334113
YLR153C+r_0112_2,1.013392381,1.315334113
YAL054C+r_0113,1.013392381,1.315334113
YLR153C+r_0114,1.013392381,1.315334113
YER069W+r_0115,1.013392381,1.315334113
YBR093C+r_0116_1,1.013392381,1.315334113
YAR071W+r_0116_2,1.013392381,1.315334113
YBR092C+r_0116_3,1.013392381,1.315334113
YHR215W+r_0116_4,1.013392381,1.315334113
YPR002W+r_0117_fwd,1.013392381,1.315334113
YPR002W+r_0117_rvs,1.013392381,1.315334113
YOL140W+r_0118,1.013392381,1.315334113
YPL148C+r_0119,1.013392381,1.315334113
YGL205W+r_0120,1.013392381,1.315334113
YGL205W+r_0121,1.013392381,1.315334113
YGL205W+r_0122,1.013392381,1.315334113
