ID,S1,ST
YDL174C+r_0001_1,0.3808319014014658,0.42844417913606014
YEL039C+r_0001_1,0.38564930165326605,0.47332944552329875
YDL174C+r_0001_2,0.38730919538239555,0.48941551052071564
YJR048W+r_0001_2,0.29723115395367733,0.07597142462327877
YEL039C+r_0001_3,0.3753397172026715,0.38053847936690766
YEL071W+r_0001_3,0.3873094078668674,0.4894175900634934
YJR048W+r_0001_4,0.38730909348444786,0.48941451326784885
YEL071W+r_0001_4,0.2884763082570254,0.08570856723007718
YEL039C+r_0002_1,0.37216758502538366,0.3544551619877431
YDL178W+r_0002_1,0.3994342816011213,0.6165631502163216
YJR048W+r_0002_2,0.3833584292161138,0.451650721848454
YDL178W+r_0002_2,0.38911696610369645,0.507296322038482
YAL060W+r_0003_fwd,0.3892097952209603,0.5082246815801801
YAL060W+r_0003_rvs,0.31201926410069775,0.07960983848019765
YEL039C+r_0004_1,0.38169485795052477,0.4362877418406849
YML054C+r_0004_1,0.38734845633251563,0.4897998379902527
YJR048W+r_0004_2,0.37774384505254904,0.40108021499728214
YML054C+r_0004_2,0.38773861019479133,0.49362874020224
YGR032W+r_0005_1,0.3120207533876212,0.07961214838934846
YMR306W+r_0005_2,0.3072106313305713,0.07565860475637588
YCR034W+r_0005_3,0.2858938941897607,0.09026985891198672
YLR342W+r_0005_3,0.27002271091127894,0.13520034937155503
YGR143W+r_0006_1,0.3101743710501289,0.0777788549539604
YPR159W+r_0006_2,0.3816927968624133,0.436268905880291
YIL020C+r_0007,0.3112092253882663,0.0787579212588166
YHR037W+r_0012,0.27707247902124854,0.11165490928444559
YEL038W+r_0013,0.37259718727081553,0.35791965417525323
YMR009W+r_0013,0.3992967108572387,0.6150253935380013
YOL066C+r_0014,0.3176525637704595,0.0876338530762918
YBR153W+r_0015,0.38105702910768824,0.4304821197334713
YCL009C+r_0016_1,0.38730945442078096,0.4894180456779757
YMR108W+r_0016_1,0.3113283585227566,0.07887856367185589
YMR108W+r_0016_2,0.38363781901406735,0.45426218842954474
YNL256W+r_0017,0.38974346056356685,0.5135810173005689
YER152C+r_0018_1_fwd,0.30957978481367704,0.07727221852602366
