Value,Category,Type
266.0,gan_all_error_num_corr,Number
267.0,gan_all_error_num_corr,Number
269.0,gan_all_error_num_corr,Number
269.0,gan_all_error_num_corr,Number
272.0,gan_all_error_num_corr,Number
272.0,gan_all_error_num_corr,Number
272.0,gan_all_error_num_corr,Number
272.0,gan_all_error_num_corr,Number
272.0,gan_all_error_num_corr,Number
266.0,gan_all_error_num_corr_rmse,Number
267.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
271.0,gan_all_error_num_corr_rmse,Number
269.0,gan_all_error_num_corr_rmse,Number
272.0,GAN,Number
265.0,GAN,Number
264.0,GAN,Number
270.0,GAN,Number
265.0,GAN,Number
275.0,GAN,Number
272.0,GAN,Number
273.0,GAN,Number
272.0,GAN,Number
121.0,gan_all_error_num_corr,Extra
107.0,gan_all_error_num_corr,Extra
86.0,gan_all_error_num_corr,Extra
77.0,gan_all_error_num_corr,Extra
66.0,gan_all_error_num_corr,Extra
66.0,gan_all_error_num_corr,Extra
67.0,gan_all_error_num_corr,Extra
65.0,gan_all_error_num_corr,Extra
65.0,gan_all_error_num_corr,Extra
81.0,gan_all_error_num_corr_rmse,Extra
68.0,gan_all_error_num_corr_rmse,Extra
65.0,gan_all_error_num_corr_rmse,Extra
58.0,gan_all_error_num_corr_rmse,Extra
55.0,gan_all_error_num_corr_rmse,Extra
56.0,gan_all_error_num_corr_rmse,Extra
57.0,gan_all_error_num_corr_rmse,Extra
56.0,gan_all_error_num_corr_rmse,Extra
47.0,gan_all_error_num_corr_rmse,Extra
87.0,GAN,Extra
66.0,GAN,Extra
66.0,GAN,Extra
67.0,GAN,Extra
45.0,GAN,Extra
54.0,GAN,Extra
44.0,GAN,Extra
46.0,GAN,Extra
47.0,GAN,Extra
0.4147266872227179,gan_all_error_num_corr,Corr_All
0.43674180710240895,gan_all_error_num_corr,Corr_All
0.44511201017699237,gan_all_error_num_corr,Corr_All
0.44717615050231885,gan_all_error_num_corr,Corr_All
0.42214508111463933,gan_all_error_num_corr,Corr_All
0.42189388667542355,gan_all_error_num_corr,Corr_All
0.41619539644034015,gan_all_error_num_corr,Corr_All
0.41719935800166846,gan_all_error_num_corr,Corr_All
0.40735804501519035,gan_all_error_num_corr,Corr_All
0.4707639867991132,gan_all_error_num_corr_rmse,Corr_All
0.44832178757463825,gan_all_error_num_corr_rmse,Corr_All
0.4544374991373074,gan_all_error_num_corr_rmse,Corr_All
0.4536529526899748,gan_all_error_num_corr_rmse,Corr_All
0.5151885965422006,gan_all_error_num_corr_rmse,Corr_All
0.5194950842328778,gan_all_error_num_corr_rmse,Corr_All
0.5062726426744869,gan_all_error_num_corr_rmse,Corr_All
0.49880804353653857,gan_all_error_num_corr_rmse,Corr_All
0.48763942321512516,gan_all_error_num_corr_rmse,Corr_All
0.28804708644537624,GAN,Corr_All
0.22879974549469434,GAN,Corr_All
0.30630881980851343,GAN,Corr_All
0.3044288102941052,GAN,Corr_All
0.359308169014303,GAN,Corr_All
0.3342934294502954,GAN,Corr_All
0.3504871622710052,GAN,Corr_All
0.34256892092786495,GAN,Corr_All
0.3651500041884649,GAN,Corr_All
