error,corr,pvalue,number,RMSE
4.164110438180075,0.3486750740881741,4.0866796720351936e-08,287.1875,5.050552122716105
4.343396051516174,0.3699158119022513,1.2078240716576037e-08,276.0,7.871349621089443
4.236236943919634,0.39394684350619685,1.3361132187308537e-08,278.625,5.89311004801729
4.197571308988426,0.37807651802574754,2.0548802027454864e-09,282.9375,5.877171795959081
4.149160651629911,0.3915691668003999,4.566510211760597e-07,270.4375,3.822367662763418
4.31308476758731,0.3423243241143431,1.385178805751875e-07,279.375,4.042974695063335
4.195916963803763,0.3808429372457451,6.774938767681889e-09,273.625,6.104476275561597
4.18986631892089,0.3739410537361867,6.425564570748464e-08,277.375,4.916765428074038
4.208245750365859,0.338065085429158,4.7095643128605997e-07,276.8125,7.297698899886022
4.227051421673218,0.34255679143488266,3.3541577632865244e-06,271.375,4.977470105162377
4.3296716632739125,0.3376094122679774,1.8293843209281896e-06,274.3125,6.701540509416041
4.182431379688491,0.3994930428223896,5.360860397332419e-10,278.4375,4.880520944185925
4.18841987754181,0.42994263610603245,6.563219588936628e-13,276.0625,3.9732346728347125
4.188949272821665,0.354851376519679,3.8534940960726536e-07,273.8125,5.020296061925057
4.254819657525797,0.3339319945716309,6.881240088420371e-07,270.3125,5.640964634845387
4.1523534395130355,0.3716053550348303,4.347779023830046e-10,284.0,4.868726968544041
4.375518711788573,0.35884123380315097,7.949797772130699e-09,274.75,5.6399226500218775
4.048629147775494,0.40853523448741613,1.0676937661631983e-10,278.3125,5.5006105822790134
4.2277202845426105,0.35761087426074883,1.2933772347370994e-07,277.75,4.490240068402094
4.129850927249085,0.3675234342304418,3.0901939355406753e-09,275.5,5.830666894409013
4.057656187657087,0.3885154550097368,2.5722496139988117e-09,278.125,6.18615610384607
4.531085663738701,0.3619895557934164,3.2367293753660606e-07,278.8125,4.345964681509754
4.318538075175909,0.3916135367556207,1.1152534434781866e-09,278.8125,5.741305944850654
4.255175505252393,0.40829612634685875,1.6073323904550752e-11,268.3125,5.462148072176516
4.1663896971091186,0.3620931656720758,2.059965952111362e-08,270.75,10.171021785049204
4.234419725651482,0.3955783846967518,1.2919633466477473e-08,283.6875,5.894827028091323
4.208095594260945,0.4037634353306376,7.453278900387043e-10,276.0,5.746150733285834
4.309585871974135,0.36840595289990863,7.191174638453346e-07,267.9375,6.138957289876009
