error,corr,pvalue,number,RMSE
4.082141616093917,0.38168583991545807,1.8698293409338403e-08,283.6875,5.2102567404017055
4.203986157389904,0.362527315491693,1.1278200400811249e-08,277.125,3.6317305341433217
4.548318350237361,0.36357896807703316,2.2340861790397628e-08,281.5625,4.751147720425321
4.3050808163675836,0.3649759942506309,9.895603320105911e-09,287.25,6.208552113170589
4.300700349542083,0.3666186019841859,9.090652755581467e-09,279.125,7.916801924397825
3.917017581913745,0.4100578654624428,1.143234773636466e-08,277.8125,3.8465659479425027
4.039177301050204,0.38661135051244294,1.251724601907374e-08,279.5625,5.522539932595052
4.000473071865413,0.4004228258250784,9.295231141375311e-11,282.25,5.114287534517669
4.195705841414966,0.41728694363917007,2.8881811870999166e-10,276.3125,5.406380323994903
4.076274661443815,0.4137016012765538,6.857435209186939e-11,277.75,6.229234137975035
4.090344523024,0.3396158853252828,1.6180233980679133e-07,277.375,4.611147103273236
4.431291390770923,0.4024300286410424,2.766600271050221e-10,283.625,7.891885007363535
4.268409796406328,0.3750627800925539,2.211255845919409e-07,276.375,5.480121946037775
3.939079871821557,0.35726539635557164,2.3780914947780676e-09,290.875,6.336611992494252
4.121766754869166,0.371648779407657,1.7684841256446656e-06,286.75,5.901500718235162
4.244849930418007,0.36659687284949816,1.4587640522884799e-06,276.3125,4.328390816229743
4.196093243863312,0.3724170604950451,4.414473011191523e-08,275.4375,4.441070420958453
4.116635338036684,0.4049765893303303,4.0443788933503143e-10,279.625,5.690692133641525
4.275830625653597,0.3685866740091166,7.355432271721329e-06,275.5625,4.710819138124682
4.294587329904842,0.42263187277232084,1.452957420607475e-09,274.4375,7.174884627271825
4.243305323508456,0.38849837730566705,6.565511397136659e-10,284.625,8.079971299257112
4.109336295938585,0.35664503479382936,1.5720290558032701e-06,272.375,4.483798783224611
4.532849446406803,0.35373422829324586,1.0431252365352723e-08,273.4375,6.1934654482432085
3.9978755072937378,0.3933802558188682,5.087317373904193e-11,284.4375,5.469684850332515
4.144439126740434,0.3732984421321265,7.810519029940885e-08,281.6875,6.71791835354869
4.411272121693799,0.3690081685340613,8.161306029464595e-08,282.4375,6.293585096872038
4.183435519422724,0.3796732677174815,2.325029611408183e-07,283.375,4.95663603148111
4.090558037165107,0.36471675066929454,2.1490510668451187e-08,276.6875,5.505381789435237
4.139830815421338,0.36770464569503647,5.839109605578648e-05,278.6875,4.6659114850813
4.114661029857588,0.38298207311603305,1.5384980076355322e-09,279.125,4.93951781653009
