error,corr,pvalue,number,RMSE
3.927968716,0.404883813,8.19E-10,282.5625,4.317974034
3.948248657,0.427190759,2.36E-13,282.0625,6.031415039
4.038271797,0.423442955,4.27E-11,275.5,3.9362574
3.998785354,0.42035155,1.04E-09,270.125,4.434870551
3.939259412,0.404386654,1.08E-10,284.4375,4.148434927
3.959390454,0.414756548,5.49E-08,277.9375,4.74224412
3.977665401,0.414239787,3.14E-09,282.9375,4.33661339
4.086446264,0.44692669,1.44E-11,279.1875,5.251523895
4.007083066,0.423418372,1.66E-10,268.25,4.620156679
3.894036519,0.400807968,1.11E-07,277,4.756693033
3.988652179,0.424897722,4.91E-09,275.4375,5.15711815
3.923075659,0.416861039,7.68E-10,280.5625,5.702229802
3.985160461,0.413097374,2.72E-08,276.6875,4.139442018
3.936810951,0.408221394,1.56E-07,280.0625,4.639787785
4.030585499,0.432727527,3.31E-12,276.3125,5.100618332
3.962513476,0.431131209,9.36E-13,268.8125,6.364338972
4.052957195,0.428362647,1.58E-11,280.125,4.349053575
4.162074685,0.45143344,8.29E-15,276.125,4.365466192
3.983330945,0.418210466,2.66E-11,271.9375,4.797906381
4.018634554,0.421645671,6.76E-10,278.5625,4.466517964
3.915004264,0.419816038,6.58E-09,282.625,6.355820691
3.975496895,0.405956559,3.76E-10,280.125,3.871315285
4.070915023,0.427812617,5.99E-12,279.625,4.045592545
4.070306291,0.437951268,1.95E-11,280.9375,5.022034517
3.950012636,0.407731472,1.97E-09,277.8125,4.572704142
4.049965861,0.436943897,4.23E-12,279.4375,5.336613413
3.959829318,0.400936701,4.87E-11,283.75,3.764019709
4.027058021,0.431752746,2.92E-10,269.0625,5.330370712
3.989146069,0.415711999,4.13E-09,271.5,4.580861805
3.921134158,0.412806245,2.30E-08,278,5.665028901
3.865381709,0.380743377,6.74E-10,273.1875,3.762209267
4.016424722,0.421536642,3.15E-10,277,4.605709343
3.944598953,0.397808757,3.97E-11,275,3.801553125
4.036391947,0.422610394,1.87E-11,275.1875,4.31438528
3.974459999,0.411930272,3.35E-11,279.625,4.540215172
3.978534766,0.403639518,1.18E-08,274.875,3.685216819
3.994372495,0.419902415,3.10E-11,278,4.898558108
4.03853752,0.419372149,3.54E-12,278.25,3.985627768
3.918745996,0.404057598,9.92E-08,278.3125,4.922393077
4.011555768,0.433801512,6.63E-11,282.75,5.880032885
3.962882006,0.413013765,9.64E-11,284.125,4.916410491
4.022489054,0.420261241,5.12E-10,282.875,4.419961526
4.033316413,0.434790589,4.63E-10,278.9375,5.571920778
3.904664687,0.394748628,2.36E-07,271.6875,4.372415104
3.99500617,0.415486655,1.56E-10,281.8125,4.540906137
3.917509862,0.398758707,3.18E-09,273.125,4.526371494
4.135790878,0.453918848,6.05E-10,274.3125,5.384222354
4.002113401,0.412888619,2.51E-12,283.875,4.204065334
3.986963483,0.408011909,9.05E-11,281.5,4.051877258
4.048431626,0.434802958,6.73E-10,284.25,5.350717766
4.122112643,0.44206401,3.07E-08,273.8125,4.587886738
4.088009627,0.429092843,1.50E-10,278.375,4.067700864
3.96586615,0.42979823,2.23E-11,277.5,6.557805399
3.968586137,0.425162147,1.51E-10,271.4375,6.081721603
3.958159044,0.407200412,1.27E-10,271.75,4.615719198
4.083564704,0.431004317,9.54E-12,276.5625,4.446208634
3.865480704,0.404099849,1.06E-08,278.125,6.245625791
3.966119891,0.412258315,5.79E-08,270.6875,5.031831071
3.93810796,0.412033414,3.55E-11,273,5.566638102
4.068675312,0.449473717,6.20E-12,271.5625,6.503922747
4.002159667,0.407720456,5.40E-09,276.6875,3.917432932
3.985931733,0.413147978,2.80E-11,282.5,4.755442569
4.131106389,0.441493347,8.52E-12,271.375,4.545601342
3.97575654,0.408961954,5.18E-11,274,4.582371262
4.006179378,0.404026412,8.47E-11,279.5625,3.51961776
4.017868352,0.422566376,5.01E-12,272.3125,5.035305575
4.072564395,0.430509076,5.02E-09,269.3125,4.698407722
3.941128848,0.389091381,8.41E-09,275.625,3.418885417
3.85963053,0.393595754,1.40E-05,280.125,5.506181746
3.991795611,0.41879913,1.45E-08,283.25,5.290505278
4.109432097,0.44037374,2.19E-12,282.5,4.990129927
3.960329468,0.398707358,2.75E-09,278.125,4.043501044
3.935658691,0.395518647,2.43E-08,284.1875,4.243618399
4.055411286,0.428825222,8.16E-13,278.125,5.003856772
3.966105587,0.406233691,4.64E-11,274.75,4.668504829
4.067799772,0.429279246,5.74E-12,273.5625,4.821324266
3.987992855,0.397593542,2.20E-10,279.0625,3.432846452
3.975710479,0.407522774,8.41E-11,279.5625,4.626778083
3.93130974,0.403170942,2.50E-10,273.25,5.101398116
4.044547609,0.426269683,4.38E-10,275.4375,5.037480769
4.020286975,0.412548478,1.74E-10,285.4375,4.231391957
3.985503399,0.409093189,7.55E-11,283,4.597767828
4.003508265,0.427668226,5.04E-11,267.5,6.005164911
4.064886273,0.439364547,2.72E-13,279,5.890833643
4.016700655,0.410266565,5.39E-10,274.0625,4.142672088
3.977798389,0.427727016,1.42E-09,280.0625,6.580681114
4.008860624,0.413554052,3.49E-07,277.5,4.638787538
4.010157616,0.420909992,1.24E-10,279.75,5.319757869
3.990697418,0.405910916,1.69E-08,273.25,4.308829778
4.015000775,0.413720538,6.70E-08,276.875,4.59035333
3.939744806,0.400980672,8.45E-11,275.125,4.899068043
3.955746259,0.433821454,2.30E-13,279.75,7.668728094
3.950378592,0.402433825,2.83E-08,278.625,4.846927632
4.079011312,0.41961513,2.10E-11,277.9375,3.915510406
4.027504287,0.41122076,1.22E-09,279.4375,4.150133522
4.015843899,0.408370696,3.39E-10,274.6875,4.119471404
3.973935136,0.410583465,2.74E-10,274.5625,5.161743376
4.010891382,0.405222256,2.02E-10,281.4375,3.94971423
4.025370636,0.412891813,2.15E-08,274.5,4.394209587
4.05545813,0.444954541,9.60E-15,267.625,6.807174895
4.006206066,0.411871759,1.95E-10,278.0625,4.689678607
4.043918116,0.423422947,2.19E-10,277.875,5.028068289
4.039179623,0.410958358,3.20E-09,277.625,4.015666889
4.016104171,0.422961165,8.96E-10,275.9375,5.607234236
4.168801665,0.445093017,9.15E-13,279.5,4.674381654
3.997455244,0.429213259,6.32E-11,277.3125,6.59745386
3.917292385,0.401233327,2.58E-09,276.875,5.578505622
3.917846151,0.419182439,2.88E-12,271.25,7.261546887
3.949875046,0.385852874,4.60E-07,274.125,3.503888871
4.047439591,0.413148433,3.45E-10,277.5,4.136326726
4.015178494,0.414055661,2.97E-10,274.4375,4.861708923
4.095536435,0.42934014,7.18E-12,282.25,4.709542944
3.952450636,0.412548645,2.28E-11,275.625,5.96718792
4.01476163,0.421167501,2.84E-11,275.8125,5.546497182
4.055232675,0.416685726,5.93E-10,277.0625,4.328418516
3.966384278,0.403870476,1.34E-09,273.5625,4.887855307
4.040771849,0.414940729,2.04E-11,273.125,4.461202754
3.995145787,0.397552697,2.81E-07,280.375,3.737239157
4.011299801,0.42266475,1.40E-10,275.6875,5.774532244
4.026879372,0.417757299,8.45E-09,276.125,5.007734807
4.053617384,0.429049673,2.74E-11,277.4375,5.546423101
4.203974666,0.452230838,5.14E-13,270.6875,4.750551918
3.933067738,0.386223405,3.61E-08,276.3125,3.951030036
