geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_1972,3.0673714e-05,Geotrichum_candidum_Seq_849
Yarrowia_lipolytica_Seq_1974,3.52683075e-06,YPR020W
Yarrowia_lipolytica_Seq_1977,5.0705057500000004e-05,YJL200C
Yarrowia_lipolytica_Seq_1986,4.927391375e-05,YCR012W
Yarrowia_lipolytica_Seq_1990,3.90712e-07,YHR008C
Yarrowia_lipolytica_Seq_2027,4.669599e-06,Arxula_adeninivorans_Seq_862
Yarrowia_lipolytica_Seq_2042,7.52854725e-06,YPL231W
Yarrowia_lipolytica_Seq_2074,5.241699425e-05,YIL155C
Yarrowia_lipolytica_Seq_2097,1.2956572250000001e-05,YGL026C
Yarrowia_lipolytica_Seq_2103,2.859355e-07,YKL029C
Yarrowia_lipolytica_Seq_2111,4.6947350999999996e-05,YKL106W
Yarrowia_lipolytica_Seq_213,6.91711e-07,YMR110C
Yarrowia_lipolytica_Seq_2160,7.38075725e-06,YFR047C
Yarrowia_lipolytica_Seq_2166,1.8030163e-05,YIL078W
Yarrowia_lipolytica_Seq_2181,1.272795e-07,YEL031W
Yarrowia_lipolytica_Seq_220,7.2325315e-06,YBR263W
Yarrowia_lipolytica_Seq_2206,4.955101749999999e-06,YIL116W
Yarrowia_lipolytica_Seq_2214,2.3805238e-05,YER065C
Yarrowia_lipolytica_Seq_2216,1.0339515e-06,YJR159W
Yarrowia_lipolytica_Seq_2226,1.76023575e-07,YBR229C
Yarrowia_lipolytica_Seq_2246,5.970325e-08,YER086W
Yarrowia_lipolytica_Seq_2289,2.02249275e-06,YMR300C
Yarrowia_lipolytica_Seq_2295,4.4938875e-06,YGL234W
Yarrowia_lipolytica_Seq_2300,1.526346025e-05,Nadsonia_fulvescens_var_elongata_Seq_2140
Yarrowia_lipolytica_Seq_2327,5.896662499999999e-07,YPR048W
Yarrowia_lipolytica_Seq_2333,3.1381775000000003e-07,YBR148W
Yarrowia_lipolytica_Seq_2356,1.5112249999999998e-07,YLR172C
Yarrowia_lipolytica_Seq_2365,1.78493e-07,YPL134C
Yarrowia_lipolytica_Seq_237,7.771614e-06,yHMPu5000041822_Dipodascus_geniculatus_Seq_921
Yarrowia_lipolytica_Seq_241,3.090951125e-05,YPR191W
Yarrowia_lipolytica_Seq_2413,4.377975e-06,YDR508C
Yarrowia_lipolytica_Seq_2414,5.717727e-06,YMR241W
Yarrowia_lipolytica_Seq_2422,9.63508825e-06,YCL018W
Yarrowia_lipolytica_Seq_2434,0.00010037069925,YJR009C
Yarrowia_lipolytica_Seq_2445,9.23945e-08,YJL101C
Yarrowia_lipolytica_Seq_2502,2.6870302999999997e-05,YHR037W
Yarrowia_lipolytica_Seq_251,1.0720125e-07,YOL061W
Yarrowia_lipolytica_Seq_2510,1.9670689999999995e-06,YPR183W
Yarrowia_lipolytica_Seq_2511,7.270575e-09,YGR032W
