geneID,yli_prot.1,proteinID
Yarrowia_lipolytica_Seq_5815,5.9845387499999985e-06,YPR006C
Yarrowia_lipolytica_Seq_587,1.5661975e-07,YER152C
Yarrowia_lipolytica_Seq_5870,5.9684935e-06,YMR108W
Yarrowia_lipolytica_Seq_5878,1.04916025e-06,Aspergillus_nidulans_Seq_1543
Yarrowia_lipolytica_Seq_588,4.41375675e-06,YPL280W
Yarrowia_lipolytica_Seq_5880,4.26578775e-06,YMR250W
Yarrowia_lipolytica_Seq_589,5.970325e-08,YMR110C
Yarrowia_lipolytica_Seq_5890,3.2516777499999997e-06,YPR192W
Yarrowia_lipolytica_Seq_5902,8.35951475e-06,YKL152C
Yarrowia_lipolytica_Seq_5903,2.9293862499999997e-06,YAL035W
Yarrowia_lipolytica_Seq_5905,4.773218e-06,YDR127W
Yarrowia_lipolytica_Seq_5913,1.40248e-07,YOR100C
Yarrowia_lipolytica_Seq_5919,7.79586625e-06,yHMPu5000035645_Yarrowia_divulgata_Seq_495
Yarrowia_lipolytica_Seq_5929,1.7224817e-05,YPL262W
Yarrowia_lipolytica_Seq_5957,5.1848e-08,YPL189W
Yarrowia_lipolytica_Seq_597,2.3316972499999996e-06,YBR020W
Yarrowia_lipolytica_Seq_5982,5.3473194749999995e-05,YER043C
Yarrowia_lipolytica_Seq_6007,5.772177500000001e-07,YDR531W
Yarrowia_lipolytica_Seq_602,6.400324999999999e-08,YMR015C
Yarrowia_lipolytica_Seq_6030,2.7278314999999997e-05,YBR196C
Yarrowia_lipolytica_Seq_6033,7.0284e-08,Fusarium_graminearum_Seq_316
Yarrowia_lipolytica_Seq_6036,2.7922155e-06,YJL088W
Yarrowia_lipolytica_Seq_6038,3.037449175e-05,YOR347C
Yarrowia_lipolytica_Seq_6083,3.7986400999999995e-05,YNR001C
Yarrowia_lipolytica_Seq_6085,9.513225e-08,Arthrobotrys_oligospora_Seq_4636
Yarrowia_lipolytica_Seq_6088,6.186041750000001e-06,YGR264C
Yarrowia_lipolytica_Seq_6090,1.8363669749999997e-05,YKR097W
Yarrowia_lipolytica_Seq_6112,1.2673146500000001e-05,YML008C
Yarrowia_lipolytica_Seq_6129,3.0826647499999995e-06,Metschnikowia_kipukae_Seq_1387
Yarrowia_lipolytica_Seq_6157,5.790081750000001e-06,YPL265W
Yarrowia_lipolytica_Seq_6158,4.1167732499999994e-06,YPR036W
Yarrowia_lipolytica_Seq_6202,2.1409669999999996e-06,YKL001C
Yarrowia_lipolytica_Seq_622,2.5299725000000003e-07,YMR271C
Yarrowia_lipolytica_Seq_6248,2.36084875e-06,YOL064C
Yarrowia_lipolytica_Seq_6255,4.6291889999999996e-06,yHMPu5000041863_Candida_gorgasii_Seq_1495
Yarrowia_lipolytica_Seq_6269,5.8284525e-07,YJL153C
Yarrowia_lipolytica_Seq_6275,1.135222e-06,YGR282C
Yarrowia_lipolytica_Seq_6277,1.4866650249999998e-05,YGR209C
Yarrowia_lipolytica_Seq_6279,1.3357744750000002e-05,YPL078C
Yarrowia_lipolytica_Seq_6320,3.5224699999999998e-06,YHR208W
Yarrowia_lipolytica_Seq_6321,2.5938330000000003e-06,YEL058W
Yarrowia_lipolytica_Seq_6328,9.099975499999999e-06,YDR047W
Yarrowia_lipolytica_Seq_6340,1.51829025e-06,YNR043W
Yarrowia_lipolytica_Seq_6355,1.076775e-07,YBR019C
Yarrowia_lipolytica_Seq_6362,1.6401907499999999e-06,YHR025W
Yarrowia_lipolytica_Seq_6367,7.46419625e-06,YLR377C
Yarrowia_lipolytica_Seq_6369,7.10904575e-06,YDL168W
Yarrowia_lipolytica_Seq_6408,3.6341755e-06,yHMPu5000035645_Yarrowia_divulgata_Seq_495
Yarrowia_lipolytica_Seq_6409,4.1028232249999994e-05,YOR317W
Yarrowia_lipolytica_Seq_6430,1.0384348750000002e-05,YIL083C
Yarrowia_lipolytica_Seq_653,2.6139225000000005e-07,YPR156C
Yarrowia_lipolytica_Seq_654,1.604666275e-05,YGL245W
Yarrowia_lipolytica_Seq_691,1.6345519750000004e-05,YDR298C
Yarrowia_lipolytica_Seq_698,1.86306525e-06,YBR249C
Yarrowia_lipolytica_Seq_70,3.766912e-06,YPL088W
Yarrowia_lipolytica_Seq_707,9.749845375000001e-05,YJR121W
Yarrowia_lipolytica_Seq_709,3.342825e-08,YLR057W
Yarrowia_lipolytica_Seq_723,1.3077682249999998e-05,YBR115C
Yarrowia_lipolytica_Seq_730,2.3219975e-07,YJL121C
Yarrowia_lipolytica_Seq_732,1.5360975e-07,YER141W
Yarrowia_lipolytica_Seq_733,2.84795e-08,YNR033W
Yarrowia_lipolytica_Seq_743,1.9037367499999998e-06,YOR128C
Yarrowia_lipolytica_Seq_746,6.88686875e-06,YGL253W
Yarrowia_lipolytica_Seq_782,9.581682999999999e-06,YDL198C
Yarrowia_lipolytica_Seq_793,2.880024e-06,YHR042W
Yarrowia_lipolytica_Seq_8,1.2167838e-05,YDL103C
Yarrowia_lipolytica_Seq_806,3.1033283500000005e-05,YAL062W
Yarrowia_lipolytica_Seq_814,1.60248675e-06,YML059C
Yarrowia_lipolytica_Seq_818,1.0364278249999999e-05,YJR137C
Yarrowia_lipolytica_Seq_828,6.165173699999999e-05,YPR002W
Yarrowia_lipolytica_Seq_843,9.05096905e-05,YER091C
Yarrowia_lipolytica_Seq_850,1.9026675e-08,YNL106C
Yarrowia_lipolytica_Seq_852,2.15377375e-06,YHR007C
Yarrowia_lipolytica_Seq_87,3.0367825000000003e-07,YOR251C
Yarrowia_lipolytica_Seq_871,1.0819955000000002e-05,YDL215C
Yarrowia_lipolytica_Seq_882,6.0415115e-06,YER069W
Yarrowia_lipolytica_Seq_889,3.31436025e-06,YER055C
Yarrowia_lipolytica_Seq_89,2.36269375e-06,YKR078W
Yarrowia_lipolytica_Seq_919,5.4381249999999996e-08,YOR002W
Yarrowia_lipolytica_Seq_922,4.1816025000000004e-07,YGL039W
Yarrowia_lipolytica_Seq_928,2.6688375e-07,YGL156W
Yarrowia_lipolytica_Seq_941,2.5746475000000006e-07,YPL023C
Yarrowia_lipolytica_Seq_943,1.837785425e-05,YGR088W
Yarrowia_lipolytica_Seq_946,1.1123752499999998e-05,YJR104C
Yarrowia_lipolytica_Seq_958,2.12365705e-05,YDL066W
Yarrowia_lipolytica_Seq_959,3.7561391499999996e-05,YLR303W
Yarrowia_lipolytica_Seq_990,2.0327449999999998e-07,Metschnikowia_santaceciliae_Seq_1206
