error,corr,pvalue,number,error_num,RMSE
3.757990493016509,0.2660882693996638,2.3508844629054563e-05,246.0,49.0,0.0
3.9400260242479996,0.19511521423605432,0.0021552689345715366,245.0,58.0,0.0
4.1493043967003,0.18152563241636882,0.004054013909821991,249.0,65.0,0.0
3.8131376725326684,0.1974610149046061,0.0019406224593074282,244.0,61.0,0.0
4.3933215147204105,0.18840087043092563,0.0043068820094797075,228.0,67.0,0.0
4.178666931576292,0.15893382880963292,0.012744215726610462,245.0,69.0,0.0
4.207092186952277,0.2391497897741617,0.00011159698907152642,256.0,69.0,0.0
4.2506440000509045,0.18173122173137016,0.0039382195499272,250.0,70.0,0.0
4.147540982257342,0.11910032072422691,0.06324432992821893,244.0,69.0,0.0
4.170694709719126,0.14452450658851568,0.022819667506127017,248.0,70.0,0.0
4.031813052388968,0.13229362287704058,0.037342797871712886,248.0,71.0,0.0
4.04341845890517,0.22779770974610256,0.0002981442936607064,248.0,66.0,0.0
3.8811547383331444,0.21585630264792696,0.00101093593703867,229.0,55.0,0.0
4.267962465487728,0.17539726666777467,0.005808452892990778,246.0,70.0,0.0
4.1895326305889045,0.22803772864391345,0.00031989703677650705,245.0,70.0,0.0
4.375547278736858,0.09426449131867701,0.13720125663135044,250.0,70.0,0.0
4.0394524901058695,0.14416806548948644,0.022882753099568862,249.0,66.0,0.0
4.383469569435218,0.16414032278595805,0.009182479502671074,251.0,75.0,0.0
3.837157966212148,0.21861662698650514,0.0004372643410266325,255.0,60.0,0.0
4.199617538488722,0.14141026970220807,0.027197832640222224,244.0,64.0,0.0
4.289292800980917,0.133225262150876,0.035636052192714915,249.0,71.0,0.0
3.6776628345138604,0.25997831965138696,3.93866465104822e-05,244.0,53.0,0.0
4.170913686301687,0.10050743417281231,0.1158688103204882,246.0,67.0,0.0
4.3100650676139916,0.2121486453673044,0.0007353062348099324,250.0,73.0,0.0
4.197570258128826,0.1432049584191877,0.02381959088901198,249.0,70.0,0.0
4.2805769863018295,0.19847963271318372,0.0017578586394288384,246.0,74.0,0.0
4.0704472453348455,0.15654675769623225,0.012313830185388347,255.0,67.0,0.0
4.142409292783605,0.17326575738474628,0.0058205576569155225,252.0,66.0,0.0
3.696382678863598,0.25421076620427613,5.9020996894623804e-05,244.0,54.0,0.0
3.5671080459629696,0.3040228950953881,8.691926822192966e-07,252.0,55.0,0.0
4.006554211694564,0.19604560294871232,0.0020067806697507723,246.0,67.0,0.0
4.146906103796341,0.0966359390482628,0.12228369878091744,257.0,70.0,0.0
4.338552784843727,0.15396564938323992,0.015022759130736587,249.0,75.0,0.0
4.344915210783501,0.09062156914292988,0.15905241020247768,243.0,73.0,0.0
4.232416999817652,0.1419842859186672,0.02307719333687318,256.0,73.0,0.0
4.167720204701375,0.16289825070387137,0.010817766366057885,244.0,65.0,0.0
3.9758999571291205,0.16137455719928614,0.010446227287367863,251.0,60.0,0.0
4.07072761684283,0.19037967071630904,0.0027153493242366065,246.0,66.0,0.0
4.078380162343974,0.17490383344255206,0.005950057545496195,246.0,65.0,0.0
4.127102876963286,0.16452875209006346,0.010356015509003686,242.0,64.0,0.0
4.1356216383155004,0.10465175353062263,0.10293267664478715,244.0,68.0,0.0
4.1540436866798265,0.18897591149726461,0.0025938532043927533,252.0,73.0,0.0
4.107565960835936,0.17045558027806432,0.006791826970283861,251.0,66.0,0.0
4.233257267913127,0.1678679985799723,0.007818118981697179,250.0,72.0,0.0
4.21047786298076,0.12666733699203694,0.04904344732029818,242.0,69.0,0.0
3.625165835190264,0.31916844479576084,2.3773567662927821e-07,251.0,53.0,0.0
4.240962690556846,0.18525622542227024,0.003410770689266702,248.0,67.0,0.0
4.134410959334552,0.14105636389531084,0.026641924460518135,247.0,69.0,0.0
4.284969713596289,0.13863340308710426,0.029719193058275816,246.0,74.0,0.0
4.0193721299847125,0.17978012377092042,0.004429562727516866,249.0,65.0,0.0
4.147575041847649,0.144167785382311,0.022068535187510258,252.0,70.0,0.0
4.174605062467489,0.19545374278147434,0.002028459356249478,247.0,67.0,0.0
4.288609997520824,0.16123045130123756,0.010059511990350252,254.0,66.0,0.0
4.204512582349941,0.14713497563848246,0.02378115166035203,236.0,67.0,0.0
4.192707572175443,0.13888320659265976,0.02569543087580022,258.0,74.0,0.0
4.132065144719466,0.1401524042062187,0.02609592365225884,252.0,71.0,0.0
4.166062166748356,0.1892410700734892,0.003000146437704717,244.0,67.0,0.0
4.09579180388665,0.20974471138129475,0.0008069920511196519,252.0,63.0,0.0
4.273213481018083,0.11338247242447812,0.07237678804197663,252.0,69.0,0.0
4.064456901818662,0.17923938576100318,0.004085916443257608,255.0,71.0,0.0
4.155017799011302,0.1773416379089473,0.004832890578728596,251.0,65.0,0.0
4.374388037852344,0.19567524259357108,0.0032053585935464257,225.0,63.0,0.0
4.069079884091025,0.17614376542524934,0.005043332544486745,252.0,66.0,0.0
3.9527916615956555,0.15449816824874302,0.014082656599157289,252.0,66.0,0.0
4.266981329453407,0.13153155277127762,0.04133293503230928,241.0,72.0,0.0
4.229355700076682,0.17255688262876379,0.007011849136371312,243.0,68.0,0.0
4.216039370142116,0.16221040761396896,0.010354534071280196,249.0,69.0,0.0
4.043115637036462,0.17242436652836882,0.006274021233068661,250.0,69.0,0.0
4.176705926319672,0.1214776062711418,0.057086257291482326,246.0,72.0,0.0
4.188293913912006,0.13956063240608324,0.02704619958063857,251.0,70.0,0.0
4.1700416969496965,0.16725994272380232,0.007674486897381254,253.0,71.0,0.0
4.027714816836254,0.18631480255789198,0.0029305018757016777,253.0,68.0,0.0
4.268027291283913,0.11100834435741003,0.09449508554108518,228.0,67.0,0.0
4.042787151619557,0.20378931406711534,0.0010411988023062897,256.0,66.0,0.0
4.246439079443218,0.16936357568715446,0.007765639711975511,246.0,65.0,0.0
4.336004220191529,0.15410763297794822,0.021923543105767718,221.0,63.0,0.0
4.234365555941315,0.12977558739444625,0.038750261225615236,254.0,74.0,0.0
4.305707766396612,0.16652019327663137,0.008876871761093507,246.0,71.0,0.0
4.241812402314034,0.1362532895872761,0.03339133191075996,244.0,69.0,0.0
4.244189284904824,0.1326081599882968,0.03650684478816767,249.0,73.0,0.0
4.152626679411378,0.15022624002006715,0.018155245331857323,247.0,67.0,0.0
4.205465152476017,0.12185552461215984,0.05288574309255808,253.0,75.0,0.0
3.787355373600959,0.23861172646558915,0.0001484674453361189,248.0,59.0,0.0
3.9617028848936244,0.15420254170288952,0.014664822959524672,250.0,65.0,0.0
4.235989825608577,0.15645102367658048,0.012718901220240489,253.0,72.0,0.0
4.397256751621532,0.1420221752327355,0.024722632274582716,250.0,73.0,0.0
4.1805337150782105,0.19071277892766292,0.0026145812418665775,247.0,69.0,0.0
4.019087317932278,0.16266089700076777,0.010141249744357421,249.0,67.0,0.0
4.235011748001673,0.1473621120731011,0.021032691857114726,245.0,73.0,0.0
4.213260852970697,0.14632894716368625,0.023962229062958234,238.0,66.0,0.0
4.215451325307354,0.1630133688335367,0.009680046188701014,251.0,74.0,0.0
4.1217391903189355,0.15582246992488957,0.014425300448585605,246.0,63.0,0.0
4.139006591404699,0.11210455777263095,0.07336662039594051,256.0,72.0,0.0
4.25490478736508,0.16326805972987657,0.010010603727901685,248.0,73.0,0.0
4.182504363489443,0.2240755874684286,0.00045629979228444185,241.0,70.0,0.0
3.6830946645992073,0.3090724872375152,6.19741175420683e-07,250.0,54.0,0.0
4.111038213652514,0.15280535536041986,0.014392700888481647,256.0,66.0,0.0
4.257667099607189,0.12990477954812338,0.038943155072904224,253.0,77.0,0.0
4.13405804172517,0.1185997117646854,0.06114545894459707,250.0,71.0,0.0
3.628662524686105,0.30432557975520386,1.1461443487367735e-06,246.0,51.0,0.0
3.6362880916291718,0.30443166834606067,1.1358682656159981e-06,246.0,57.0,0.0
3.9612216020537776,0.18122195063373145,0.005136702374732819,237.0,59.0,0.0
3.8209781270073555,0.22588953058682587,0.0006780019350221338,223.0,52.0,0.0
4.20030861819328,0.17097439796909716,0.006622678462116987,251.0,68.0,0.0
4.048767597260939,0.1631908744181065,0.010355655360204143,246.0,65.0,0.0
4.200642146651183,0.17685055276831374,0.004867328516231043,252.0,71.0,0.0
4.331230950169554,0.15418163359755668,0.017778605262486955,236.0,73.0,0.0
4.385272879008108,0.16788894332970977,0.012640670916304723,220.0,64.0,0.0
