growth_rate_h-1,exp_glucose,exp_ethanol,exp_CO2,exp_O2,sim_glucose,sim_ethanol,sim_CO2,sim_O2,sim_acetate,sim_protein_pool,sim_glucose_abs,sim_ethanol_abs,sim_CO2_abs,sim_O2_abs,sim_acetate_abs,sim_protein_pool_abs
0.027,0.325917121149714,0.0,0.957020783560143,0.840845047999322,-0.34397764226842314,0.0,0.9000268492174753,-0.8548953836501236,0.0,178.0,0.34397764226842314,0.0,0.9000268492174753,0.8548953836501236,0.0,178.0
0.044,0.494144704652056,0.0,1.56484711381163,1.54277114377377,-0.53924767094042,0.0,1.3388594999649253,-1.2653119264477621,0.0,178.0,0.53924767094042,0.0,1.3388594999649253,1.2653119264477621,0.0,178.0
0.10225,1.1441811165618,0.0,2.68608596738391,2.42077135288014,-1.2085678079432411,0.0,2.84390543287457,-2.672990901235256,0.0,178.0,1.2085678079432411,0.0,2.84390543287457,2.672990901235256,0.0,178.0
0.152,1.60320845720337,0.0,3.8796884681049,4.05760576525164,-1.7802189120786935,0.0,4.129330929222287,-3.875257493435725,0.0,178.0,1.7802189120786935,0.0,4.129330929222287,3.875257493435725,0.0,178.0
0.21425,2.37362494155752,0.0,5.92310415776098,5.62833319678978,-2.530622839235647,0.0,5.948449577942405,-5.590303248424026,0.0,178.0,2.530622839235647,0.0,5.948449577942405,5.590303248424026,0.0,178.0
0.254,2.71217025984321,0.0,6.81312757610164,5.90540962542369,-3.012744719953195,0.0,7.127694607639466,-6.703093145027838,0.0,178.0,3.012744719953195,0.0,7.127694607639466,6.703093145027838,0.0,178.0
0.28425,3.14269663461493,0.0,8.54070414226343,7.98407343919044,-4.3542590900711025,1.7440535431194135,10.384510757028016,-8.165250493895966,0.0,178.0,4.3542590900711025,1.7440535431194135,10.384510757028016,8.165250493895966,0.0,178.0
0.33375,4.88134659826695,2.19329033296727,12.2395222910882,9.64295113005445,-10.014033447256953,13.108500170845168,19.480506858378636,-5.814046290684912,0.0,178.0,10.014033447256953,13.108500170845168,19.480506858378636,5.814046290684912,0.0,178.0
0.3785,6.70691099812471,5.83138997502245,14.3854528802947,9.5922636191899,-15.131823574901277,23.396794582522453,27.681656453667753,-3.6520888068541364,0.0,178.0,15.131823574901277,23.396794582522453,27.681656453667753,3.6520888068541364,0.0,178.0
