protein,gene
P17505,YKL085W
P38286,YBR159W
P47164,YJR130C
P37012,YMR105C
P32327,YBR218C
P00890,YNR001C
P17649,YGR019W
P38993,YMR058W
P40510,YIL074C
Q12362,YOL066C
P16451,YGR193C
P53199,YGL001C
P38066,YBL033C
P32473,YBR221C
P49723,YGR180C
Q12452,YLR100W
P38626,YIL043C
P51601,YGR267C
P32476,YGR175C
Q03266,YMR289W
Q05979,YLR231C
P53615,YNL036W
P32462,YNL280C
P36024,YKR072C
Q12676,YMR113W
P49090,YGR124W
P38169,YBL098W
P43619,YFR047C
P50861,YOL143C
P07991,YLR438W
P38720,YHR183W
P38145,YBR256C
P04806,YFR053C
P11412,YNL241C
P40215,YMR145C
P20967,YIL125W
Q99190,YDL015C
P32895,YKL181W
P29704,YHR190W
P19414,YLR304C
P53848,YNL256W
P40857,YJL097W
Q12256,YOR273C
P25358,YCR034W
P38689,YHL011C
P19262,YDR148C
P53045,YGR060W
P47096,YJR025C
P41835,YPL214C
P53315,YGR248W
P33312,YBR153W
P38604,YHR072W
P37254,YNR033W
P38840,YHR137W
Q06817,YPR081C
P18239,YBL030C
P19358,YDR502C
P10614,YHR007C
P12695,YNL071W
P16387,YER178W
Q99258,YDR487C
P40035,YER053C
Q04066,YDR428C
Q12154,YDL100C
Q06178,YLR328W
Q03028,YPL134C
P47125,YJR078W
P38225,YBR041W
P16603,YHR042W
P38795,YHR074W
P52489,YOR347C
Q12436,YLR130C
P40345,YNR008W
P38067,YBR006W
P46971,YJR143C
Q08224,YOL055C
