protein,gene
Q99297,YOR222W
P38009,YMR120C
P28241,YOR136W
Q07824,YLL028W
P23968,YHR026W
Q02046,YKR080W
P43616,YFR044C
P31382,YAL023C
P32419,YDL078C
P48836,YHR039C-A
P25087,YML008C
P32368,YKL212W
P00924,YGR254W
P23337,YFR015C
P20107,YMR243C
P32353,YLR056W
P23641,YJR077C
P33333,YDL052C
P00549,YAL038W
P39111,YGR020C
P16140,YBR127C
P00927,YER086W
P38929,YGL006W
P09938,YJL026W
Q12289,YOR100C
P54838,YML070W
P00925,YHR174W
P38988,YDL198C
P17064,YER056C
P32861,YKL035W
P32467,YHR092C
P31412,YKL080W
P18238,YBR085W
Q08579,YOR192C
P52910,YLR153C
Q04533,YML082W
P38628,YEL058W
P41807,YPR036W
P04807,YGL253W
P49089,YPR145W
P22217,YLR043C
P11154,YGL062W
Q05016,YMR226C
Q08650,YOR245C
P32386,YLL048C
P32264,YDR300C
P54885,YOR323C
P14065,YOR120W
P32796,YML042W
P33775,YDL095W
P41277,YIL053W
P38158,YBR299W
P39109,YDR135C
P40988,YMR319C
P33401,YKL127W
P25515,YEL027W
P52892,YDR111C
P00330,YOL086C
Q99271,YLR138W
P46367,YOR374W
P37303,YEL046C
P26364,YER170W
P39518,YER015W
P32477,YJL101C
P40054,YER081W
P37296,YMR054W
P00424,YNL052W
P32352,YMR202W
P28834,YNL037C
P32842,YPL234C
P38791,YHR068W
P32614,YEL047C
P00360,YJL052W
P32316,YBL015W
P32610,YEL051W
P00359,YGR192C
P25576,YCL047C
P32366,YLR447C
P17255,YDL185W
P39986,YEL031W
Q12265,YOL061W
Q02207,YKR009C
P39540,YJL196C
Q06497,YPR128C
P22203,YOR332W
P38088,YBR121C
P54783,YML086C
P40099,YER183C
P38063,YBL068W
P38295,YBR177C
P16861,YGR240C
P32563,YOR270C
Q00711,YKL148C
P32804,YGL255W
P35202,YOR143C
P32466,YDR345C
P10659,YLR180W
P54781,YMR015C
P32771,YDL168W
P08679,YCR005C
