protein,region,n_species,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YBR004C,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YBR006W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR011C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR018C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR019C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR020W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR021W,S_cerevisiae,1,0,0,0,1
YBR022W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBR023C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR026C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR029C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR034C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR035C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR036C,S_cerevisiae,1,0,0,0,1
YBR038W,S_cerevisiae,1,0,0,0,1
YBR039W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR041W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR042C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR046C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBR058C-A,S_cerevisiae,1,0,0,0,1
YBR068C,S_cerevisiae,1,0,0,0,1
YBR069C,S_cerevisiae,1,0,0,0,1
YBR070C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR084W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR085W,S_cerevisiae,1,0,0,0,1
YBR092C,S_cerevisiae,1,0,0,0,1
YBR093C,S_cerevisiae,1,0,0,0,1
YBR097W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBR110W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR111C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR115C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR117C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR121C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR126C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR127C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR132C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR145W,S_cerevisiae,1,0,0,0,1
YBR147W,S_cerevisiae,1,0,0,0,1
YBR148W,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YBR149W,S_cerevisiae,1,0,0,0,1
YBR153W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR159W,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YBR161W,S_cerevisiae,1,0,0,0,1
YBR166C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR176W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR177C,S_cerevisiae,1,0,0,0,1
YBR180W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBR183W,S_cerevisiae,1,0,0,0,1
YBR192W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR196C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR199W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBR204C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR205W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YBR208C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR213W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR218C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR221C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR222C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBR229C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR235W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR241C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR243C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR244W,S_cerevisiae,1,0,0,0,1
YBR248C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR249C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YBR252W,S_cerevisiae,1,0,0,0,1
YBR256C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR263W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR265W,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YBR281C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR291C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR293W,K_marxianus_and_S_cerevisiae,2,0,0,1,1
YBR294W,S_cerevisiae,1,0,0,0,1
YBR295W,S_cerevisiae,1,0,0,0,1
YBR296C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YBR298C,S_cerevisiae,1,0,0,0,1
YBR299W,S_cerevisiae,1,0,0,0,1
YCL004W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL005W-A,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YCL009C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL017C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL018W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL025C,S_cerevisiae,1,0,0,0,1
YCL030C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL035C,S_cerevisiae,1,0,0,0,1
YCL038C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL040W,S_cerevisiae,1,0,0,0,1
YCL047C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YCL050C,S_cerevisiae,1,0,0,0,1
YCL052C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL064C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCL069W,S_cerevisiae,1,0,0,0,1
YCR005C,S_cerevisiae,1,0,0,0,1
YCR010C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR011C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR012W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR024C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR024C-A,S_cerevisiae,1,0,0,0,1
YCR028C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR034W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR036W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR037C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR048W,S_cerevisiae,1,0,0,0,1
YCR053W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR068W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR075C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YCR083W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YCR087C-A,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YCR098C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YCR105W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YCR107W,S_cerevisiae,1,0,0,0,1
YDL004W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL015C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL022W,S_cerevisiae,1,0,0,0,1
YDL024C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDL040C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL042C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL045C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL052C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL055C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL066W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL067C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL078C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDL080C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL085W,S_cerevisiae,1,0,0,0,1
YDL090C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL093W,S_cerevisiae,1,0,0,0,1
YDL095W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL100C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL103C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL120W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDL131W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL141W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL142C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL166C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL168W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL171C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL174C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL178W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL182W,S_cerevisiae,1,0,0,0,1
YDL185W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL198C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL205C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL207W,K_lactis_and_K_marxianus,2,0,1,1,0
YDL210W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL215C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDL219W,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YDL236W,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YDL238C,S_cerevisiae,1,0,0,0,1
YDL239C,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YDL243C,S_cerevisiae,1,0,0,0,1
YDL245C,S_cerevisiae,1,0,0,0,1
YDL246C,S_cerevisiae,1,0,0,0,1
YDL247W,S_cerevisiae,1,0,0,0,1
YDR001C,S_cerevisiae,1,0,0,0,1
YDR007W,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YDR009W,S_cerevisiae,1,0,0,0,1
YDR017C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR019C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR020C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR023W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR035W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR036C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR037W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR038C,S_cerevisiae,1,0,0,0,1
YDR039C,S_cerevisiae,1,0,0,0,1
YDR040C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR044W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR046C,S_cerevisiae,1,0,0,0,1
YDR047W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR050C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR051C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR058C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR062W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR071C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR072C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR074W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR093W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR098C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR105C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR109C,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YDR111C,S_cerevisiae,1,0,0,0,1
YDR125C,K_lactis,1,0,1,0,0
YDR127W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR128W,K_lactis_and_K_marxianus,2,0,1,1,0
YDR135C,S_cerevisiae,1,0,0,0,1
YDR147W,S_cerevisiae,1,0,0,0,1
YDR148C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR158W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR173C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR178W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR191W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR196C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR204W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR208W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR226W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR231C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR232W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR234W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR236C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YDR242W,S_cerevisiae,1,0,0,0,1
YDR248C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR256C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR261C,S_cerevisiae,1,0,0,0,1
YDR268W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR270W,Y_lipolytica_and_K_marxianus_and_S_cerevisiae,3,1,0,1,1
YDR272W,S_cerevisiae,1,0,0,0,1
YDR284C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR287W,S_cerevisiae,1,0,0,0,1
YDR294C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR297W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR298C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR300C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR302W,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YDR305C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YDR315C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR321W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR322C-A,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR341C,S_cerevisiae,1,0,0,0,1
YDR342C,S_cerevisiae,1,0,0,0,1
YDR343C,S_cerevisiae,1,0,0,0,1
YDR345C,S_cerevisiae,1,0,0,0,1
YDR352W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR353W,S_cerevisiae,1,0,0,0,1
YDR354W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR367W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR368W,S_cerevisiae,1,0,0,0,1
YDR371W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR373W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR376W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR377W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR380W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR384C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR387C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR399W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR400W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR402C,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR403W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR408C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR410C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR428C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YDR437W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR440W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR441C,S_cerevisiae,1,0,0,0,1
YDR452W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR453C,S_cerevisiae,1,0,0,0,1
YDR454C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR456W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR481C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR483W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR487C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR497C,S_cerevisiae,1,0,0,0,1
YDR502C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR503C,K_lactis_and_S_cerevisiae,2,0,1,0,1
YDR508C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR513W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR516C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR529C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR530C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR531W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YDR533C,S_cerevisiae,1,0,0,0,1
YDR536W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YDR538W,S_cerevisiae,1,0,0,0,1
YDR539W,S_cerevisiae,1,0,0,0,1
YEL004W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL006W,S_cerevisiae,1,0,0,0,1
YEL017C-A,S_cerevisiae,1,0,0,0,1
YEL021W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL024W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL027W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL029C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL031W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL038W,Y_lipolytica_and_K_lactis_and_S_cerevisiae,3,1,1,0,1
YEL039C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL041W,S_cerevisiae,1,0,0,0,1
YEL042W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL046C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL047C,S_cerevisiae,1,0,0,0,1
YEL051W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL058W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YEL063C,S_cerevisiae,1,0,0,0,1
YEL066W,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YEL069C,S_cerevisiae,1,0,0,0,1
YEL070W,S_cerevisiae,1,0,0,0,1
YEL071W,S_cerevisiae,1,0,0,0,1
YER003C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER005W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER010C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER013W,Y_lipolytica_and_K_lactis_and_K_marxianus,3,1,1,1,0
YER014W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER015W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YER019W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER023W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER024W,K_lactis_and_K_marxianus_and_S_cerevisiae,3,0,1,1,1
YER026C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER037W,S_cerevisiae,1,0,0,0,1
YER042W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER043C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER052C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER053C,Y_lipolytica_and_S_cerevisiae,2,1,0,0,1
YER055C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER056C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER060W,S_cerevisiae,1,0,0,0,1
YER060W-A,S_cerevisiae,1,0,0,0,1
YER061C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER062C,S_cerevisiae,1,0,0,0,1
YER065C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER069W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER070W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER073W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER081W,S_cerevisiae,1,0,0,0,1
YER086W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER087W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER090W,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER091C,Y_lipolytica_and_K_lactis_and_K_marxianus_and_S_cerevisiae,4,1,1,1,1
YER099C,S_cerevisiae,1,0,0,0,1
YER119C,S_cerevisiae,1,0,0,0,1
