protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YAL012W,0.4274691393656232,-0.6173223989126412,-1.212391437991647,1.402244697538665
YAL035W,-1.701914829636786,0.37240054004696316,0.8660027998080744,0.463511489781748
YAL054C,-0.01247591461868203,-0.562463582546136,-1.0388411797378947,1.613780676902711
YAL062W,1.3597051775343856,0.2728963542499874,-1.426233356114627,-0.2063681756697445
YAR015W,-1.572087828069638,0.929490511704905,-0.15730430565418763,0.7999016220189185
YBL011W,-1.502813572207988,-0.016324207213199857,0.21763019806090356,1.3015075813602852
YBL015W,-1.1795156704320333,-0.7400771558553538,1.2904096896612287,0.629183136626159
YBL030C,0.07663311309474412,0.3835584511132986,1.1375887836261127,-1.5977803478341561
YBL039C,-1.5745654131361018,1.2051855642533875,0.17965112049241524,0.18972872839029897
YBL076C,0.7253020818633351,1.2210449989934817,-1.1839489195619726,-0.7623981612948431
YBL091C,0.26715971247267306,0.26366539366051966,1.0980790313531075,-1.6289041374862991
YBL099W,0.39067588693748856,-1.6097028283916197,0.10294866063949402,1.116078280814639
YBR006W,0.24788323297631887,0.36355475599406084,1.039541878919154,-1.6509798678895338
YBR011C,-1.157206726066159,-0.15205059091084172,-0.2889485375908668,1.598205854567867
YBR029C,-0.18793051667543578,-0.7713897442953426,-0.7264684492571576,1.6857887102279367
YBR035C,0.06243640120569807,1.5217426109349006,-0.3307926652963046,-1.2533863468442923
YBR039W,-0.23311580298628068,-1.0338921538329902,-0.3848450421424962,1.651852998961767
YBR084W,-0.8810299566806857,-0.41083930490678483,-0.4077574937041318,1.6996267552916033
YBR115C,0.4702908704710379,-1.0339728751202213,-0.8475079006908922,1.4111899053400763
YBR117C,-0.599522076629961,-0.8565958325363298,-0.23284613350237612,1.6889640426686665
YBR126C,-0.5427882010348385,-1.3693865799710745,0.9873537210758602,0.9248210599300497
YBR127C,-1.56475326011579,0.23195868717559073,1.2184714280359579,0.11432314490424135
YBR196C,-1.1959045438110145,0.4751318021669163,-0.6604724392279032,1.3812451808720025
YBR208C,0.19629631442455905,-0.017424343054359415,1.3150508526550753,-1.4939228240252636
YBR218C,-0.22023688042266107,-1.546322614908404,0.8804635576544075,0.8860959376766575
YBR221C,1.4568649299503091,-0.6975345684738435,0.3628638768530856,-1.12219423832955
YBR248C,-0.8582007611958835,1.6536930792065145,-0.7236193239486102,-0.0718729940620209
YBR256C,-0.889352415980897,1.6285864671155899,0.006896525409508743,-0.746130576544199
YBR263W,-1.2801811361425897,0.08544795908295316,-0.30821091305955806,1.5029440901191964
YBR291C,0.09873004888075011,-1.5240305353311772,1.2835454028159474,0.14175508363448133
YCL009C,-0.1665390583669187,-1.0458470690896868,-0.42906743225572963,1.6414535597123203
YCL017C,0.16761882912287931,-1.4854541660425664,-0.01077810616216182,1.3286134430818528
YCR012W,1.0709810547389067,-0.9528277123041358,0.9253365613458899,-1.0434899037806593
YCR034W,-0.9451203876563384,-0.5357716298596812,-0.18777153839957886,1.6686635559155982
YCR053W,-0.09574079735313773,1.6147083709428875,-1.0985408112911874,-0.4204267622985614
YDL015C,-1.1032597537640192,-0.1491147629235037,-0.36788561076057813,1.6202601274481019
YDL040C,0.12071374780635162,1.2009692030560781,-1.5745367892807456,0.25285383841831505
YDL052C,-0.9342257267804042,-0.4363460026664231,-0.31411170996826737,1.6846834394150938
YDL055C,-0.4647241767806034,0.1818791575220553,-1.220735843704686,1.503580862963235
YDL066W,-0.14348624961688497,-0.29204292817884203,1.5960388344520446,-1.1605096566563193
YDL080C,-1.1045419420155485,-0.025072758329128544,-0.4699254098920388,1.5995401102367175
YDL095W,0.023494844756816857,-1.5849337659752307,0.41439501602929285,1.1470439051891204
YDL100C,-0.65249239186109,1.160880261586073,-1.2782499840564532,0.7698621143314697
YDL103C,1.050835130900946,-0.6777296994327425,-1.274400166132286,0.9012947346640818
YDL131W,-0.418612261420771,-0.7477590611952889,-0.5537860027799452,1.7201573253960054
YDL168W,-0.18872769346868917,1.204948612063522,0.4909211273677178,-1.5071420459625529
YDL171C,-0.5013762689548603,-1.3955797033606787,0.9781271686492682,0.9188288036662703
YDL174C,-0.35576874151022886,-0.8414201399614541,-0.5079339460829889,1.705122827554672
YDL178W,-0.9790397336966354,-0.1876143312355911,-0.49503775019020213,1.6616918151224271
YDL185W,-1.564983344991153,-0.13596074084451917,0.6434256528507311,1.057518432984939
YDL198C,0.8170970127586243,-1.6912858658587058,0.6489924164476353,0.2251964366524462
YDL215C,0.5330949452332131,-1.591313656319154,1.0875076033611242,-0.029288892275183137
YDR019C,0.5536313520675383,0.2962791157068497,0.8487278330465683,-1.6986383008209585
YDR023W,-0.13305959502788128,0.2829429508825998,-1.4697545543619952,1.319871198507277
YDR035W,1.0768447437613222,0.0355481739382765,-1.6098645098718358,0.4974715921722361
YDR036C,1.7044050056241875,-0.6942307270305096,-0.7318262381348788,-0.2783480404588011
YDR037W,-1.3212308597661921,1.3983725652148835,-0.4232315881107822,0.3460898826620903
YDR040C,-0.30385002447909815,-1.0644364772219854,-0.2746440491317344,1.642930550832818
YDR044W,-0.5805217485385645,-0.3113347711192818,-0.8127140908683926,1.7045706105262386
YDR047W,0.7745016365872367,-1.7187060708091995,0.4868611175626908,0.45734331665927186
YDR050C,-1.3876673831117945,0.025257243071898423,-0.07565046793901554,1.4380606079789124
YDR062W,-1.6440119006687024,0.03401149349159785,0.8079525937162073,0.8020478134608967
YDR098C,1.2394012757625907,-0.37050741567228135,-1.4216451022777086,0.5527512421873998
YDR127W,1.695968596976961,-0.5605705148465759,-0.8548286402882315,-0.2805694418421519
YDR148C,-0.25734435799512967,0.7370417156235435,1.039895165355581,-1.5195925229839964
YDR158W,-0.8735449339027099,-1.0282464481606024,0.5200690090278187,1.3817223730354944
YDR196C,-1.4177267016693575,0.063830833788842,-0.054304284346831884,1.408200152227347
YDR234W,-0.8854596402215005,1.688977615686129,-0.5440531738444351,-0.2594648016201945
YDR297W,-1.4090055943628381,1.0450941978642991,-0.472362878742797,0.8362742752413351
YDR298C,-0.28386552542431526,-1.084119010042003,-0.2669061208719598,1.6348906563382786
