Value,Category,Type
288.0,Bay,Number
298.0,Bay,Number
288.0,Bay,Number
292.0,Bay,Number
288.0,Bay,Number
289.0,Bay,Number
293.0,Bay,Number
300.0,Gan,Number
296.0,Gan,Number
297.0,Gan,Number
295.0,Gan,Number
298.0,Gan,Number
301.0,Gan,Number
301.0,Gan,Number
89.0,Bay,Extra
84.0,Bay,Extra
76.0,Bay,Extra
84.0,Bay,Extra
80.0,Bay,Extra
89.0,Bay,Extra
89.0,Bay,Extra
63.0,Gan,Extra
75.0,Gan,Extra
58.0,Gan,Extra
72.0,Gan,Extra
70.0,Gan,Extra
64.0,Gan,Extra
71.0,Gan,Extra
0.33088551637534724,Bay,Corr_All
0.3527626278226154,Bay,Corr_All
0.3758012065521996,Bay,Corr_All
0.36467498676623683,Bay,Corr_All
0.34572596318073257,Bay,Corr_All
0.3461143939704402,Bay,Corr_All
0.3437491291382085,Bay,Corr_All
0.3894687718752431,Gan,Corr_All
0.44408635647431505,Gan,Corr_All
0.4848494009567836,Gan,Corr_All
0.443177335065955,Gan,Corr_All
0.46625646829907114,Gan,Corr_All
0.43769422014917175,Gan,Corr_All
0.42581285340256547,Gan,Corr_All
