all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YML007W,1.3692e-09,1.48967e-09,1.62688e-09,1.08877e-09,9.20895e-10,1.13186e-09,1.4476e-09,9.92848e-10,1.02919e-09,1.54063e-09,1.52828e-09,1.48765e-09,1.67883e-09,1.27442e-09,4.25524e-09,3.93605e-09,2.18493e-09,2.3263e-09,1.07743e-09,1.3587e-09,5.49629e-10,1.28119e-09,1.76321e-09,1.35765e-09,1.35675e-09,1.77686e-09,1.12892e-09,2.32869e-09,1.95826e-09,1.45611e-09,1.52291e-09,2.62213e-09,8.95486e-10,1.39628e-09,1.00683e-09,1.54504e-09,1.50392e-09,2.19643e-09,1.3412e-09,1.16162e-09,1.31896e-09,9.15593e-10
YDR118W,6.94257e-10,7.26042e-10,5.50602e-10,6.54723e-10,8.46453e-10,6.01533e-10,7.44403e-10,9.91408e-10,8.96476e-10,9.51201e-10,8.4432e-10,6.38988e-10,1.04115e-09,1.0565e-09,1.41191e-09,1.55359e-09,2.38288e-09,2.08756e-09,7.87419e-10,9.08817e-10,4.75953e-10,8.53407e-10,7.18973e-10,8.9042e-10,1.18274e-09,1.62972e-09,1.24161e-09,1.17877e-09,8.9845e-10,1.16721e-09,9.95923e-10,1.12915e-09,1.03071e-09,1.1748e-09,6.74351e-10,1.16533e-09,7.45293e-10,1.03391e-09,9.89759e-10,5.55407e-10,5.98563e-10,6.07382e-10
YBR151W,1.28094e-08,1.61756e-08,1.46082e-08,1.39774e-08,1.61105e-08,1.49306e-08,1.70088e-08,1.90522e-08,2.02064e-08,1.52692e-08,1.9576e-08,1.22682e-08,1.3734e-08,2.55099e-08,3.85435e-08,6.1694e-08,6.24651e-08,3.41621e-08,1.61678e-08,1.96664e-08,1.10766e-08,1.77622e-08,1.54274e-08,1.94688e-08,2.1583e-08,2.93361e-08,2.09421e-08,2.39398e-08,2.1674e-08,2.00384e-08,1.73769e-08,2.77995e-08,1.83229e-08,2.11567e-08,2.67666e-08,2.42347e-08,2.833e-08,2.97619e-08,1.58863e-08,1.34005e-08,1.17973e-08,1.71728e-08
YAL049C,6.06497e-07,6.58043e-07,5.33381e-07,4.83994e-07,4.26525e-07,4.2307e-07,5.11509e-07,4.8341e-07,4.76305e-07,4.55708e-07,5.10201e-07,6.22814e-07,4.54634e-07,3.98178e-07,2.38035e-06,3.28637e-06,3.37225e-06,1.91918e-06,4.60428e-07,6.4848e-07,4.16603e-07,7.97714e-07,6.91964e-07,9.27245e-07,8.17451e-07,1.54562e-06,7.35176e-07,1.18314e-06,9.03137e-07,9.40264e-07,5.91067e-07,1.20422e-06,3.89101e-07,7.92696e-07,8.26961e-07,1.03222e-06,7.12083e-07,1.01278e-06,6.98531e-07,2.97557e-07,4.0589e-07,3.95417e-07
YKR021W,0.0,0.0,2.39126e-09,5.77632e-09,0.0,0.0,2.37554e-09,4.83029e-09,0.0,0.0,0.0,3.63936e-09,0.0,8.06668e-09,0.0,7.95559e-09,0.0,0.0,0.0,4.05138e-09,0.0,3.99842e-09,0.0,4.3287e-09,5.0082e-09,0.0,0.0,0.0,4.19005e-09,0.0,0.0,5.34883e-09,0.0,0.0,0.0,0.0,8.41188e-09,4.79893e-09,2.02881e-09,0.0,1.72973e-09,0.0
YDR242W,5.69957e-08,8.1951e-08,7.5771e-08,6.66125e-08,5.44537e-08,5.39712e-08,7.24064e-08,6.14875e-08,5.0509e-08,4.14619e-08,3.90484e-08,4.07805e-08,3.35865e-08,5.06487e-08,4.98246e-08,7.652e-08,6.71942e-08,1.22467e-07,5.56548e-08,7.21051e-08,6.13703e-08,9.62981e-08,7.81545e-08,1.07615e-07,3.43665e-08,4.01508e-08,3.49762e-08,1.16054e-07,1.00169e-07,1.03238e-07,7.21044e-08,8.98655e-08,4.58177e-08,2.80197e-08,1.68235e-07,1.75217e-07,1.60579e-07,3.47773e-08,1.27663e-08,7.09485e-08,7.43049e-08,1.00819e-07
YOL062C,1.84037e-08,1.97585e-08,1.6247e-08,1.79924e-08,2.22454e-08,1.88076e-08,2.26453e-08,2.77646e-08,2.94472e-08,2.29053e-08,3.0501e-08,1.96075e-08,2.50884e-08,3.12885e-08,3.37104e-08,3.68523e-08,3.90096e-08,2.96324e-08,1.59555e-08,2.10269e-08,1.32213e-08,2.15873e-08,1.83272e-08,2.46847e-08,2.70401e-08,3.73071e-08,2.85128e-08,3.30735e-08,2.70632e-08,2.54903e-08,3.90296e-08,3.9234e-08,3.04449e-08,2.27241e-08,2.94472e-08,2.59687e-08,2.60724e-08,2.19818e-08,1.88366e-08,1.41243e-08,1.52942e-08,1.98153e-08
YBR288C,7.85594e-09,1.17161e-08,1.02061e-08,1.15285e-08,1.11496e-08,1.12624e-08,1.07312e-08,1.85179e-08,1.51576e-08,1.49673e-08,1.59161e-08,5.64516e-09,1.35445e-08,1.83968e-08,1.66158e-09,1.72449e-10,4.03614e-09,6.0256e-09,6.56957e-09,7.42071e-09,5.0325e-09,6.57574e-09,8.72212e-09,6.14729e-09,7.49658e-09,9.54324e-09,7.71933e-09,6.43096e-09,5.70465e-09,6.04386e-09,5.37336e-09,2.55976e-09,9.05723e-09,9.28493e-09,7.94026e-09,4.8866e-09,6.34364e-09,8.24953e-09,7.67194e-09,9.52798e-09,8.76725e-09,1.35658e-08
YDL008W,1.1266e-08,9.82881e-09,7.68658e-09,1.08599e-08,1.23174e-08,1.22896e-08,9.13305e-09,1.89865e-08,1.94582e-08,1.10969e-08,1.32835e-08,9.77749e-09,1.04817e-08,1.42773e-08,2.35475e-08,2.26389e-08,2.40209e-08,2.24563e-08,8.04771e-09,1.33822e-08,7.57814e-09,1.28777e-08,1.44784e-08,1.18481e-08,1.93525e-08,2.52341e-08,1.82998e-08,2.01647e-08,1.52172e-08,1.04981e-08,1.20428e-08,1.5281e-08,1.48572e-08,1.85456e-08,2.0101e-08,1.48803e-08,1.32353e-08,1.97848e-08,1.0359e-08,7.89173e-09,8.82756e-09,1.30746e-08
YHL021C,4.57187e-08,5.07898e-08,4.48777e-08,4.00358e-08,4.0839e-08,3.91295e-08,4.46635e-08,5.96465e-08,5.47996e-08,4.71541e-08,5.58132e-08,3.85413e-08,5.85379e-08,3.43689e-08,3.46367e-08,3.30988e-08,3.76297e-08,4.36461e-08,3.41159e-08,3.64103e-08,4.81111e-08,5.67512e-08,3.48088e-08,6.09696e-08,5.93307e-08,7.82548e-08,7.01542e-08,6.34792e-08,5.85516e-08,7.66553e-08,4.23836e-08,4.4346e-08,4.40161e-08,4.24387e-08,1.54072e-07,1.16507e-07,1.33117e-07,4.17751e-08,3.9608e-08,3.3586e-08,3.49393e-08,3.78143e-08
YMR157C,3.89594e-08,8.03657e-08,6.8673e-08,7.31369e-08,9.45223e-08,8.37735e-08,8.10826e-08,1.90964e-07,1.92979e-07,2.21451e-07,2.4182e-07,4.10557e-08,3.17389e-07,2.21302e-07,4.00714e-08,8.59238e-08,7.29824e-08,9.74213e-08,7.21927e-08,8.60214e-08,7.20372e-08,1.04378e-07,3.83464e-08,9.45784e-08,1.38412e-07,1.72047e-07,1.31185e-07,8.92409e-08,1.25228e-07,1.48671e-07,6.34082e-08,8.70143e-08,7.71635e-08,4.7855e-08,1.30295e-07,1.49876e-07,1.36008e-07,6.93558e-08,9.3473e-08,3.94834e-08,4.51071e-08,3.05721e-08
YOL053W,1.22917e-08,1.84994e-08,1.39752e-08,1.23604e-08,1.80109e-08,1.85745e-08,1.90928e-08,2.45574e-08,3.49219e-08,3.27171e-08,3.34955e-08,9.11861e-09,3.70845e-08,3.53775e-08,4.34237e-08,2.93838e-08,4.49321e-08,3.76368e-08,2.10528e-08,2.58532e-08,1.0734e-08,1.71345e-08,1.16882e-08,2.41331e-08,3.53815e-08,5.02171e-08,5.05726e-08,2.29597e-08,2.02151e-08,3.31147e-08,2.36775e-08,2.08149e-08,2.51609e-08,2.8616e-08,2.68882e-08,3.64926e-08,2.48536e-08,1.58935e-08,2.97811e-08,1.04927e-08,1.25605e-08,7.8881e-09
YBR194W,3.25825e-08,0.0,0.0,0.0,2.92274e-08,3.41851e-08,0.0,0.0,4.89456e-08,0.0,5.08915e-08,0.0,0.0,0.0,3.29231e-08,0.0,2.02218e-08,2.71016e-08,0.0,0.0,2.09861e-08,0.0,3.90407e-08,0.0,0.0,3.11288e-08,0.0,4.46168e-08,0.0,0.0,2.9277e-08,0.0,3.12459e-08,2.38559e-08,4.68883e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.469e-08
YBR158W,9.00462e-10,0.0,0.0,1.76418e-09,2.08831e-09,0.0,0.0,5.20088e-09,0.0,0.0,0.0,8.07357e-10,0.0,0.0,3.74453e-09,2.62724e-09,0.0,0.0,0.0,0.0,8.35735e-10,1.87968e-09,0.0,0.0,2.61125e-09,0.0,0.0,2.33349e-09,2.23151e-09,0.0,1.70514e-09,1.90319e-09,0.0,1.74607e-09,0.0,0.0,0.0,1.87944e-09,0.0,0.0,0.0,8.04352e-10
YGL115W,1.04779e-07,1.31149e-07,1.15419e-07,1.26792e-07,1.48024e-07,1.43158e-07,1.28778e-07,2.21821e-07,2.08642e-07,2.42325e-07,2.53318e-07,8.69895e-08,3.09448e-07,2.5713e-07,1.78605e-07,1.47779e-07,2.19974e-07,2.16477e-07,1.43934e-07,1.57123e-07,9.68669e-08,1.67423e-07,9.72701e-08,1.6494e-07,1.9295e-07,2.3733e-07,2.04384e-07,1.8794e-07,1.6283e-07,2.00636e-07,1.4842e-07,1.60588e-07,1.38273e-07,1.44734e-07,1.66136e-07,1.81655e-07,1.76497e-07,1.42016e-07,1.34155e-07,8.89485e-08,9.16816e-08,7.6012e-08
YIL036W,5.13697e-09,6.12706e-09,5.37147e-09,5.51167e-09,5.75558e-09,5.48733e-09,5.82814e-09,6.35702e-09,8.24412e-09,6.69624e-09,8.34367e-09,4.33172e-09,7.38993e-09,7.82523e-09,5.44216e-09,1.19497e-08,9.63852e-09,7.44936e-09,5.20538e-09,5.14343e-09,4.32361e-09,6.92306e-09,3.89518e-09,6.96929e-09,9.46679e-09,7.43695e-09,7.96676e-09,7.18663e-09,7.02735e-09,7.65083e-09,5.44686e-09,7.23818e-09,6.14549e-09,5.22042e-09,7.84109e-09,9.9673e-09,9.05931e-09,6.73547e-09,5.70559e-09,4.28445e-09,4.40349e-09,4.94193e-09
YHR047C,4.33461e-07,4.78484e-07,4.07858e-07,4.03923e-07,4.14792e-07,4.03993e-07,4.0483e-07,5.43499e-07,5.62532e-07,6.80632e-07,6.90582e-07,4.10396e-07,8.40358e-07,8.04755e-07,6.677e-07,9.10915e-07,8.19437e-07,8.67841e-07,4.85864e-07,5.37592e-07,3.26599e-07,5.31154e-07,3.95844e-07,5.83434e-07,6.40667e-07,7.57948e-07,6.09194e-07,6.28498e-07,5.60902e-07,6.73877e-07,5.07418e-07,7.52515e-07,4.98058e-07,5.32169e-07,5.62008e-07,8.29738e-07,7.57544e-07,6.04028e-07,4.94748e-07,3.21506e-07,3.27749e-07,3.0509e-07
YOR239W,1.11196e-07,1.4151e-07,1.03774e-07,1.12648e-07,1.25629e-07,1.25035e-07,1.26434e-07,1.69957e-07,1.92328e-07,1.84065e-07,2.11465e-07,1.05021e-07,2.25648e-07,2.07844e-07,1.36104e-07,2.87844e-07,2.24866e-07,2.17525e-07,1.15217e-07,1.50575e-07,7.55946e-08,1.40344e-07,1.09431e-07,1.47989e-07,1.72425e-07,2.25325e-07,1.92851e-07,1.57998e-07,1.58411e-07,1.58171e-07,1.38427e-07,1.83893e-07,1.49148e-07,1.24318e-07,1.65621e-07,1.81841e-07,1.69373e-07,1.41492e-07,1.30519e-07,8.31816e-08,8.74757e-08,9.56819e-08
YBR265W,1.32212e-08,2.09415e-08,2.00297e-08,1.98399e-08,1.89645e-08,1.86445e-08,2.1487e-08,2.46513e-08,2.77614e-08,2.82752e-08,3.49691e-08,1.2895e-08,3.36726e-08,2.36592e-08,1.15324e-08,2.46576e-08,1.93137e-08,1.80005e-08,8.42281e-09,9.35355e-09,1.51816e-08,2.51943e-08,1.24818e-08,2.62025e-08,1.81406e-08,2.1092e-08,1.37353e-08,2.60973e-08,2.64631e-08,2.71971e-08,1.00445e-08,1.88023e-08,1.19358e-08,9.8057e-09,2.28845e-08,1.96701e-08,2.00428e-08,1.42064e-08,7.59187e-09,1.43876e-08,1.67012e-08,1.31645e-08
