all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7
YGL079W,3.666213333333334e-08,4.44586e-08,2.00708e-08,2.2807433333333335e-08,3.3871433333333334e-08,3.4619e-08,4.6490033333333334e-08
YLR260W,2.95277e-09,4.385630000000001e-09,3.513566666666666e-09,3.033096666666667e-09,3.25592e-09,4.03488e-09,4.37702e-09
YDR499W,7.215070000000001e-10,9.462366666666667e-10,1.5748533333333334e-10,2.3231133333333335e-10,4.90607e-10,6.56549e-10,2.6876133333333334e-10
YHR002W,4.886033333333334e-09,7.985113333333334e-09,4.08351e-09,5.34304e-09,5.402886666666667e-09,6.749263333333333e-09,6.601526666666667e-09
YPL055C,1.3903600000000001e-09,1.7187e-09,1.5669366666666667e-09,1.49833e-09,1.92085e-09,2.724776666666667e-09,2.4505099999999996e-09
YHR192W,1.5596766666666667e-08,1.9191300000000003e-08,1.5651566666666665e-08,1.7456233333333335e-08,1.7368833333333334e-08,2.1804766666666665e-08,2.1524366666666667e-08
YOR084W,6.260813333333335e-08,1.1463236666666666e-07,3.2680733333333337e-08,4.43155e-08,5.3713200000000003e-08,4.0858533333333334e-08,3.3036199999999996e-08
YDR439W,1.2697033333333332e-08,7.511526666666667e-09,8.778233333333333e-09,8.88428e-09,8.323186666666666e-09,7.856283333333334e-09,8.477973333333334e-09
YCL034W,4.828633333333333e-07,4.5019633333333333e-07,4.941266666666666e-07,6.582063333333333e-07,6.98988e-07,8.875243333333333e-07,9.646626666666668e-07
YIL128W,3.6528633333333334e-08,6.160966666666666e-08,3.0434833333333336e-08,3.959093333333333e-08,4.348336666666667e-08,5.6467833333333335e-08,6.397956666666667e-08
YOL064C,3.089526666666667e-08,4.0461066666666667e-08,3.1924400000000004e-08,3.0562666666666665e-08,3.0476066666666674e-08,5.803056666666667e-08,8.364233333333333e-08
YJR010W,1.0160123333333333e-06,1.6035900000000001e-06,1.2355066666666667e-06,1.5926933333333332e-06,1.6760366666666663e-06,2.2119033333333334e-06,3.1479033333333334e-06
YBR262C,1.269936666666667e-07,1.4858766666666666e-07,1.4268233333333332e-07,2.832106666666667e-07,2.893626666666667e-07,5.919426666666667e-07,8.624169999999999e-07
YGR235C,1.6507466666666668e-08,3.55541e-08,1.4049033333333335e-08,1.7044433333333335e-08,2.0572366666666666e-08,2.32865e-08,2.3699366666666665e-08
YPR164W,4.674396666666667e-09,6.20412e-09,4.30177e-09,4.26144e-09,4.64238e-09,5.96075e-09,6.4482499999999995e-09
YNL249C,9.125473333333333e-10,1.4247433333333335e-09,8.57337e-10,8.876133333333333e-10,9.038153333333334e-10,1.129343e-09,2.4122066666666666e-09
YOL088C,4.8353e-07,5.367506666666667e-07,3.892696666666667e-07,4.4724166666666663e-07,4.41501e-07,4.77553e-07,4.658986666666667e-07
YDL055C,2.78844e-07,4.261643333333334e-07,3.6584033333333334e-07,5.858746666666667e-07,6.164096666666667e-07,1.10708e-06,1.3963433333333331e-06
YER003C,9.82572e-07,1.1393899999999998e-06,1.0859166666666665e-06,1.3342166666666666e-06,1.3756966666666666e-06,1.5809033333333334e-06,1.6375133333333335e-06
YJL019W,2.789326666666667e-08,3.58685e-08,2.298586666666667e-08,2.6209233333333334e-08,2.8069100000000004e-08,3.24547e-08,3.3209633333333335e-08
YPL037C,1.6383299999999998e-06,2.2566966666666665e-06,1.5167866666666668e-06,2.29484e-06,2.5285400000000003e-06,4.7884100000000005e-06,5.19524e-06
YNL124W,1.7970833333333335e-08,5.47305e-08,1.52528e-08,1.7104833333333332e-08,2.465456666666667e-08,5.2230166666666676e-08,6.478003333333333e-08
YMR145C,9.259066666666666e-07,1.1318466666666668e-06,9.253669999999999e-07,1.6216766666666667e-06,1.6980133333333334e-06,2.4526233333333336e-06,3.4511333333333333e-06
YGL099W,1.11009e-08,2.17313e-08,1.1258056666666668e-08,1.2868199999999999e-08,1.46716e-08,2.5962866666666664e-08,2.9594033333333333e-08
YPL004C,2.3790966666666666e-05,2.2311e-05,1.5169666666666666e-05,1.6460766666666667e-05,1.5562633333333336e-05,1.4858e-05,1.8580233333333332e-05
YDL087C,3.7879466666666666e-08,3.1956966666666667e-08,2.386306666666667e-08,2.4733766666666665e-08,2.7398499999999995e-08,2.9706266666666665e-08,3.25986e-08
YGL156W,8.794136666666667e-07,2.1203666666666667e-06,4.85991e-07,3.8530899999999997e-07,2.973566666666667e-07,1.980726666666667e-07,1.6997233333333335e-07
YDL040C,4.2408533333333325e-08,6.613893333333333e-08,3.6201766666666665e-08,4.9839266666666664e-08,5.4285299999999996e-08,7.986506666666667e-08,1.1448046666666666e-07
YOR253W,1.0918833333333334e-08,1.9046066666666666e-08,2.1000433333333334e-08,3.382306666666667e-08,2.13161e-08,4.544056666666666e-08,6.47923e-08
YMR125W,2.03799e-07,2.538576666666667e-07,1.5372166666666666e-07,1.8501100000000001e-07,1.8833733333333334e-07,2.6821866666666663e-07,2.9841299999999996e-07
YKL040C,7.794966666666668e-08,2.3056999999999998e-07,8.651366666666666e-08,8.587166666666666e-08,1.1023133333333333e-07,1.0892333333333333e-07,9.780633333333334e-08
YML120C,1.2930433333333332e-07,2.0199033333333334e-07,1.81548e-07,2.3327433333333334e-07,2.3046433333333333e-07,2.7828466666666666e-07,2.9117666666666667e-07
YLR315W,3.3942300000000003e-07,4.3449566666666674e-07,3.02845e-07,4.02468e-07,4.132043333333333e-07,4.5326699999999995e-07,4.371393333333333e-07
YNL123W,2.2216666666666667e-08,2.1937166666666664e-08,2.3867866666666667e-08,3.121356666666666e-08,3.336506666666666e-08,5.58117e-08,6.671200000000001e-08
YHR170W,1.50696e-08,2.6999966666666667e-08,1.1558866666666666e-08,1.6497166666666667e-08,1.934e-08,3.5156166666666665e-08,4.38174e-08
YDL165W,6.360296666666667e-10,6.503953333333334e-10,9.94817e-10,1.7084266666666668e-09,1.1564199999999998e-09,1.66005e-09,2.5269166666666665e-09
YIL038C,8.328653333333334e-08,8.354786666666666e-08,7.095326666666666e-08,9.839226666666665e-08,9.546139999999999e-08,1.2752733333333332e-07,1.4402933333333331e-07
YJL208C,9.941403333333333e-09,1.5535666666666668e-08,1.0909933333333332e-08,1.1291933333333334e-08,1.3011766666666666e-08,2.1991366666666667e-08,2.309663333333333e-08
YLR186W,5.6237400000000004e-08,8.53973e-08,4.11039e-08,5.6038866666666665e-08,5.989233333333333e-08,1.2531433333333332e-07,1.46742e-07
YJL076W,2.46363e-08,4.2869966666666666e-08,2.0641133333333334e-08,2.6553666666666668e-08,2.6562566666666666e-08,4.436136666666667e-08,5.056323333333333e-08
YBR212W,7.84351e-08,1.1665866666666667e-07,6.41357e-08,6.780993333333334e-08,6.751453333333334e-08,8.732366666666667e-08,9.870323333333333e-08
YDR383C,7.56153e-08,7.07313e-08,6.584496666666667e-08,7.056010000000001e-08,5.8467666666666675e-08,4.940096666666667e-08,6.1363e-08
YJR112W,0.0,0.0,5.349533333333333e-09,9.435599999999999e-09,0.0,1.60668e-08,1.9199166666666667e-08
YOR206W,8.60873e-08,1.48825e-07,7.015243333333333e-08,1.003336e-07,1.22415e-07,2.3054666666666666e-07,3.0136766666666666e-07
YER002W,6.061653333333333e-09,1.0096466666666668e-08,5.998549999999999e-09,8.1723e-09,8.088926666666666e-09,1.96384e-08,2.5380766666666667e-08
YDR432W,3.690766666666667e-07,4.5726333333333327e-07,5.233713333333333e-07,4.21841e-07,5.02056e-07,9.344326666666667e-07,1.002541e-06
YOL042W,5.78357e-09,8.181689999999999e-09,5.368653333333333e-09,5.59285e-09,5.5855333333333335e-09,5.61843e-09,6.743683333333334e-09
YBR089C-A,1.9183399999999997e-06,2.082346666666667e-06,1.5609333333333334e-06,1.82004e-06,1.8525533333333334e-06,2.5524199999999996e-06,2.4425366666666667e-06
YHR077C,1.902433333333333e-08,2.910356666666667e-08,1.3272616666666665e-08,1.53839e-08,1.59967e-08,2.1061633333333335e-08,2.2918933333333332e-08
YOR056C,2.8870633333333335e-08,2.8753533333333336e-08,3.108336666666667e-08,4.2218633333333334e-08,4.4674299999999997e-08,7.731816666666666e-08,1.0317650000000001e-07
YNL110C,1.3771233333333334e-08,2.0826933333333336e-08,1.3977499999999999e-08,1.5791166666666667e-08,1.8852933333333334e-08,3.39847e-08,4.1459200000000005e-08
YER068W,1.0105516666666667e-08,1.33656e-08,1.1365553333333334e-08,1.2752e-08,1.29719e-08,2.0376100000000002e-08,2.297943333333333e-08
YOR209C,2.5333933333333333e-07,3.0498766666666664e-07,2.3490333333333336e-07,3.101726666666667e-07,3.235426666666667e-07,4.454753333333333e-07,5.128356666666667e-07
YNL251C,8.886693333333333e-06,9.358096666666666e-06,7.308736666666667e-06,7.79257e-06,7.834620000000001e-06,9.6583e-06,1.07862e-05
YNL129W,5.3191033333333336e-08,3.69842e-08,1.0234206666666664e-07,8.48839e-08,6.334593333333332e-08,6.90106e-08,6.28088e-08
YML023C,3.7132033333333337e-09,5.0925433333333336e-09,3.0054433333333336e-09,3.5674166666666668e-09,3.87763e-09,5.285693333333333e-09,5.419956666666666e-09
YHR133C,1.3995666666666666e-08,2.181603333333333e-08,1.40983e-08,1.67142e-08,1.98619e-08,2.727933333333333e-08,3.315903333333333e-08
YBR261C,1.397156666666667e-07,1.6527986666666668e-07,1.6559113333333335e-07,1.9604633333333332e-07,1.9826233333333332e-07,3.7525933333333335e-07,5.013966666666667e-07
YPR031W,1.54341e-09,3.549123333333334e-09,2.1463866666666668e-09,3.383563333333333e-09,1.1144933333333334e-09,2.08543e-09,2.01978e-09
YIL115C,2.8335099999999997e-08,3.525243333333333e-08,2.207333333333333e-08,2.5306233333333336e-08,2.606523333333333e-08,3.317126666666667e-08,3.5124466666666665e-08
YKL067W,1.7201599999999998e-06,3.937763333333333e-06,1.3642933333333332e-06,1.5333433333333335e-06,1.5842766666666667e-06,1.48604e-06,1.3597266666666666e-06
YJL126W,2.021196666666667e-08,1.3157496666666667e-08,1.9710966666666667e-08,2.06162e-08,1.64255e-08,1.989983333333333e-08,2.0350966666666665e-08
YGR089W,1.14066e-09,2.222936666666667e-09,9.462826666666667e-10,1.2083166666666667e-09,1.4870166666666666e-09,2.0319766666666665e-09,2.116716666666667e-09
YKL151C,1.5355166666666668e-07,1.2672633333333334e-07,8.265099999999999e-08,8.079943333333333e-08,6.55815e-08,6.239326666666667e-08,6.35912e-08
YOL041C,4.5706299999999995e-08,6.831473333333334e-08,4.0333200000000005e-08,4.7661533333333326e-08,5.6055599999999994e-08,9.699950000000001e-08,1.0681013333333333e-07
YPL043W,1.1316133333333334e-08,2.0903899999999998e-08,1.1285866666666668e-08,1.3717033333333334e-08,1.7663199999999998e-08,3.904373333333333e-08,4.806233333333333e-08
YDL213C,2.05873e-07,3.121113333333333e-07,1.7878166666666668e-07,2.2075533333333334e-07,2.39034e-07,4.815146666666667e-07,6.296476666666667e-07
YAR007C,5.833329999999999e-07,6.415883333333335e-07,5.556269999999999e-07,6.561366666666667e-07,6.51541e-07,7.847133333333335e-07,8.531303333333334e-07
YBR052C,4.859423333333333e-07,1.2693833333333334e-06,2.11027e-07,2.8243366666666663e-07,3.78469e-07,5.803859999999999e-07,5.350366666666667e-07
YOR127W,1.1138766666666668e-09,2.06105e-09,9.318356666666666e-10,1.21431e-09,1.4856500000000001e-09,1.6761666666666667e-09,1.7309399999999998e-09
YDR137W,5.848366666666667e-09,5.4444299999999996e-09,4.56754e-09,4.96714e-09,4.95863e-09,5.494976666666667e-09,5.5561800000000006e-09
YLR032W,9.496663333333334e-10,1.5171233333333333e-09,9.273299999999999e-10,1.1104366666666666e-09,1.1518533333333334e-09,1.6785966666666669e-09,1.74494e-09
YOR101W,4.2257300000000003e-07,8.15784e-07,3.0043500000000003e-07,3.5104166666666666e-07,3.5184399999999996e-07,5.271336666666666e-07,8.61489e-07
YNR018W,2.9989e-08,4.996956666666666e-08,2.56481e-08,3.632853333333333e-08,4.032866666666667e-08,5.240993333333333e-08,6.149406666666667e-08
YLR107W,7.379990000000001e-09,1.4046866666666667e-08,6.781386666666666e-09,8.200893333333335e-09,9.889716666666666e-09,1.4638833333333333e-08,1.7030933333333333e-08
YNL312W,1.893583333333333e-07,1.6581066666666669e-07,2.748026666666667e-07,0.0,2.8220666666666666e-07,0.0,0.0
YBR087W,2.9863300000000004e-08,3.4937233333333334e-08,2.51348e-08,3.11814e-08,3.715746666666667e-08,4.8355199999999996e-08,6.418436666666667e-08
YFL047W,3.572636666666667e-08,5.682796666666667e-08,2.7978266666666664e-08,3.353469999999999e-08,3.722246666666667e-08,5.0375633333333325e-08,6.155503333333332e-08
YBR192W,2.0267700000000004e-08,3.3789466666666667e-08,1.66376e-08,2.258016666666667e-08,2.56141e-08,3.66129e-08,4.0819833333333326e-08
YER070W,8.959803333333333e-08,1.1767143333333334e-07,1.53574e-07,2.3418433333333334e-07,2.4239966666666666e-07,3.1109533333333334e-07,3.5411699999999997e-07
YGR180C,9.579066666666666e-06,4.905996666666666e-06,7.940076666666668e-06,8.38696e-06,6.731013333333333e-06,6.203976666666667e-06,6.753246666666667e-06
YPL208W,7.120366666666667e-09,8.78732e-09,7.373576666666666e-09,9.44248e-09,1.0071863333333332e-08,1.2109633333333333e-08,1.35143e-08
YLR137W,5.76401e-09,8.149893333333333e-09,9.015983333333335e-09,7.516766666666667e-09,1.2910900000000002e-08,1.12892e-08,1.9474533333333333e-08
YGR034W,1.5163633333333333e-05,2.0535400000000003e-05,1.8252533333333332e-05,2.154286666666667e-05,2.4868433333333334e-05,5.552353333333333e-05,7.719669999999999e-05
YLR406C,1.3976866666666665e-06,2.0365966666666667e-06,1.30968e-06,1.6329400000000001e-06,1.8932233333333335e-06,3.889376666666667e-06,5.7772599999999995e-06
YIL052C,3.108176666666667e-06,2.9397633333333334e-06,3.5027800000000005e-06,5.456236666666666e-06,5.5830699999999996e-06,1.1566666666666667e-05,1.7650866666666667e-05
YDR500C,1.9093533333333332e-07,3.00244e-07,2.1373466666666666e-07,2.40679e-07,2.57741e-07,4.318343333333333e-07,6.417556666666668e-07
YPL131W,2.521386666666667e-06,4.253836666666667e-06,2.680523333333333e-06,3.250636666666667e-06,3.7103766666666665e-06,8.315876666666667e-06,1.2380299999999999e-05
YLR448W,1.7534433333333333e-06,2.3661766666666668e-06,1.9058666666666666e-06,3.038743333333333e-06,3.089823333333333e-06,7.682069999999998e-06,1.5449066666666667e-05
YPR165W,1.8377166666666667e-06,1.8940466666666665e-06,1.6857866666666665e-06,2.0686033333333334e-06,1.8640833333333336e-06,2.4410466666666663e-06,2.94677e-06
YIL118W,4.818703333333334e-07,5.068383333333333e-07,4.7292099999999995e-07,5.558989999999999e-07,5.885763333333334e-07,8.031836666666666e-07,9.115836666666666e-07
YNL180C,2.540343333333333e-08,2.04087e-08,2.77236e-08,4.2048066666666666e-08,2.8977500000000006e-08,4.4056766666666665e-08,5.204366666666667e-08
YNL163C,2.9826399999999994e-08,4.1333500000000004e-08,2.3820233333333335e-08,3.031746666666666e-08,3.2256866666666664e-08,4.317966666666667e-08,4.5775500000000005e-08
YBR153W,1.3048766666666668e-08,1.7245233333333334e-08,1.5390200000000002e-08,1.5000166666666667e-08,1.6189866666666666e-08,1.6181066666666667e-08,1.5198266666666668e-08
YDR236C,3.563863333333334e-08,4.305603333333333e-08,2.5961933333333335e-08,3.398713333333333e-08,3.30814e-08,4.356523333333333e-08,4.73289e-08
YFL033C,1.62779e-09,1.7717700000000002e-09,1.6907266666666667e-09,2.1265366666666667e-09,2.1856499999999998e-09,2.22346e-09,2.58691e-09
YNL207W,2.2547400000000002e-08,2.5703233333333336e-08,2.22061e-08,2.5114233333333333e-08,2.8007699999999995e-08,4.72675e-08,6.139423333333334e-08
YMR283C,5.498853333333334e-09,9.982249999999998e-09,4.4041933333333336e-09,5.274913333333334e-09,6.223813333333333e-09,8.405196666666666e-09,8.651453333333332e-09
YLR029C,1.8848566666666665e-06,3.684693333333333e-06,1.8378866666666667e-06,2.1408033333333333e-06,2.6910333333333336e-06,6.048473333333333e-06,8.729613333333334e-06
YIL133C,8.962393333333333e-06,1.58104e-05,8.89902e-06,1.049018e-05,1.3201133333333333e-05,2.726033333333333e-05,3.56244e-05
YBR084C-A,4.573376666666667e-05,7.659643333333332e-05,4.116853333333334e-05,5.4728433333333336e-05,6.10525e-05,0.00011865676666666666,0.00018991966666666665
YGL030W,3.08192e-06,3.1366100000000005e-06,3.532106666666667e-06,4.38299e-06,5.365713333333334e-06,1.1453366666666666e-05,1.6634433333333335e-05
YBR191W,3.182276666666666e-05,4.7053833333333333e-05,3.1525033333333334e-05,4.366886666666667e-05,5.390346666666666e-05,0.00012073933333333333,0.00017886266666666665
YGL031C,8.344953333333332e-06,1.8209066666666668e-05,8.78267e-06,1.017018e-05,1.276e-05,2.9328066666666668e-05,3.8408e-05
YGL103W,8.211483333333333e-06,1.5019100000000002e-05,7.861789999999999e-06,9.062373333333334e-06,1.1135133333333333e-05,1.9692566666666665e-05,2.7670700000000003e-05
YFR031C-A,8.402506666666666e-06,1.7230133333333333e-05,8.053043333333333e-06,8.954563333333333e-06,1.11133e-05,2.1165999999999997e-05,2.6224100000000002e-05
YPL249C-A,1.59324e-05,2.8711533333333335e-05,1.6799366666666667e-05,2.318746666666667e-05,2.8951566666666666e-05,5.3917166666666666e-05,8.393886666666665e-05
YOR063W,9.585166666666666e-06,1.5067299999999999e-05,9.012646666666666e-06,1.1924333333333332e-05,1.40086e-05,2.7551833333333336e-05,4.281476666666667e-05
YMR142C,1.8612600000000002e-05,3.103446666666667e-05,1.83391e-05,2.1338400000000002e-05,2.7356266666666668e-05,5.57371e-05,6.37198e-05
YBL087C,2.54833e-06,3.09865e-06,2.7084033333333328e-06,3.6001966666666664e-06,4.209686666666667e-06,9.225316666666666e-06,1.3810833333333333e-05
YKL006W,8.945776666666667e-06,1.9564600000000002e-05,8.582256666666667e-06,9.634623333333332e-06,1.2631766666666665e-05,2.2326033333333333e-05,2.799463333333333e-05
YKL180W,7.522073333333333e-06,1.32514e-05,7.932156666666666e-06,8.029873333333333e-06,1.0133936666666668e-05,2.0870433333333333e-05,2.53924e-05
YGL135W,1.43919e-05,1.41261e-05,1.6606533333333334e-05,2.5197866666666668e-05,2.9559866666666665e-05,6.525893333333333e-05,0.00011405666666666668
YOL127W,4.720913333333333e-05,0.00010110206666666666,4.75416e-05,4.4954300000000004e-05,5.683176666666667e-05,0.00010354766666666666,0.00013613333333333333
YOR234C,3.9671933333333334e-07,5.746763333333334e-07,4.26144e-07,5.22338e-07,6.478453333333334e-07,1.3641066666666668e-06,2.0144566666666667e-06
YDR198C,7.751046666666665e-09,1.0332719999999999e-08,6.201873333333333e-09,6.768083333333334e-09,6.917406666666667e-09,8.326356666666669e-09,8.704253333333333e-09
YJL177W,8.03217e-06,1.2313233333333334e-05,8.275356666666666e-06,8.31967e-06,9.958640000000001e-06,1.9616833333333335e-05,2.4743900000000002e-05
YOL120C,1.4730133333333332e-05,3.1389633333333335e-05,1.3199500000000001e-05,1.7280033333333334e-05,2.1511166666666668e-05,4.6023266666666664e-05,5.79535e-05
YDR388W,1.7695233333333332e-07,1.66372e-07,2.974053333333333e-07,2.97524e-07,2.2707700000000002e-07,3.2806999999999995e-07,4.3600599999999994e-07
YDL119C,3.6561799999999997e-09,7.352923333333334e-09,2.7705499999999997e-09,3.753846666666666e-09,3.787370000000001e-09,5.49304e-09,5.840673333333333e-09
YDR389W,1.0053693333333334e-08,1.2120699999999998e-08,9.262456666666667e-09,1.24715e-08,1.3689733333333334e-08,1.4819633333333334e-08,1.65615e-08
YBL052C,3.297183333333333e-09,2.9520533333333332e-09,1.5934566666666667e-09,2.520743333333333e-09,2.132913333333333e-09,4.751016666666666e-09,4.12619e-09
YIL026C,1.1424223333333333e-08,2.0017699999999998e-08,1.2124166666666666e-08,1.6419633333333332e-08,2.02174e-08,2.70815e-08,2.7989400000000005e-08
YGR049W,2.57118e-08,7.905253333333334e-08,2.4847133333333332e-08,4.4248166666666665e-08,4.4355266666666666e-08,5.63797e-08,6.163893333333333e-08
YER120W,4.833183333333334e-08,7.37508e-08,4.199146666666667e-08,5.538093333333334e-08,6.172016666666667e-08,1.1811833333333333e-07,2.1061466666666667e-07
YMR305C,1.1289266666666665e-07,2.77643e-07,8.738963333333333e-08,1.1880599999999999e-07,1.8029700000000002e-07,3.32032e-07,3.3856766666666665e-07
YGR279C,1.4438166666666666e-07,3.50698e-07,2.3989733333333334e-07,2.7068333333333336e-07,3.5651300000000004e-07,3.8265599999999996e-07,3.468623333333333e-07
YLR268W,8.788516666666666e-09,1.0775796666666667e-08,9.821653333333333e-09,1.507303333333333e-08,1.630603333333333e-08,2.98682e-08,4.51327e-08
YOR254C,1.66222e-08,2.1942933333333334e-08,1.3674066666666668e-08,2.0536366666666665e-08,2.3403566666666664e-08,4.76362e-08,6.574806666666667e-08
YIL068C,2.3928466666666665e-08,3.27161e-08,1.7129733333333332e-08,2.1580966666666664e-08,2.21073e-08,2.7564000000000004e-08,2.95233e-08
YGL245W,2.8989666666666667e-06,3.937946666666666e-06,3.2227566666666666e-06,3.903443333333334e-06,4.14001e-06,6.344330000000001e-06,7.621326666666668e-06
YLR182W,5.3672233333333336e-08,5.9104666666666676e-08,4.34556e-08,6.632519999999999e-08,6.651826666666666e-08,1.1460833333333335e-07,1.34398e-07
YFL049W,2.72942e-08,4.866933333333333e-08,3.0078066666666666e-08,3.800303333333333e-08,4.2158566666666666e-08,5.890413333333334e-08,6.569443333333333e-08
YDR334W,2.837533333333333e-09,3.9518e-09,2.2462633333333334e-09,2.8327266666666667e-09,3.02284e-09,3.9839e-09,4.090706666666667e-09
YDR416W,9.169026666666667e-09,1.4110666666666666e-08,6.92115e-09,8.039806666666667e-09,9.44261e-09,1.198e-08,1.0615846666666667e-08
YPR033C,9.022653333333334e-08,1.2949366666666667e-07,9.613903333333334e-08,1.4628833333333334e-07,1.6688199999999997e-07,3.1116933333333337e-07,4.1892133333333337e-07
YNL073W,2.7337466666666667e-09,5.5719899999999995e-09,2.771323333333333e-09,4.024973333333333e-09,4.9258899999999994e-09,8.117426666666667e-09,9.027556666666667e-09
YER087W,1.8354966666666668e-09,5.2856e-09,1.6978633333333333e-09,1.8137e-09,1.6865133333333333e-09,1.7686333333333334e-09,1.4037299999999999e-09
YHR091C,1.3073699999999999e-08,1.8857266666666668e-08,9.287736666666668e-09,1.2564733333333335e-08,1.3343066666666667e-08,2.4011633333333335e-08,2.99934e-08
YPL138C,7.684633333333332e-09,6.896243333333334e-09,6.948273333333334e-09,7.460986666666667e-09,6.67796e-09,7.824366666666667e-09,8.832163333333332e-09
YGL207W,2.740696666666667e-07,3.1921500000000004e-07,2.2976233333333333e-07,2.752423333333333e-07,2.7205466666666664e-07,3.8196266666666665e-07,3.9734200000000004e-07
YDR392W,2.1274166666666667e-08,3.045113333333334e-08,1.8918666666666666e-08,1.9514566666666668e-08,2.0193200000000002e-08,2.7541833333333335e-08,3.10197e-08
YGR116W,1.5334866666666666e-07,1.7588166666666667e-07,1.389916666666667e-07,1.64904e-07,1.6153000000000002e-07,2.2789966666666665e-07,2.60576e-07
YDL133W,6.07393e-09,7.793613333333333e-09,4.67686e-09,4.948106666666667e-09,4.902256666666667e-09,6.50886e-09,7.246203333333334e-09
YPL210C,1.4768066666666667e-07,2.3156199999999997e-07,1.2165473333333332e-07,1.53338e-07,1.7018033333333332e-07,2.2383233333333333e-07,2.480123333333333e-07
YDR312W,5.50332e-08,7.678199999999999e-08,5.2596033333333336e-08,6.711309999999999e-08,7.930426666666667e-08,1.4147533333333333e-07,1.7217633333333334e-07
YBR283C,2.442153333333333e-07,3.638263333333334e-07,2.1269433333333335e-07,2.740403333333334e-07,2.937236666666667e-07,5.266856666666668e-07,5.137046666666666e-07
YPL042C,6.6582866666666665e-09,6.46755e-09,6.4438600000000005e-09,7.892223333333334e-09,6.549956666666666e-09,8.949616666666667e-09,8.154503333333334e-09
YMR183C,1.4476433333333334e-06,1.4635033333333333e-06,9.1785e-07,1.3823e-06,1.4241333333333332e-06,2.3258500000000004e-06,3.038103333333333e-06
YHR064C,5.085693333333333e-06,5.624653333333333e-06,4.47326e-06,5.91419e-06,6.095479999999999e-06,1.1277e-05,1.4492966666666667e-05
YOR219C,4.41195e-09,1.0306203333333334e-08,3.51735e-09,3.934480000000001e-09,4.618146666666667e-09,6.499716666666666e-09,6.5761399999999996e-09
