all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7
YKL126W,4.5326199999999996e-08,8.077496666666667e-08,4.1883e-08,6.076610000000001e-08,6.607456666666667e-08,9.40752e-08,9.850506666666666e-08
YLR249W,5.451503333333334e-06,8.69185e-06,6.096790000000001e-06,8.613203333333334e-06,9.699223333333331e-06,1.7539733333333334e-05,2.434236666666667e-05
YNL064C,1.4020466666666666e-06,1.0915953333333333e-06,9.832223333333333e-07,7.995823333333333e-07,6.6333e-07,9.50196e-07,1.0749253333333333e-06
YLL006W,1.84817e-08,2.452316666666667e-08,1.3781633333333333e-08,1.66442e-08,1.839096666666667e-08,2.1248233333333333e-08,2.0877966666666667e-08
YCR030C,2.243126666666667e-07,2.2289233333333332e-07,1.9850766666666665e-07,2.1158066666666668e-07,2.15623e-07,2.2379933333333332e-07,2.1469733333333332e-07
YPR024W,6.120246666666666e-08,1.0982166666666667e-07,8.261623333333334e-08,9.705726666666667e-08,1.0822703333333333e-07,2.0582266666666666e-07,2.5985599999999994e-07
YOR087W,2.0948266666666663e-08,2.2345466666666667e-08,1.9691133333333332e-08,2.44067e-08,2.27666e-08,3.2173433333333334e-08,4.0754633333333334e-08
YLR277C,9.89668e-10,1.3695233333333333e-09,9.074163333333333e-10,1.161681e-09,1.2875833333333333e-09,1.989633333333333e-09,2.3229700000000003e-09
YER005W,3.4345800000000004e-09,5.586769999999999e-09,3.1581666666666668e-09,4.362003333333334e-09,5.01856e-09,7.67602e-09,9.160646666666664e-09
YDR135C,5.3770199999999995e-08,5.93643e-08,5.1530000000000005e-08,6.18277e-08,7.330263333333334e-08,1.2229233333333334e-07,1.4377333333333334e-07
YHR155W,1.3116133333333334e-10,1.8598300000000001e-10,1.1676366666666668e-10,1.6586700000000002e-10,1.830246666666667e-10,2.3298166666666665e-10,2.671126666666667e-10
YGR112W,7.9479e-09,2.214676666666667e-08,6.746229999999999e-09,9.844766666666668e-09,1.2178e-08,1.6637366666666668e-08,1.8757866666666667e-08
YIL097W,8.577913333333334e-09,1.2396066666666666e-08,6.5964499999999995e-09,7.807173333333335e-09,7.281983333333333e-09,7.88388e-09,7.758706666666665e-09
YJR110W,5.992516666666666e-09,7.118593333333333e-09,5.327066666666667e-09,6.302630000000001e-09,6.740426666666667e-09,8.58733e-09,8.33932e-09
YOR153W,1.3624766666666667e-08,1.4085366666666666e-08,1.4048299999999999e-08,1.70303e-08,1.6273966666666664e-08,2.40365e-08,3.6647633333333336e-08
YHR005C,2.1551166666666666e-07,2.04428e-07,1.8851e-07,2.2547033333333334e-07,2.3945499999999997e-07,2.89581e-07,3.4815233333333335e-07
YGR240C,1.8148566666666667e-06,1.9913766666666666e-06,1.92141e-06,2.2109366666666663e-06,2.1327033333333334e-06,3.2696133333333333e-06,4.59233e-06
YDR419W,3.4659433333333334e-09,3.947983333333333e-09,3.755143333333334e-09,4.46131e-09,4.350356666666666e-09,6.397963333333333e-09,7.339356666666667e-09
YBL007C,1.41111e-07,1.5917833333333334e-07,1.3719233333333334e-07,1.6672933333333333e-07,1.5684633333333334e-07,1.8530033333333331e-07,1.9086666666666667e-07
YLL026W,2.2608033333333334e-05,1.80666e-05,1.2363466666666666e-05,1.23119e-05,8.468030000000001e-06,7.781216666666666e-06,7.660053333333333e-06
