all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YOR084W,1.50E-07,2.16E-07,2.35E-07,2.83E-07,1.95E-07,2.39E-07,2.15E-07,1.54E-07,6.48E-08
YDR439W,,,,,,,,,
YGR136W,3.04E-07,3.71E-07,3.35E-07,5.36E-07,4.30E-07,4.74E-07,5.74E-07,6.98E-07,6.63E-07
YCL034W,5.27E-07,5.30E-07,7.36E-07,8.07E-07,6.53E-07,6.96E-07,7.02E-07,7.27E-07,6.42E-07
YIL128W,2.86E-08,1.84E-08,3.20E-08,3.04E-08,1.93E-08,2.41E-08,2.50E-08,3.21E-08,2.19E-08
YOL064C,2.18E-06,2.51E-06,3.14E-06,3.45E-06,2.34E-06,2.48E-06,2.50E-06,2.95E-06,3.02E-06
YJR010W,7.44E-06,8.12E-06,9.78E-06,1.22E-05,1.04E-05,1.29E-05,1.45E-05,1.40E-05,1.22E-05
YML082W,,,,,,,,,
YDL233W,,,,,,,,,
YBR262C,3.13E-07,3.62E-07,5.13E-07,6.29E-07,5.45E-07,6.85E-07,8.40E-07,8.16E-07,6.41E-07
YGR235C,4.63E-07,5.32E-07,7.86E-07,9.12E-07,6.93E-07,9.07E-07,9.90E-07,9.30E-07,7.51E-07
YLR332W,,,,,,,,,
YNL074C,,,,,,,,,1.62E-07
YPR164W,,,,,,,,,
YNL249C,,,,,,,,,
YOL088C,4.25E-07,4.66E-07,6.69E-07,6.76E-07,4.60E-07,4.58E-07,3.48E-07,3.21E-07,2.83E-07
YDL055C,8.44E-06,8.00E-06,9.14E-06,1.07E-05,8.19E-06,9.95E-06,1.07E-05,1.35E-05,1.27E-05
YDL247W,,,,,,,,,
YJR160C,,,,,,,,,
YMR036C,,,,,,,,,
YER003C,4.17E-06,4.52E-06,5.36E-06,5.94E-06,4.50E-06,5.00E-06,4.93E-06,5.40E-06,4.95E-06
YJL019W,,,,,,,,,
YML117W,,8.63E-08,,1.38E-07,7.26E-08,,2.23E-07,2.29E-07,1.65E-07
YPL037C,7.78E-06,7.72E-06,9.49E-06,1.06E-05,8.63E-06,1.01E-05,1.03E-05,1.02E-05,8.92E-06
YNL124W,,,,,,,,,
YMR145C,2.59E-06,3.02E-06,3.90E-06,4.47E-06,3.87E-06,4.37E-06,4.84E-06,4.67E-06,4.21E-06
YGL099W,3.57E-07,3.69E-07,4.35E-07,5.56E-07,4.05E-07,5.35E-07,4.88E-07,5.22E-07,4.99E-07
YPL004C,3.94E-05,3.87E-05,3.27E-05,2.90E-05,1.73E-05,1.59E-05,1.19E-05,9.78E-06,7.59E-06
YDL087C,,,,,,,,,
YGL154C,,,,,,,,,
YLR427W,,,,,1.25E-09,,1.41E-09,2.18E-09,1.81E-09
YJL221C,,,,,,,,,
YER106W,,,,,,,,,
YGL156W,2.06E-06,1.71E-06,1.31E-06,9.70E-07,4.41E-07,2.93E-07,2.17E-07,1.54E-07,9.94E-08
YJL199C,,,,,,,,,
YIL150C,,,,,,,,,
YMR043W,,,,,,,,,
YDL040C,5.79E-07,5.74E-07,7.70E-07,8.92E-07,6.73E-07,7.80E-07,8.66E-07,8.50E-07,8.12E-07
YOR253W,2.36E-07,2.04E-07,3.12E-07,3.75E-07,2.70E-07,3.26E-07,2.85E-07,3.20E-07,3.11E-07
YOL070C,2.61E-08,,4.15E-08,4.83E-08,3.50E-08,5.41E-08,5.54E-08,6.97E-08,6.69E-08
YMR125W,2.38E-07,2.47E-07,2.64E-07,2.90E-07,2.09E-07,2.40E-07,2.26E-07,2.26E-07,1.92E-07
YLR254C,,,,,,,,,
YLR265C,,,,,,,,,
YKL040C,1.39E-06,1.34E-06,1.54E-06,1.77E-06,1.37E-06,1.48E-06,1.46E-06,1.40E-06,1.25E-06
YML120C,6.30E-06,7.43E-06,9.01E-06,1.02E-05,8.74E-06,1.01E-05,1.15E-05,9.63E-06,6.81E-06
YML118W,,,,,,,,,
YLR315W,,,,,,,,,
YNL123W,1.88E-07,2.18E-07,3.99E-07,5.06E-07,3.08E-07,5.50E-07,5.30E-07,4.99E-07,4.93E-07
YHR170W,4.96E-07,5.60E-07,7.67E-07,9.60E-07,7.64E-07,9.22E-07,9.60E-07,9.49E-07,8.98E-07
YPR144C,6.60E-09,,7.66E-09,,,1.18E-08,1.02E-08,1.17E-08,7.65E-09
YDL165W,,2.36E-07,,2.45E-07,2.44E-07,1.38E-07,,,
YIL038C,2.23E-07,2.32E-07,2.88E-07,3.11E-07,1.90E-07,2.86E-07,2.95E-07,2.84E-07,2.45E-07
YAL015C,,,,,,,,,
YJL208C,4.61E-07,5.13E-07,6.99E-07,7.88E-07,6.51E-07,1.01E-06,1.03E-06,1.20E-06,1.03E-06
YLR186W,8.40E-07,8.12E-07,1.03E-06,1.16E-06,8.54E-07,1.01E-06,9.70E-07,1.04E-06,1.02E-06
YJL076W,1.53E-07,1.68E-07,2.21E-07,2.55E-07,1.99E-07,2.21E-07,2.13E-07,2.43E-07,2.09E-07
YBR212W,6.40E-08,6.30E-08,5.88E-08,6.41E-08,7.53E-08,5.48E-08,,,
YDR456W,,,,,,,,,
YDR383C,,,,,,,,,
