all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YOL006C,1.25E-07,1.36E-07,2.30E-07,2.72E-07,2.26E-07,2.59E-07,2.43E-07,3.14E-07,2.48E-07
YGL186C,,,,,,,,,
YGR138C,,,,,,,,,
YOR273C,,,,,,,,,
YMR156C,,,,,,,,,
YBR091C,,,,,,,,,
YJL104W,5.59E-07,6.91E-07,1.28E-06,1.60E-06,1.46E-06,1.77E-06,2.15E-06,2.26E-06,2.08E-06
YJL143W,,9.69E-07,1.60E-06,1.62E-06,1.45E-06,1.83E-06,2.08E-06,2.41E-06,2.24E-06
YDL217C,,,,,,4.50E-08,,,3.27E-08
YGL145W,9.84E-09,,4.05E-08,6.84E-09,,5.03E-08,3.39E-08,,2.34E-08
YIL011W,,,,,,,,,
YIL137C,1.90E-07,1.72E-07,2.36E-07,2.83E-07,2.04E-07,2.24E-07,2.47E-07,2.89E-07,2.63E-07
YOR252W,9.92E-08,1.41E-07,2.28E-07,3.25E-07,2.84E-07,3.98E-07,3.85E-07,3.98E-07,3.56E-07
YMR269W,,,1.28E-07,,,,,,
YDR107C,,,,,,,,,
YER113C,,,,,,,,,
YJL093C,,,,,,,,,
YDR457W,4.25E-08,3.97E-08,4.33E-08,4.32E-08,3.58E-08,3.15E-08,3.53E-08,3.70E-08,2.35E-08
YHR117W,4.15E-07,4.09E-07,5.18E-07,5.94E-07,4.11E-07,4.86E-07,5.14E-07,4.98E-07,4.74E-07
YLR008C,6.19E-07,9.87E-07,1.63E-06,2.23E-06,2.06E-06,2.94E-06,3.62E-06,3.81E-06,3.43E-06
YOL107W,,,,,,,,,
YNL131W,3.17E-06,3.61E-06,4.66E-06,5.65E-06,4.63E-06,6.19E-06,6.98E-06,6.44E-06,5.42E-06
YGR221C,,,,,,,,,
YLR183C,,,,,,,,,
YGL096W,,,,,,,,,
YNL079C,4.39E-06,4.12E-06,4.56E-06,4.82E-06,3.52E-06,3.72E-06,3.62E-06,3.26E-06,2.98E-06
YOR167C,8.51E-06,9.13E-06,1.30E-05,1.57E-05,1.20E-05,1.41E-05,1.54E-05,1.71E-05,1.59E-05
YDL061C,7.19E-06,7.79E-06,9.41E-06,1.14E-05,8.94E-06,1.12E-05,1.17E-05,1.46E-05,1.42E-05
YJR145C,2.11E-05,2.30E-05,2.92E-05,3.56E-05,2.85E-05,3.52E-05,3.81E-05,4.39E-05,4.18E-05
YHR203C,2.11E-05,2.30E-05,2.92E-05,3.56E-05,2.85E-05,3.52E-05,3.81E-05,4.39E-05,4.18E-05
YLR357W,5.17E-08,4.83E-08,5.74E-08,5.51E-08,5.16E-08,7.62E-08,7.14E-08,6.90E-08,5.61E-08
YKR008W,1.36E-07,1.45E-07,1.89E-07,2.33E-07,1.61E-07,1.71E-07,2.17E-07,2.09E-07,2.19E-07
YFR037C,3.97E-07,3.79E-07,5.30E-07,5.94E-07,4.73E-07,5.01E-07,5.03E-07,5.43E-07,4.80E-07
YBR251W,4.26E-07,5.61E-07,9.98E-07,1.19E-06,1.03E-06,1.27E-06,1.49E-06,1.59E-06,1.39E-06
YNL306W,3.03E-07,3.96E-07,7.07E-07,9.01E-07,7.32E-07,8.72E-07,9.71E-07,1.20E-06,1.04E-06
YKL155C,2.88E-08,,4.97E-08,4.79E-08,3.81E-08,5.79E-08,5.64E-08,6.23E-08,4.77E-08
YGL129C,3.73E-07,4.43E-07,7.82E-07,9.30E-07,7.48E-07,9.33E-07,1.06E-06,1.20E-06,1.06E-06
YOR158W,4.82E-07,6.51E-07,1.03E-06,1.31E-06,1.14E-06,1.46E-06,1.64E-06,1.75E-06,1.58E-06
YER139C,6.40E-08,4.65E-08,3.73E-08,5.87E-08,,,,4.57E-08,
YOR077W,,,,,,,,,
YDR139C,4.68E-07,4.99E-07,4.64E-07,,3.81E-07,5.78E-07,3.95E-07,4.35E-07,
YOR138C,1.86E-07,1.99E-07,2.44E-07,1.66E-07,1.80E-07,1.45E-07,1.39E-07,1.52E-07,1.08E-07
YFR040W,6.90E-08,8.64E-08,9.56E-08,8.51E-08,6.46E-08,9.16E-08,8.56E-08,9.18E-08,7.55E-08
YMR239C,,,,,,,,,
YGL144C,,,,,,,,,
YOR340C,8.04E-07,1.04E-06,1.34E-06,1.61E-06,1.23E-06,1.43E-06,1.40E-06,1.62E-06,1.47E-06
YHR143W-A,2.47E-06,3.54E-06,5.81E-06,2.88E-06,1.66E-06,1.94E-06,4.20E-06,5.39E-06,3.98E-06
YOR210W,1.96E-06,2.05E-06,2.51E-06,3.15E-06,2.17E-06,2.66E-06,2.82E-06,2.61E-06,2.69E-06
YPR190C,,,,,7.98E-08,,,1.38E-07,
YJL011C,1.01E-07,1.46E-07,1.55E-07,2.28E-07,1.88E-07,2.15E-07,1.97E-07,2.22E-07,1.67E-07
YDR427W,4.52E-06,4.43E-06,4.30E-06,4.42E-06,3.18E-06,3.08E-06,3.07E-06,2.62E-06,2.63E-06
YER010C,2.13E-06,1.55E-06,1.35E-06,1.33E-06,8.76E-07,8.17E-07,8.48E-07,9.31E-07,5.79E-07
YMR131C,5.61E-07,6.15E-07,7.96E-07,9.17E-07,7.49E-07,8.63E-07,8.32E-07,8.13E-07,7.55E-07
YNL105W,,,,,,,,,
YGL146C,,,,,,,,,
YOR305W,,,,,,,,,
YKL125W,,,,,,,,,
YMR270C,,,,,,,,,
YDR412W,1.63E-07,1.54E-07,1.72E-07,2.01E-07,1.59E-07,1.94E-07,2.04E-07,2.04E-07,1.86E-07
YGR195W,,,,,,,,,
YHR069C,4.01E-07,3.91E-07,4.74E-07,5.26E-07,3.89E-07,5.53E-07,5.25E-07,5.25E-07,5.25E-07
YCL031C,3.07E-07,3.07E-07,4.70E-07,5.12E-07,4.62E-07,5.34E-07,5.36E-07,5.73E-07,5.38E-07
YBL048W,,,,,,,,,
YFR032C,,,,,,,,,
YOL048C,,,,,,,,,
YDR025W,1.27E-05,1.52E-05,1.97E-05,2.01E-05,1.69E-05,2.01E-05,2.19E-05,2.52E-05,2.38E-05
YDR450W,1.62E-05,1.73E-05,2.25E-05,2.59E-05,2.08E-05,2.53E-05,2.73E-05,3.16E-05,3.02E-05
YPR132W,9.98E-06,1.03E-05,1.35E-05,1.57E-05,1.27E-05,1.58E-05,1.71E-05,1.96E-05,1.89E-05
YGR027C,,,,,,,,,
YDR065W,,,,,,,,,
YPR116W,,,,,,,,,
YJL025W,,,,,,,,,
YKL082C,5.49E-07,3.11E-07,4.03E-07,4.15E-07,3.16E-07,3.20E-07,3.54E-07,3.84E-07,3.50E-07
YPR143W,5.26E-07,6.87E-07,8.68E-07,1.09E-06,8.47E-07,1.13E-06,1.06E-06,1.15E-06,1.04E-06
YHR065C,2.03E-07,2.42E-07,3.54E-07,4.73E-07,4.36E-07,5.73E-07,5.91E-07,6.20E-07,5.19E-07
YCR035C,,,,,,,,,
YOR001W,1.99E-07,2.07E-07,2.63E-07,3.93E-07,2.58E-07,3.36E-07,3.37E-07,3.56E-07,3.05E-07
YPR137W,3.28E-07,3.75E-07,3.65E-07,4.06E-07,3.45E-07,4.37E-07,4.25E-07,5.51E-07,4.53E-07
YER066W,,,,,,,,,
YLR162W-A,,,,,,,,,
YOR293W,,,,,,,,,
YBR048W,1.27E-05,1.52E-05,1.97E-05,2.01E-05,1.69E-05,2.01E-05,2.19E-05,2.52E-05,2.38E-05
YDL083C,1.33E-05,1.39E-05,1.82E-05,2.19E-05,1.76E-05,2.18E-05,2.35E-05,2.74E-05,2.62E-05
YML024W,,,,,,,,,
YKR057W,6.61E-06,6.91E-06,8.32E-06,9.95E-06,8.29E-06,1.04E-05,1.06E-05,1.25E-05,1.19E-05
YLR367W,2.13E-05,2.32E-05,2.91E-05,3.34E-05,2.67E-05,3.35E-05,3.60E-05,4.08E-05,3.85E-05
YGR118W,9.98E-06,1.03E-05,1.35E-05,1.57E-05,1.27E-05,1.58E-05,1.71E-05,1.96E-05,1.89E-05
YER074W,2.04E-05,2.27E-05,2.89E-05,3.48E-05,2.77E-05,3.42E-05,3.61E-05,4.14E-05,3.90E-05
YKL156W,2.58E-05,2.82E-05,3.48E-05,4.01E-05,3.10E-05,3.57E-05,3.77E-05,4.22E-05,3.95E-05
YNL178W,2.56E-05,2.78E-05,3.55E-05,4.04E-05,3.33E-05,4.08E-05,4.42E-05,5.16E-05,4.87E-05
YLR264W,,,,,,,,,
YPL081W,1.28E-06,1.23E-06,1.22E-06,1.46E-06,1.14E-06,1.36E-06,1.40E-06,1.52E-06,1.24E-06
YMR266W,7.51E-08,1.07E-07,1.03E-07,1.13E-07,8.74E-08,9.15E-08,9.73E-08,8.29E-08,9.85E-08
YFR049W,3.81E-06,4.35E-06,5.40E-06,5.76E-06,4.64E-06,5.43E-06,5.83E-06,5.92E-06,4.46E-06
YOR118W,,,,,,,,,
YPL183W-A,,,,,,,,,
YOL067C,,,3.69E-08,,1.87E-08,,,,2.71E-08
YGR161C,8.23E-07,7.29E-07,,,,,,,
YPR110C,1.13E-06,1.23E-06,1.67E-06,1.87E-06,1.59E-06,1.90E-06,1.83E-06,2.01E-06,1.94E-06
YDR404C,1.86E-07,2.19E-07,2.20E-07,,,,1.79E-07,,1.52E-07
YNR003C,7.05E-08,9.06E-08,1.29E-07,1.31E-07,1.36E-07,1.29E-07,1.44E-07,1.12E-07,1.19E-07
YNL151C,1.50E-07,,,,2.78E-07,2.87E-07,3.37E-07,,2.36E-07
YKL144C,,,,,,,,,
YNL330C,1.61E-07,1.38E-07,1.70E-07,1.95E-07,1.66E-07,1.75E-07,1.73E-07,1.96E-07,1.80E-07
YML091C,2.76E-08,2.97E-08,3.31E-08,3.41E-08,1.86E-08,2.09E-08,2.58E-08,2.37E-08,2.12E-08
YER021W,2.66E-06,2.68E-06,2.72E-06,2.80E-06,1.94E-06,1.90E-06,1.99E-06,1.86E-06,1.71E-06
YDL097C,4.77E-06,4.58E-06,4.84E-06,5.22E-06,3.59E-06,3.79E-06,3.67E-06,3.40E-06,2.94E-06
YNL213C,,,,,,,,,
YML043C,,,,,,,,,
YLR141W,,,,,,,,,
YBL014C,,,,,,,,,
YPL012W,1.85E-07,2.32E-07,3.01E-07,3.55E-07,2.75E-07,3.41E-07,3.46E-07,3.58E-07,3.28E-07
YDR087C,1.11E-07,9.68E-08,1.12E-07,1.12E-07,9.03E-08,1.09E-07,1.01E-07,8.73E-08,9.38E-08
YOL142W,,9.65E-08,,1.14E-07,,,,,
YDL111C,,,,,,,,,
YDR280W,3.00E-07,,2.70E-07,,,,,,
YDR064W,1.90E-05,2.05E-05,2.67E-05,3.31E-05,2.60E-05,3.13E-05,3.51E-05,4.10E-05,3.92E-05
YBL072C,1.38E-05,1.52E-05,1.95E-05,2.34E-05,1.88E-05,2.32E-05,2.47E-05,2.92E-05,2.80E-05
YGR152C,9.79E-07,1.02E-06,1.21E-06,1.49E-06,9.48E-07,1.13E-06,1.10E-06,1.13E-06,1.04E-06
YPR166C,2.54E-07,4.11E-07,4.82E-07,5.83E-07,4.85E-07,6.10E-07,7.55E-07,8.15E-07,7.30E-07
YDR041W,2.89E-07,3.31E-07,6.13E-07,6.87E-07,5.88E-07,7.83E-07,9.17E-07,1.04E-06,9.33E-07
YNR037C,5.05E-07,5.74E-07,9.93E-07,1.19E-06,1.02E-06,1.31E-06,1.52E-06,1.74E-06,1.51E-06
YBL090W,5.83E-07,6.77E-07,1.11E-06,1.41E-06,1.30E-06,1.82E-06,2.31E-06,2.54E-06,2.04E-06
YPL118W,3.95E-07,4.42E-07,8.26E-07,1.06E-06,8.26E-07,1.05E-06,1.26E-06,1.33E-06,1.22E-06
YOL138C,,,,,,,,,
YNL254C,,,,,,,,,
YGL252C,6.19E-07,6.48E-07,7.00E-07,7.34E-07,5.37E-07,5.77E-07,5.87E-07,4.70E-07,4.29E-07
YDR190C,2.93E-06,2.83E-06,2.96E-06,3.26E-06,2.48E-06,2.77E-06,2.64E-06,2.52E-06,2.29E-06
YDL076C,,,,,,,,,
YKR094C,,,,,,,,,
YDL133C-A,,,,,,,,,
YBR031W,3.59E-05,3.98E-05,5.13E-05,5.98E-05,4.94E-05,6.14E-05,6.40E-05,7.03E-05,6.61E-05
YOL039W,1.40E-05,1.48E-05,1.94E-05,2.35E-05,2.02E-05,2.45E-05,2.64E-05,2.99E-05,2.89E-05
YDR091C,3.07E-06,2.98E-06,3.53E-06,4.03E-06,3.33E-06,3.80E-06,4.05E-06,3.97E-06,3.79E-06
YDR116C,5.63E-07,5.89E-07,9.37E-07,1.23E-06,9.53E-07,1.21E-06,1.42E-06,1.66E-06,1.44E-06
YMR193W,4.48E-07,4.91E-07,8.34E-07,1.01E-06,8.55E-07,1.16E-06,1.15E-06,1.38E-06,1.14E-06
YDR462W,4.28E-07,3.98E-07,7.20E-07,6.24E-07,7.84E-07,9.46E-07,1.00E-06,8.82E-07,9.04E-07
YML009C,2.57E-07,2.94E-07,4.58E-07,5.93E-07,4.96E-07,6.87E-07,7.72E-07,8.39E-07,7.41E-07
YNR022C,3.72E-07,4.47E-07,6.95E-07,9.53E-07,7.19E-07,9.26E-07,1.11E-06,1.23E-06,1.09E-06
YLL046C,,,,,,,,,
YJL190C,2.13E-05,2.32E-05,2.91E-05,3.34E-05,2.67E-05,3.35E-05,3.60E-05,4.08E-05,3.85E-05
YIL069C,2.04E-05,2.27E-05,2.89E-05,3.48E-05,2.77E-05,3.42E-05,3.61E-05,4.14E-05,3.90E-05
YLR388W,9.68E-06,9.80E-06,1.52E-05,1.81E-05,1.52E-05,1.86E-05,1.97E-05,2.26E-05,2.18E-05
YPL090C,1.27E-05,1.35E-05,1.78E-05,2.13E-05,1.69E-05,2.12E-05,2.24E-05,2.63E-05,2.53E-05
YMR091C,3.24E-07,3.30E-07,4.44E-07,4.76E-07,4.12E-07,4.38E-07,4.55E-07,4.81E-07,4.36E-07
YER050C,5.08E-07,6.21E-07,1.14E-06,1.49E-06,1.21E-06,1.57E-06,1.85E-06,1.92E-06,1.75E-06
YGR275W,2.90E-07,3.53E-07,3.05E-07,4.15E-07,2.75E-07,3.18E-07,3.38E-07,3.16E-07,3.00E-07
YNL206C,6.56E-08,6.24E-08,9.11E-08,7.01E-08,5.76E-08,,7.89E-08,7.26E-08,6.70E-08
YMR143W,1.33E-05,1.39E-05,1.82E-05,2.19E-05,1.76E-05,2.18E-05,2.35E-05,2.74E-05,2.62E-05
YML026C,1.62E-05,1.73E-05,2.25E-05,2.59E-05,2.08E-05,2.53E-05,2.73E-05,3.16E-05,3.02E-05
YJL136C,6.61E-06,6.91E-06,8.32E-06,9.95E-06,8.29E-06,1.04E-05,1.06E-05,1.25E-05,1.19E-05
YLR333C,,,,,,,,,
YGL189C,2.33E-05,2.49E-05,3.33E-05,3.92E-05,3.18E-05,3.80E-05,4.19E-05,4.70E-05,4.54E-05
YML063W,3.16E-06,3.44E-06,4.50E-06,5.56E-06,4.38E-06,5.48E-06,5.89E-06,6.94E-06,6.67E-06
YNL096C,4.78E-06,5.76E-06,6.48E-06,7.75E-06,6.08E-06,7.27E-06,7.73E-06,9.42E-06,9.24E-06
YHR056C,8.48E-08,9.24E-08,1.23E-07,1.47E-07,7.93E-08,1.01E-07,1.14E-07,1.22E-07,9.99E-08
YCR052W,3.27E-07,2.20E-07,3.45E-07,4.57E-07,3.46E-07,3.95E-07,3.86E-07,3.80E-07,3.73E-07
YML127W,6.77E-08,7.53E-08,1.02E-07,8.54E-08,7.08E-08,9.03E-08,8.59E-08,9.32E-08,
YMR190C,,,,,,,,,
YOR007C,1.13E-05,1.17E-05,1.19E-05,1.29E-05,9.26E-06,1.06E-05,1.03E-05,1.01E-05,9.17E-06
YBL031W,,,,,,,,,
YKL130C,,,,,,,1.03E-07,1.03E-07,
YBR103W,9.92E-08,,,,6.19E-08,9.07E-08,,1.00E-07,1.51E-07
YOL004W,1.91E-07,1.93E-07,2.52E-07,2.66E-07,1.81E-07,2.10E-07,2.05E-07,2.09E-07,1.74E-07
YKR101W,,,,,,,,,
YNL032W,,,,,,,,,
YLR398C,1.25E-07,1.11E-07,1.28E-07,1.51E-07,1.08E-07,1.19E-07,1.38E-07,1.21E-07,9.43E-08
YNL167C,,,,,,,,,
YDR489W,,,,,,,,,
YOR060C,,,,,,,,,
YOR008C,,,,,,,,,
YBR156C,,,,,,,,,
YBR077C,3.68E-07,2.93E-07,2.59E-07,3.28E-07,2.31E-07,2.26E-07,2.70E-07,1.86E-07,1.66E-07
YOR154W,,,,,,,,,
YBR065C,,,,,,,,,
YNL196C,,,,,,,,,
YML066C,,,,,,,,,
YGR229C,1.14E-06,1.31E-06,2.12E-06,2.53E-06,2.21E-06,2.55E-06,2.42E-06,2.39E-06,1.98E-06
YPR054W,,,,,,,,,
YLR025W,7.49E-07,6.64E-07,6.77E-07,7.22E-07,5.65E-07,5.46E-07,5.33E-07,5.29E-07,4.51E-07
YIL016W,2.41E-07,2.62E-07,3.07E-07,3.18E-07,2.76E-07,4.93E-07,4.43E-07,2.81E-07,3.54E-07
YEL026W,5.29E-06,6.02E-06,7.60E-06,8.40E-06,6.91E-06,8.24E-06,9.17E-06,9.08E-06,8.64E-06
YDL098C,,,,,,,,,
YDR201W,,,,,,,,,
YJR010C-A,,,,,,,,,
YMR117C,7.75E-08,,5.14E-08,,6.97E-08,1.04E-07,9.43E-08,9.98E-08,
YML055W,8.40E-07,7.88E-07,9.40E-07,9.87E-07,6.53E-07,6.35E-07,6.34E-07,6.14E-07,5.20E-07
YHR172W,,2.71E-09,,7.40E-09,,,3.56E-09,,3.21E-09
YPR069C,7.01E-06,6.86E-06,8.51E-06,1.02E-05,8.70E-06,1.12E-05,1.04E-05,1.04E-05,9.54E-06
YMR191W,,,,,,,,,
YDR511W,8.09E-07,8.03E-07,9.99E-07,1.15E-06,1.02E-06,1.19E-06,1.30E-06,1.40E-06,1.16E-06
YIL084C,,,,,,,,,
YIL109C,3.37E-06,3.08E-06,3.29E-06,3.60E-06,2.70E-06,2.92E-06,2.91E-06,3.16E-06,2.93E-06
YBR171W,5.99E-07,4.57E-07,7.08E-07,7.83E-07,6.02E-07,6.55E-07,6.39E-07,6.55E-07,6.01E-07
YDR170C,1.61E-07,1.86E-07,2.06E-07,2.07E-07,1.38E-07,1.81E-07,1.74E-07,1.52E-07,1.40E-07
YPR055W,,,,,,,,,
YMR086W,1.71E-07,1.67E-07,2.19E-07,2.26E-07,1.42E-07,1.77E-07,1.75E-07,2.00E-07,1.79E-07
YOR315W,,,,,,,,,
YDL042C,8.69E-09,7.91E-09,1.10E-08,,1.21E-08,1.45E-08,1.63E-08,1.60E-08,1.57E-08
YLR442C,1.10E-08,1.01E-08,9.67E-09,8.09E-09,5.96E-09,7.30E-09,6.57E-09,5.75E-09,5.33E-09
YDR328C,2.00E-06,1.91E-06,1.98E-06,1.96E-06,1.35E-06,1.57E-06,1.47E-06,1.17E-06,9.24E-07
YNL243W,8.36E-07,8.25E-07,9.91E-07,1.05E-06,7.54E-07,8.49E-07,8.50E-07,8.58E-07,7.79E-07
YDR515W,4.02E-07,3.66E-07,4.38E-07,5.66E-07,4.63E-07,6.03E-07,7.18E-07,7.30E-07,5.98E-07
YGR212W,,,,,,,,,
YIL105C,4.47E-07,4.12E-07,4.63E-07,3.48E-07,2.31E-07,2.55E-07,2.41E-07,2.14E-07,1.90E-07
YHR030C,5.99E-07,5.08E-07,5.40E-07,5.23E-07,2.74E-07,2.90E-07,2.90E-07,2.80E-07,2.43E-07
YDL013W,,,,,,,,,
YDR294C,6.77E-07,6.74E-07,6.94E-07,6.78E-07,4.87E-07,5.64E-07,4.60E-07,3.59E-07,3.13E-07
YOR057W,2.73E-07,2.73E-07,2.91E-07,3.19E-07,2.46E-07,2.70E-07,2.61E-07,2.48E-07,2.02E-07
YIL123W,,,,,,,,,
YKR072C,2.98E-07,2.37E-07,,,,2.52E-07,2.65E-07,,3.46E-07
YOR156C,,,,,,,,,
YER116C,,,,,,,,,
YLR086W,,4.15E-09,,,,,,,
YLR275W,3.19E-07,2.67E-07,1.62E-07,3.96E-07,3.45E-07,,,2.22E-07,3.72E-07
YOL122C,,,,,,,,,
YOR149C,,,,,,,,,
YDR510W,4.49E-06,4.08E-06,4.01E-06,4.37E-06,3.04E-06,3.37E-06,3.52E-06,3.63E-06,3.38E-06
YKL079W,5.40E-08,5.46E-08,5.50E-08,6.32E-08,5.14E-08,6.06E-08,5.15E-08,2.93E-08,4.73E-08
YKL173W,3.10E-08,3.68E-08,3.94E-08,3.24E-08,2.65E-08,3.41E-08,2.86E-08,2.44E-08,2.43E-08
YDR186C,4.77E-08,4.79E-08,,4.95E-08,2.79E-08,,3.76E-08,3.77E-08,
YNR023W,,,,,,,,,3.43E-08
YDR011W,9.73E-08,,6.35E-08,1.36E-07,4.18E-08,,,,7.60E-08
YOR308C,,,,,,,,,
YDR425W,,,,,,,,,
YFL059W,,,,,,,,,
YCR073W-A,5.95E-07,5.46E-07,6.12E-07,6.22E-07,4.81E-07,4.75E-07,4.41E-07,4.42E-07,4.13E-07
YGR248W,5.69E-07,5.81E-07,4.32E-07,3.09E-07,9.11E-08,3.91E-08,2.41E-08,1.74E-08,
YEL059C-A,,,,,,,,,
YMR059W,,,,,,,,,
YLR105C,,,,,,,,,
YHR207C,,,1.46E-07,,,1.04E-07,,,5.72E-08
YJL068C,7.61E-07,6.99E-07,6.21E-07,7.12E-07,5.01E-07,5.22E-07,4.62E-07,4.46E-07,3.90E-07
YJL145W,1.20E-06,9.61E-07,1.07E-06,1.24E-06,1.02E-06,1.13E-06,1.09E-06,1.04E-06,8.88E-07
YKL051W,,,,,,,,,
YPR198W,,,,,,,,,
YPL047W,,,,,,,,,
YGL066W,,,,,,,,,
YKR043C,2.17E-06,2.28E-06,2.76E-06,3.25E-06,2.47E-06,2.74E-06,2.81E-06,3.03E-06,2.90E-06
YOR035C,7.12E-08,6.59E-08,7.80E-08,,4.34E-08,4.58E-08,3.86E-08,3.91E-08,
YDR393W,,,,,,,,,
YIL104C,,,,,,,,,
YDR078C,,,,,,,,,
YOR137C,,,,,,,,,
YGL208W,,1.37E-08,,,,,,,
YOR076C,,,,,,,,,
YNL311C,,,,,,,,,
YBL061C,,,,,1.88E-08,,,,
YKL108W,,,,,,,,,
YDR088C,,,,,,,,,
YBR172C,1.42E-07,2.46E-07,4.18E-07,2.29E-07,2.23E-07,3.07E-07,3.24E-07,3.28E-07,2.56E-07
YJL151C,,,,,,,,,
YFL060C,,,,,,,,,
YOR357C,4.60E-06,7.22E-07,8.68E-07,1.80E-06,7.76E-07,8.55E-07,1.24E-06,9.46E-07,1.35E-06
YJL036W,2.59E-07,2.11E-07,2.47E-07,2.33E-07,1.70E-07,1.72E-07,1.80E-07,1.42E-07,1.15E-07
YMR096W,1.04E-06,9.38E-07,1.00E-06,7.28E-07,2.51E-07,1.75E-07,1.12E-07,1.27E-07,1.16E-07
YEL065W,,,,,,,,,
YNL047C,,,,1.54E-08,,,,,
YER180C-A,,,,,,,,,
YGR074W,5.48E-07,,,,,4.48E-07,5.55E-07,5.53E-07,3.99E-07
YLR147C,,5.47E-07,,,,,,,
YLR034C,,,,,,,,,
YDL123W,,,,,,,,,
YNL333W,,,,,,,,,
YHR008C,1.88E-05,1.69E-05,1.42E-05,1.38E-05,8.76E-06,9.57E-06,1.14E-05,1.25E-05,9.53E-06
YHR119W,,,,,,,,,
YJL105W,,,,,,,,,
YNL049C,,,,,6.43E-08,6.60E-08,6.51E-08,7.88E-08,6.85E-08
YJR095W,5.99E-06,7.40E-06,7.68E-06,8.61E-06,7.04E-06,7.23E-06,6.51E-06,1.62E-06,3.88E-07
YPL027W,,,,,,,,,
YFL008W,1.29E-07,1.40E-07,1.38E-07,1.36E-07,1.20E-07,1.36E-07,1.28E-07,1.08E-07,8.18E-08
YLR383W,,,,,,,,,
YBR182C,,,,,,,,,
YPL002C,,,,,,,,,
YGR197C,,,,,,,,,
YNL334C,,,,,,,,,
YMR016C,2.62E-08,,,,2.26E-08,3.61E-08,,,2.68E-08
YBR081C,,,,,,,,,2.59E-07
YIR012W,7.55E-07,7.10E-07,9.69E-07,1.04E-06,8.96E-07,1.01E-06,9.46E-07,1.05E-06,9.84E-07
YOR327C,4.07E-07,4.48E-07,4.70E-07,5.54E-07,3.71E-07,5.14E-07,4.53E-07,3.45E-07,3.37E-07
YDR073W,,,,,,,,,
YDR477W,2.53E-07,2.65E-07,2.99E-07,3.68E-07,3.08E-07,3.30E-07,3.93E-07,4.10E-07,3.24E-07
YJR104C,3.83E-05,4.16E-05,3.84E-05,3.80E-05,2.59E-05,3.03E-05,3.70E-05,4.17E-05,3.46E-05
YDR006C,,,,,,,,,
YNR034W,8.12E-07,6.95E-07,5.02E-07,4.22E-07,2.99E-07,2.23E-07,3.00E-07,3.02E-07,2.34E-07
YHR163W,3.08E-06,2.94E-06,3.73E-06,4.36E-06,3.46E-06,3.87E-06,3.52E-06,2.61E-06,2.58E-06
YHR152W,,,,,,,,,
YPL130W,,,,,,,,,
YMR017W,,,,,,,,,
YGR059W,,,,,,,,,
YMR179W,,,,,,,,,
YKL020C,,,,,,,,,
YCR018C,,,,,,,,,
YNR031C,,,,,,,,,
YLR005W,,,,,,,,,
YMR200W,,,,,,,,,
YPR065W,,,,,,,,,
YNL248C,2.54E-07,2.91E-07,4.36E-07,4.81E-07,3.77E-07,4.26E-07,4.99E-07,4.74E-07,4.97E-07
YPR187W,1.31E-06,1.49E-06,1.82E-06,2.33E-06,1.80E-06,2.14E-06,2.05E-06,2.38E-06,2.21E-06
YOL005C,1.65E-06,1.56E-06,1.95E-06,2.27E-06,1.84E-06,2.10E-06,2.09E-06,2.09E-06,1.93E-06
YHR062C,2.42E-07,2.73E-07,2.08E-07,2.04E-07,1.74E-07,2.13E-07,2.52E-07,8.02E-08,1.49E-07
YLL030C,,,,,,,,,
YOR096W,2.47E-05,2.73E-05,3.66E-05,4.41E-05,3.42E-05,4.25E-05,4.50E-05,5.02E-05,4.77E-05
YOR049C,,,,,,,,,
YML049C,3.31E-08,3.82E-08,4.23E-08,3.70E-08,2.55E-08,3.18E-08,3.00E-08,2.71E-08,2.17E-08
YDR494W,3.54E-07,4.12E-07,6.97E-07,9.00E-07,6.75E-07,8.79E-07,9.86E-07,1.11E-06,1.00E-06
YER029C,7.17E-07,5.92E-07,8.05E-07,8.11E-07,6.69E-07,6.55E-07,7.14E-07,6.67E-07,5.39E-07
YLR048W,7.69E-06,8.34E-06,1.06E-05,1.45E-05,1.13E-05,1.46E-05,1.51E-05,1.79E-05,1.74E-05
YJR113C,4.99E-07,5.73E-07,1.02E-06,1.33E-06,1.22E-06,1.61E-06,1.85E-06,2.09E-06,1.83E-06
YBR146W,4.00E-07,5.23E-07,9.63E-07,1.16E-06,1.02E-06,1.29E-06,1.51E-06,1.75E-06,1.46E-06
YER104W,,,,,,,,,
YNR036C,2.88E-07,3.40E-07,6.12E-07,7.51E-07,6.36E-07,8.38E-07,9.51E-07,1.03E-06,8.65E-07
YGR084C,6.13E-07,6.80E-07,1.21E-06,1.47E-06,1.20E-06,1.50E-06,1.51E-06,1.58E-06,1.46E-06
YMR188C,7.25E-07,8.35E-07,1.53E-06,1.84E-06,1.70E-06,2.08E-06,2.60E-06,2.71E-06,2.43E-06
YDR175C,2.06E-07,1.93E-07,3.22E-07,4.07E-07,3.14E-07,4.04E-07,4.77E-07,5.45E-07,4.86E-07
YIL093C,3.28E-07,4.11E-07,6.74E-07,7.84E-07,6.98E-07,9.15E-07,1.10E-06,1.26E-06,1.10E-06
YGR215W,2.77E-07,2.94E-07,6.47E-07,7.69E-07,6.62E-07,8.37E-07,9.96E-07,9.36E-07,9.15E-07
