all_gene,prot.1,prot.2,prot.3,prot.4,prot.5,prot.6,prot.7,prot.8,prot.9
YMR188C,7.25e-07,8.35e-07,1.53e-06,1.84e-06,1.7e-06,2.08e-06,2.6e-06,2.71e-06,2.43e-06
YDR175C,2.06e-07,1.93e-07,3.22e-07,4.07e-07,3.14e-07,4.04e-07,4.77e-07,5.45e-07,4.86e-07
YIL093C,3.28e-07,4.11e-07,6.74e-07,7.84e-07,6.98e-07,9.15e-07,1.1e-06,1.26e-06,1.1e-06
YGR215W,2.77e-07,2.94e-07,6.47e-07,7.69e-07,6.62e-07,8.37e-07,9.96e-07,9.36e-07,9.15e-07
YDR337W,4.69e-07,5.4e-07,9.15e-07,1.13e-06,9.46e-07,1.21e-06,1.4e-06,1.51e-06,1.34e-06
YDR233C,6.79e-06,7.06e-06,6.84e-06,6.63e-06,4.18e-06,4.12e-06,4.15e-06,3.65e-06,3.11e-06
YNL302C,5.87e-06,7.19e-06,8.58e-06,1.02e-05,8.13e-06,9.74e-06,1.06e-05,1.26e-05,1.15e-05
YER131W,3.21e-06,3.48e-06,4.71e-06,5.78e-06,4.7e-06,6.31e-06,7.06e-06,9.1e-06,9.08e-06
YHR021C,2.58e-05,2.82e-05,3.48e-05,4.01e-05,3.1e-05,3.57e-05,3.77e-05,4.22e-05,3.95e-05
YLR287C-A,1.4e-05,1.49e-05,1.8e-05,2.23e-05,1.81e-05,2.17e-05,2.37e-05,2.73e-05,2.61e-05
YLR441C,3.53e-05,3.54e-05,4.31e-05,4.89e-05,3.89e-05,4.76e-05,5e-05,5.37e-05,5.17e-05
YJR123W,2.64e-05,2.9e-05,3.83e-05,4.72e-05,3.69e-05,4.67e-05,4.8e-05,5.71e-05,5.4e-05
YBR181C,1.27e-05,1.35e-05,1.78e-05,2.13e-05,1.69e-05,2.12e-05,2.24e-05,2.63e-05,2.53e-05
YGR181W,1.79e-06,1.81e-06,2.06e-06,2.3e-06,1.97e-06,2.46e-06,2.47e-06,2.23e-06,1.87e-06
YJL054W,1.26e-07,1.53e-07,1.89e-07,1.57e-07,1.67e-07,2.1e-07,2.55e-07,2.43e-07,2.35e-07
YIL160C,3.64e-06,3.08e-06,2.3e-06,1.7e-06,1.08e-06,9.02e-07,6.43e-07,2.16e-07,1.27e-07
YER063W,8.73e-07,8.49e-07,1.02e-06,1.17e-06,8.76e-07,1e-06,9.08e-07,1.03e-06,8.97e-07
YHR005C-A,1.37e-06,1.46e-06,2.3e-06,2.88e-06,2.45e-06,3.16e-06,4e-06,4.21e-06,3.71e-06
YOR086C,3.82e-07,3.9e-07,4.08e-07,4.31e-07,2.76e-07,3.03e-07,3.03e-07,3.01e-07,2.36e-07
YML072C,2.14e-07,2.3e-07,2.56e-07,2.63e-07,1.87e-07,2.09e-07,2.01e-07,2.02e-07,1.84e-07
YOL097C,9.92e-07,1.04e-06,1.52e-06,1.82e-06,1.42e-06,1.73e-06,1.8e-06,2.09e-06,2.03e-06
YPL097W,1.67e-07,1.63e-07,3.33e-07,4.07e-07,3.32e-07,4.39e-07,5.48e-07,6.09e-07,6.88e-07
YGR186W,2.12e-07,2.3e-07,3.08e-07,3.61e-07,2.63e-07,3.03e-07,2.91e-07,2.96e-07,2.96e-07
YGL232W,4.52e-07,4.92e-07,4.81e-07,5.43e-07,4.11e-07,4.37e-07,5.15e-07,4.41e-07,4.07e-07
YOR265W,2.12e-06,1.96e-06,2.21e-06,2.4e-06,1.79e-06,1.91e-06,1.71e-06,1.45e-06,1.34e-06
YGR270W,3.18e-08,3.82e-08,3.77e-08,4.06e-08,3.65e-08,3.52e-08,3.67e-08,4.3e-08,3.35e-08
YNL087W,2.11e-08,2.99e-08,4.3e-08,6.21e-08,4.8e-08,6.08e-08,4.97e-08,5.74e-08,4.74e-08
YJL008C,2.68e-06,2.83e-06,3.35e-06,3.82e-06,3.12e-06,3.68e-06,3.67e-06,3.76e-06,3.45e-06
YHR009C,2.62e-07,2.76e-07,3.37e-07,3.9e-07,3.08e-07,3.6e-07,3.86e-07,4.42e-07,3.87e-07
YGL043W,4.52e-07,4.88e-07,7.13e-07,8.43e-07,6.47e-07,7.47e-07,7.53e-07,7.69e-07,7.24e-07
YGR043C,1.05e-05,8.07e-06,4.6e-06,3.13e-06,9.97e-07,2.78e-07,2.35e-07,1.12e-07,1.65e-07
YJL014W,2.8e-06,2.89e-06,3.53e-06,3.91e-06,3.11e-06,3.62e-06,3.68e-06,3.72e-06,3.57e-06
YPL028W,5.04e-06,5.53e-06,7.44e-06,7.73e-06,5.1e-06,4.85e-06,4.59e-06,4.5e-06,3.89e-06
YLR354C,2.19e-05,2.13e-05,2.15e-05,2.23e-05,1.68e-05,1.85e-05,1.91e-05,1.47e-05,1.29e-05
YPL128C,3.09e-07,3.08e-07,3.68e-07,4.22e-07,1.66e-07,2.78e-07,3.52e-07,2.93e-07,2.48e-07
YJR064W,2.19e-06,2.28e-06,2.77e-06,3.23e-06,2.45e-06,2.87e-06,2.85e-06,2.93e-06,2.77e-06
YOR168W,1.8e-06,1.7e-06,2.02e-06,2.34e-06,1.95e-06,2.39e-06,2.62e-06,2.88e-06,2.71e-06
YDR023W,5.71e-06,5.09e-06,5.48e-06,6.63e-06,5.49e-06,6.93e-06,7.4e-06,7.4e-06,6.56e-06
YGR005C,3.69e-07,4.3e-07,5.82e-07,5.81e-07,4.35e-07,5.27e-07,5.43e-07,5.13e-07,4.37e-07
YDR145W,1.68e-07,1.81e-07,2.53e-07,2.88e-07,2.14e-07,2.53e-07,2.41e-07,2.49e-07,2.34e-07
YIL142W,2.73e-06,2.79e-06,3.52e-06,3.81e-06,3.08e-06,3.67e-06,3.54e-06,3.66e-06,3.46e-06
YDR188W,2.06e-06,2.14e-06,2.54e-06,2.9e-06,2.24e-06,2.58e-06,2.6e-06,2.64e-06,2.43e-06
YPR086W,2.08e-07,2.22e-07,2.45e-07,2.45e-07,2.19e-07,2.51e-07,2.48e-07,2.95e-07,2.84e-07
YLL021W,6.77e-08,1.08e-07,2e-07,2.08e-07,2.24e-07,2.91e-07,2.24e-07,2.57e-07,1.44e-07
YNL202W,2.23e-06,2.23e-06,2.1e-06,2.1e-06,1.68e-06,1.79e-06,1.05e-06,3.29e-07,1.83e-07
YKR092C,7.8e-07,8.55e-07,1.19e-06,1.19e-06,1.02e-06,1.14e-06,1.06e-06,1.24e-06,1.43e-06
YPR088C,3.37e-07,3.81e-07,4.61e-07,5.4e-07,4.16e-07,5.22e-07,5.02e-07,5.48e-07,5.2e-07
YDR292C,3.71e-07,3.57e-07,3.99e-07,4.28e-07,3.09e-07,3.76e-07,3.39e-07,3.09e-07,2.79e-07
YHL034C,1.04e-05,9.97e-06,1e-05,1.05e-05,8e-06,8.67e-06,8.56e-06,8.43e-06,7.32e-06
YDL100C,3.3e-06,2.91e-06,3.29e-06,3.63e-06,2.73e-06,2.98e-06,2.85e-06,3.11e-06,2.92e-06
YDR272W,1.02e-06,1.02e-06,1.05e-06,1.15e-06,7.77e-07,7.82e-07,8.48e-07,7.98e-07,7.6e-07
YDR513W,7.51e-06,6.9e-06,5.75e-06,5.45e-06,3.16e-06,2.94e-06,2.76e-06,2.41e-06,1.79e-06
YPL059W,1.88e-06,2.13e-06,2.61e-06,3.03e-06,2.38e-06,2.81e-06,2.97e-06,3.16e-06,2.58e-06
YEL046C,6.12e-07,6.58e-07,8.33e-07,1.18e-06,1.07e-06,1.54e-06,1.85e-06,1.93e-06,2.02e-06
YER123W,5.85e-08,4.04e-08,6.99e-08,9.22e-08,5.35e-08,8.88e-08,5.5e-08,5.8e-08,9.5e-08
YHR158C,1.94e-07,1.7e-07,1.83e-07,2.1e-07,1.49e-07,1.62e-07,1.66e-07,1.84e-07,1.29e-07
YKL181W,1.84e-06,1.93e-06,2.66e-06,3.16e-06,2.59e-06,2.93e-06,2.73e-06,2.47e-06,2.49e-06
YBL068W,4.63e-07,4.33e-07,5.52e-07,5.47e-07,4.41e-07,5.87e-07,5.4e-07,5.34e-07,5.02e-07
YOR347C,4.54e-07,4.18e-07,4.25e-07,4.58e-07,3.18e-07,4.28e-07,3.7e-07,3.76e-07,2.7e-07
YNL308C,3.91e-07,4.38e-07,5.57e-07,6.71e-07,5.34e-07,6.47e-07,7.01e-07,6.7e-07,6.04e-07
YCL059C,3.25e-07,3.48e-07,4.81e-07,5.95e-07,4.85e-07,5.69e-07,5.63e-07,5.86e-07,5.82e-07
YGR040W,1.81e-07,2.28e-07,2.31e-07,1.78e-07,2.13e-07,1.71e-07,1.63e-07,1.85e-07,1.72e-07
YPL145C,2.28e-06,2.26e-06,2.6e-06,2.94e-06,2.32e-06,2.5e-06,2.59e-06,2.84e-06,2.62e-06
YGL203C,3.11e-08,3.27e-08,4.79e-08,5.2e-08,3.64e-08,4.9e-08,4.2e-08,4.46e-08,4.21e-08
YLR133W,3.26e-07,2.94e-07,3.8e-07,4.34e-07,3.57e-07,4.09e-07,4.59e-07,4.91e-07,4.92e-07
YMR208W,5.93e-07,6.47e-07,7.82e-07,8.41e-07,5.95e-07,5.82e-07,5.93e-07,5.18e-07,4.63e-07
YER099C,4.1e-07,4.01e-07,4.58e-07,4.36e-07,4.42e-07,5.37e-07,4.62e-07,4.54e-07,4.5e-07
YKL001C,5.29e-06,5.77e-06,7.9e-06,1.01e-05,8.78e-06,1.18e-05,1.2e-05,1.22e-05,1.17e-05
YOL016C,5.2e-07,5.16e-07,5.14e-07,5.43e-07,3.3e-07,3.96e-07,4.19e-07,4.37e-07,4.07e-07
YBR205W,2.89e-07,2.79e-07,2.68e-07,3.71e-07,2.06e-07,2.81e-07,2.07e-07,2.5e-07,2.05e-07
YLR231C,7.71e-07,6.61e-07,6.1e-07,6.83e-07,4.64e-07,4.45e-07,4.97e-07,4.95e-07,4.02e-07
YOR317W,4.48e-06,4.34e-06,4.7e-06,4.63e-06,3.13e-06,2.76e-06,1.65e-06,1.66e-06,2e-06
YPL263C,8.59e-08,1.03e-07,1.78e-07,1.71e-07,1.48e-07,1.93e-07,2.25e-07,2.8e-07,2.22e-07
YDR454C,5.57e-06,5.35e-06,6.37e-06,7.62e-06,6.18e-06,7.29e-06,7.33e-06,7.77e-06,7.11e-06
YBL098W,1.64e-07,1.83e-07,2.5e-07,3e-07,2.29e-07,2.27e-07,2.46e-07,2.16e-07,1.91e-07
YOL061W,1.47e-06,1.47e-06,1.85e-06,2.24e-06,1.81e-06,2.14e-06,1.97e-06,2.06e-06,1.86e-06
YMR246W,2.2e-06,2.07e-06,1.8e-06,1.83e-06,1.36e-06,1.39e-06,1.2e-06,8.65e-07,7.9e-07
YAL038W,4.59e-05,4.59e-05,4.23e-05,4.09e-05,2.44e-05,2.6e-05,2.77e-05,2.84e-05,2.97e-05
YDR483W,3.26e-07,3.68e-07,4.99e-07,5.24e-07,3.2e-07,3.34e-07,3.2e-07,3.2e-07,2.92e-07
YOR181W,1.82e-07,2.45e-07,2.63e-07,2.86e-07,2.02e-07,2.34e-07,1.94e-07,2.02e-07,1.97e-07
YDR062W,4.07e-07,4.29e-07,5.4e-07,5.34e-07,4.08e-07,4.92e-07,3.54e-07,4.67e-07,2.67e-07
YOR171C,7.42e-08,1.68e-07,1.16e-07,1.5e-07,1.36e-07,1.54e-07,1.66e-07,1.84e-07,1.92e-07
YIL009W,2.81e-07,3.06e-07,4.47e-07,6.07e-07,5.39e-07,5.84e-07,5.11e-07,4.91e-07,4.69e-07
YCL018W,1.3e-05,1.26e-05,1.39e-05,1.6e-05,1.32e-05,1.64e-05,1.76e-05,1.5e-05,1.27e-05
YML004C,3.43e-06,3.37e-06,2.32e-06,1.64e-06,6.42e-07,4.97e-07,5.98e-07,5.7e-07,5.5e-07
YKL073W,2.97e-07,2.63e-07,3.12e-07,3.76e-07,2.54e-07,2.64e-07,2.82e-07,2.82e-07,2.68e-07
YBL105C,7.76e-08,7.37e-08,6.78e-08,6.55e-08,5.97e-08,4.63e-08,5.91e-08,6.13e-08,5.67e-08
YHL011C,1.5e-06,1.54e-06,2.11e-06,2.61e-06,2.22e-06,2.69e-06,2.58e-06,2.61e-06,2.41e-06
YOR099W,2.94e-07,3.75e-07,6.25e-07,6.83e-07,4.26e-07,4.35e-07,4.25e-07,4.49e-07,4.19e-07
YMR296C,2.87e-07,3e-07,3.88e-07,4.26e-07,2.93e-07,3.44e-07,3.62e-07,3.3e-07,2.91e-07
YNL323W,2.48e-07,2.59e-07,3.2e-07,3.07e-07,2.36e-07,2.51e-07,3.03e-07,2.82e-07,2.91e-07
YPL111W,4.23e-07,4.26e-07,4e-07,3.55e-07,1.83e-07,1.75e-07,2.21e-07,2.19e-07,1.74e-07
YDR101C,9.92e-07,1.01e-06,1.32e-06,1.64e-06,1.33e-06,1.61e-06,1.6e-06,1.68e-06,1.63e-06
YGR124W,1.98e-06,2.72e-06,4.46e-06,5.04e-06,3.79e-06,4.39e-06,4.69e-06,5.56e-06,5.15e-06
YGL167C,2.12e-07,2.48e-07,2.87e-07,2.79e-07,1.63e-07,1.67e-07,1.67e-07,1.5e-07,1.39e-07
YBL078C,6.24e-07,6.33e-07,8.02e-07,7.84e-07,3.85e-07,2.89e-07,3.05e-07,2.44e-07,1.57e-07
YML081C-A,1.07e-05,1.24e-05,1.73e-05,1.96e-05,1.76e-05,2.04e-05,2.12e-05,1.94e-05,1.53e-05
YOL077W-A,7.86e-06,9.87e-06,1.4e-05,1.75e-05,1.49e-05,1.86e-05,1.96e-05,1.81e-05,1.44e-05
YOR198C,4.24e-06,4.52e-06,6.08e-06,7.25e-06,5.52e-06,6.16e-06,6.69e-06,5.98e-06,5.38e-06
YJL180C,2.89e-07,3.29e-07,5.19e-07,7.64e-07,5.43e-07,7.95e-07,8.58e-07,9.25e-07,8.15e-07
YBR039W,8.86e-06,1.07e-05,1.4e-05,1.67e-05,1.34e-05,1.6e-05,1.61e-05,1.52e-05,1.23e-05
YER177W,7.96e-06,8.46e-06,8.33e-06,9.81e-06,6.72e-06,7.31e-06,7.21e-06,7.14e-06,6.17e-06
YPL084W,3.29e-07,3.46e-07,3.01e-07,3.33e-07,2.2e-07,2.09e-07,2.06e-07,2.32e-07,2.5e-07
YAR014C,3.94e-08,3.57e-08,4.08e-08,5.78e-08,4.67e-08,7.25e-08,6.53e-08,4.65e-08,4.82e-08
YMR014W,2.52e-08,3.26e-08,3.39e-08,4.38e-08,3.67e-08,4.25e-08,4.92e-08,4.36e-08,4.78e-08
YKL007W,3.29e-06,3.07e-06,3.11e-06,3.37e-06,2.44e-06,2.67e-06,2.28e-06,2.45e-06,2.04e-06
YDR099W,5.19e-05,4.88e-05,4.79e-05,5.12e-05,3.39e-05,3.57e-05,3.42e-05,3.2e-05,2.73e-05
YDL099W,3.61e-08,2.97e-08,3.97e-08,3.63e-08,2.99e-08,2.2e-08,1.65e-08,1.46e-08,1.51e-08
YIL034C,1.62e-06,1.41e-06,1.47e-06,1.63e-06,1.07e-06,1.22e-06,1.17e-06,1.11e-06,9.79e-07
YFL023W,2.3e-08,3.02e-08,2.88e-08,3.03e-08,2.37e-08,3.12e-08,3.49e-08,2.97e-08,3.7e-08
YGR262C,4.78e-07,4.78e-07,4.57e-07,5.4e-07,4e-07,4.66e-07,4.43e-07,5e-07,3.73e-07
YHR114W,2.68e-07,2.37e-07,2.79e-07,2.51e-07,2.11e-07,2.49e-07,2.24e-07,2.43e-07,1.73e-07
YDR256C,5.37e-06,4.74e-06,4.06e-06,3.34e-06,2.69e-06,2.19e-06,1.24e-06,2.52e-07,1.24e-07
YAR035W,1.2e-06,1.22e-06,1.46e-06,1.64e-06,1.25e-06,1.27e-06,9.73e-07,3.47e-07,2.16e-07
YKL190W,6.19e-07,5.06e-07,6.65e-07,8.17e-07,5.28e-07,6.72e-07,5.73e-07,5.29e-07,4.59e-07
YNL036W,1.53e-06,2.24e-06,3.86e-06,2.87e-06,1.79e-06,1.58e-06,1.43e-06,1.16e-06,1.06e-06
YPL154C,6.29e-06,6.33e-06,7.34e-06,6.49e-06,3.71e-06,3.5e-06,2.65e-06,2.17e-06,1.82e-06
YJR060W,1.33e-07,1.48e-07,2.15e-07,2.47e-07,2.02e-07,2.17e-07,1.97e-07,1.93e-07,1.77e-07
YGR155W,5.24e-06,5.93e-06,6.96e-06,7.96e-06,6.35e-06,7.79e-06,8.21e-06,8.87e-06,8.6e-06
YJR109C,4.44e-06,6.83e-06,9.84e-06,8.94e-06,4.96e-06,3.78e-06,3.62e-06,4.14e-06,4.08e-06
YHL038C,9.65e-08,9.98e-08,1.65e-07,1.65e-07,9.81e-08,1.79e-07,2.03e-07,1.85e-07,1.79e-07
YGR174C,1.56e-06,1.53e-06,1.74e-06,1.99e-06,1.64e-06,1.98e-06,2.12e-06,2.04e-06,1.53e-06
YDL226C,4.94e-07,4.95e-07,5.97e-07,7.27e-07,5.74e-07,6.82e-07,6.34e-07,7.01e-07,6.42e-07
YDL135C,2.54e-06,2e-06,2.01e-06,2.42e-06,1.74e-06,1.99e-06,1.73e-06,1.56e-06,1.31e-06
YHR108W,5.71e-07,5.39e-07,6.98e-07,8.25e-07,6.59e-07,7.58e-07,7.96e-07,7.87e-07,6.95e-07
YDL198C,2.01e-06,2.63e-06,4.43e-06,5.06e-06,3.75e-06,4.12e-06,4.52e-06,4.38e-06,3.85e-06
YER122C,1.47e-06,1.45e-06,1.67e-06,1.98e-06,1.56e-06,1.75e-06,1.72e-06,1.82e-06,1.73e-06
YEL022W,1.24e-07,1.21e-07,2.26e-07,1.94e-07,1.31e-07,1.02e-07,1.59e-07,1.7e-07,1.47e-07
YGL020C,2.89e-08,3.33e-08,3.62e-08,5.23e-08,2.61e-08,2.66e-08,2.11e-08,2.48e-08,1.5e-08
YEL011W,1.29e-06,1.25e-06,1.05e-06,8.02e-07,4.52e-07,2.54e-07,2.18e-07,2.28e-07,1.62e-07
YCL035C,5.29e-06,5.18e-06,5e-06,5.1e-06,3.33e-06,3.35e-06,3.15e-06,2.75e-06,2.37e-06
YLR058C,1.78e-05,2.11e-05,2.81e-05,3.38e-05,2.69e-05,3.22e-05,3.6e-05,4.33e-05,4.36e-05
YDR519W,1.74e-06,1.49e-06,1.73e-06,2.06e-06,1.35e-06,1.48e-06,1.35e-06,1.16e-06,1.09e-06
YLL029W,3.42e-07,2.97e-07,2.94e-07,2.89e-07,2.28e-07,2.17e-07,2.16e-07,2.1e-07,1.97e-07
YJR078W,1.8e-07,1.28e-07,1.41e-07,1.74e-07,1.85e-07,2.47e-07,2.95e-07,2.16e-07,1.83e-07
YLR095C,1.12e-07,1.13e-07,1.31e-07,1.23e-07,1.4e-07,1.52e-07,1.56e-07,1.81e-07,1.9e-07
YNL015W,1.68e-05,1.86e-05,1.82e-05,1.82e-05,1.28e-05,1.38e-05,1.54e-05,1.31e-05,8.55e-06
YBR011C,2.04e-05,2.22e-05,2.53e-05,2.77e-05,2.1e-05,2.4e-05,2.51e-05,2.67e-05,2.3e-05
YEL001C,7.07e-07,1.33e-06,1.55e-06,2e-06,1.28e-06,1.26e-06,1.39e-06,1.1e-06,9.71e-07
YDL125C,1.42e-05,1.18e-05,1.15e-05,1.32e-05,1.11e-05,1.27e-05,1.09e-05,1.04e-05,9.19e-06
YDR305C,3.73e-07,3.17e-07,3.05e-07,3.22e-07,2.56e-07,2.88e-07,2.49e-07,2.21e-07,1.61e-07
YLR113W,4.49e-07,4.06e-07,7.01e-07,8.11e-07,7.44e-07,9.71e-07,1.02e-06,1.01e-06,8.67e-07
YDR533C,3.07e-06,2.74e-06,1.67e-06,1.11e-06,4.35e-07,4.23e-07,4.43e-07,8.77e-07,1.32e-06
YDR171W,1.89e-05,1.84e-05,1.3e-05,9.53e-06,3.02e-06,1.45e-06,1.19e-06,1.03e-06,7.96e-07
YER103W,1.15e-05,1.02e-05,5.34e-06,3.63e-06,8.58e-07,4.1e-07,3.54e-07,4.33e-07,3.24e-07
YER092W,5.35e-06,5.38e-06,5.84e-06,6.88e-06,4.42e-06,5.84e-06,5.94e-06,5.99e-06,6.04e-06
YER025W,2.04e-06,2.19e-06,2.9e-06,3.59e-06,3.03e-06,3.79e-06,4.01e-06,4.14e-06,3.82e-06
YPR163C,3.69e-06,3.75e-06,4.32e-06,4.96e-06,4.11e-06,4.92e-06,5.13e-06,5.62e-06,5.4e-06
YGL049C,1.4e-06,1.6e-06,2.56e-06,3.42e-06,2.67e-06,3e-06,3.19e-06,3.5e-06,3.09e-06
YJR016C,6.74e-06,8.19e-06,1.14e-05,1.3e-05,9.58e-06,1.03e-05,1.04e-05,1.26e-05,1.24e-05
YCL009C,6.94e-06,8.83e-06,1.29e-05,1.35e-05,9.03e-06,9.34e-06,9.17e-06,1.01e-05,8.98e-06
YMR108W,8.09e-06,1.04e-05,1.45e-05,1.58e-05,1.14e-05,1.24e-05,1.27e-05,1.29e-05,1.14e-05
YCR046C,6.36e-07,7.07e-07,1.35e-06,1.69e-06,1.27e-06,1.75e-06,1.82e-06,2.03e-06,1.87e-06
YNL075W,3.19e-07,3.95e-07,5.48e-07,6.06e-07,5.89e-07,6.42e-07,7.02e-07,7.22e-07,6.89e-07
YMR073C,2.15e-07,2.23e-07,3.16e-07,3.61e-07,2.73e-07,3.03e-07,2.92e-07,3.05e-07,2.61e-07
YDR399W,4.99e-06,5.21e-06,6.28e-06,7.96e-06,6.62e-06,8.25e-06,7.88e-06,7.14e-06,6.44e-06
YDR258C,9.58e-06,8.39e-06,6.33e-06,5.31e-06,3.13e-06,2.98e-06,2.9e-06,2.66e-06,1.98e-06
YOR126C,9.3e-07,7.98e-07,8.55e-07,9.45e-07,7.02e-07,7.53e-07,6.59e-07,5.75e-07,4.72e-07
YER078C,2.08e-07,1.95e-07,2.42e-07,3.14e-07,2.56e-07,2.42e-07,3.25e-07,3.44e-07,2.87e-07
YDL066W,4.73e-06,4.84e-06,6.28e-06,7.39e-06,6.01e-06,7.22e-06,7.75e-06,7.95e-06,7.08e-06
YPL117C,1.28e-06,1.38e-06,2.05e-06,2.36e-06,1.86e-06,2.07e-06,2.01e-06,2.15e-06,2e-06
YAL035W,1.78e-06,1.87e-06,2.48e-06,3.04e-06,2.47e-06,3.03e-06,3.26e-06,3.37e-06,3.19e-06
YNL157W,6.27e-07,6.62e-07,8.77e-07,8.77e-07,5.88e-07,5.29e-07,4.81e-07,4.12e-07,3.63e-07
YNL215W,2.93e-08,4.42e-08,4.34e-08,6.37e-08,4.76e-08,5.81e-08,4.97e-08,5.05e-08,5.11e-08
YMR260C,4.14e-06,4.19e-06,5.29e-06,6.23e-06,5e-06,6.18e-06,6.4e-06,6.53e-06,6.05e-06
YOL139C,4.12e-06,4.06e-06,5.23e-06,6.32e-06,5.33e-06,6.44e-06,6.84e-06,7.15e-06,6.46e-06
YNL189W,2.84e-06,3.26e-06,4.19e-06,4.82e-06,3.72e-06,4.07e-06,3.76e-06,3.61e-06,3.25e-06
YML056C,3.37e-07,2.06e-07,3.25e-07,2.42e-07,2.65e-07,2.59e-07,4.12e-07,5.71e-07,5.92e-07
YNL037C,7.24e-06,8.35e-06,1.27e-05,1.61e-05,1.51e-05,2.12e-05,2.76e-05,2.78e-05,2.03e-05
YOR136W,6.37e-06,7.44e-06,1.13e-05,1.45e-05,1.34e-05,1.86e-05,2.58e-05,2.81e-05,2.09e-05
YKR059W,9.5e-06,9.76e-06,1.25e-05,1.45e-05,1.15e-05,1.37e-05,1.47e-05,1.59e-05,1.5e-05
YKR059W,9.5e-06,9.76e-06,1.25e-05,1.45e-05,1.15e-05,1.37e-05,1.47e-05,1.59e-05,1.5e-05
YJL138C,9.5e-06,9.76e-06,1.25e-05,1.45e-05,1.15e-05,1.37e-05,1.47e-05,1.59e-05,1.5e-05
YEL034W,7.03e-05,7.3e-05,8.35e-05,8.69e-05,6.23e-05,6.67e-05,6.31e-05,5.68e-05,4.92e-05
YLR355C,3.95e-05,4.6e-05,6.75e-05,7.77e-05,5.99e-05,7e-05,6.32e-05,5.78e-05,5.17e-05
YBR041W,2.52e-08,2.61e-08,3.14e-08,3.47e-08,2.79e-08,2.54e-08,2.51e-08,2.86e-08,4.41e-08
YBR222C,1.31e-06,2.03e-06,2.13e-06,2.02e-06,1.15e-06,9.07e-07,8.82e-07,8.04e-07,6.16e-07
YIL098C,3.27e-07,3.08e-07,5.24e-07,6.93e-07,5.16e-07,6.84e-07,7.55e-07,8.18e-07,7.11e-07
YJL167W,1e-05,1.18e-05,1.68e-05,1.86e-05,1.35e-05,1.42e-05,1.41e-05,1.37e-05,1.25e-05
YEL047C,1.68e-06,1.44e-06,1.37e-06,1.54e-06,1.22e-06,1.3e-06,1.27e-06,1.09e-06,8.79e-07
YGR019W,2.69e-06,2.47e-06,2.23e-06,1.99e-06,1.04e-06,8.65e-07,7.77e-07,5.53e-07,4.31e-07
YFR009W,7.3e-07,7.2e-07,9.94e-07,1.13e-06,8.82e-07,1e-06,1.1e-06,1.29e-06,1.15e-06
YEL042W,9.99e-08,1.49e-07,2.49e-07,2.76e-07,2.65e-07,2.46e-07,3.9e-07,3.38e-07,2.49e-07
YDR358W,4.67e-07,4.32e-07,4.05e-07,3.55e-07,2.22e-07,2.36e-07,2.25e-07,2.65e-07,2.04e-07
YDR507C,9.62e-08,1.06e-07,1.77e-07,2.51e-07,2.04e-07,2.33e-07,2.34e-07,1.85e-07,1.75e-07
YER107C,4.35e-07,3.49e-07,4.39e-07,4.28e-07,3.12e-07,3.24e-07,2.82e-07,3.24e-07,2.22e-07
YLR364W,1.82e-06,1.92e-06,2.12e-06,2.8e-06,2.74e-06,3.88e-06,4.74e-06,5.99e-06,5.24e-06
YIL065C,1.38e-06,1.29e-06,1.38e-06,1.61e-06,1.31e-06,1.42e-06,1.56e-06,1.46e-06,1.15e-06
YML074C,4.6e-06,3.95e-06,4.17e-06,4.48e-06,3.46e-06,3.87e-06,3.78e-06,3.53e-06,3.3e-06
YER182W,1.91e-06,1.85e-06,2.25e-06,2.63e-06,1.91e-06,2.23e-06,2.18e-06,1.81e-06,1.56e-06
YCR076C,4.85e-07,4.17e-07,3.48e-08,1.75e-07,2.13e-07,1.37e-07,1.92e-07,1.25e-07,1.23e-07
YKL182W,8.98e-06,1.26e-05,1.5e-05,1.55e-05,9.99e-06,9.35e-06,9.33e-06,8.18e-06,6.74e-06
YGR234W,1.04e-05,1.42e-05,2.33e-05,3.45e-05,3.36e-05,4.15e-05,4.89e-05,4.77e-05,3.66e-05
YDR129C,3.9e-06,3.86e-06,3.94e-06,4.03e-06,2.95e-06,3.12e-06,3.14e-06,3.27e-06,3.02e-06
YMR311C,8.41e-07,8.85e-07,8.55e-07,8.9e-07,5.96e-07,6.17e-07,6.2e-07,5.89e-07,5.11e-07
YDR248C,8.22e-07,7.03e-07,6.69e-07,6.93e-07,4.83e-07,5.09e-07,5.5e-07,5.22e-07,3.32e-07
YJR072C,5.29e-07,5.15e-07,6.5e-07,8.27e-07,6.52e-07,7.59e-07,7.57e-07,7.66e-07,7.07e-07
YIL053W,3.79e-06,3.65e-06,3.77e-06,3.41e-06,1.87e-06,1.65e-06,1.6e-06,2.11e-06,3.37e-06
YOR356W,1.07e-06,1.23e-06,1.46e-06,1.68e-06,1.42e-06,1.78e-06,1.57e-06,1.46e-06,1.19e-06
YLR377C,4.17e-07,5.15e-07,6.67e-07,7.78e-07,6.17e-07,3.71e-07,4.46e-07,1.57e-07,8.02e-08
YER174C,2.96e-07,3.03e-07,2.74e-07,3.53e-07,2.79e-07,3.32e-07,3.13e-07,3.4e-07,2.64e-07
YMR307W,2.73e-06,3.71e-06,5.71e-06,7e-06,5.48e-06,6.75e-06,6.04e-06,5.78e-06,5.27e-06
