all_gene,prot.1
YGL055W,6.16846E-05
YOL052C,8.78639E-06
YOR362C,0.000103803
YGL011C,3.50497E-05
YOR128C,0.000283086
YER168C,9.76792E-06
YLR196W,0.000211666
YPL271W,1.2651E-05
YOR188W,5.15815E-06
YBR237W,0.00012194
YJR049C,3.33757E-06
YJR050W,6.2456E-05
YJR051W,5.86348E-06
YER070W,0.000107282
YBR049C,2.94036E-05
YPL215W,1.99032E-05
YKR001C,0.000110197
YIR023W,2.93562E-06
YIL066C,2.67039E-07
YDR177W,4.44748E-05
YDR337W,6.80492E-06
YLL041C,1.68178E-05
YPL094C,2.79614E-05
YIR031C,1.40304E-06
YGL097W,3.08501E-05
YNL262W,3.41671E-05
YDL066W,0.000184529
YHL020C,0.000335115
YNL307C,4.89009E-05
YDL090C,4.9822E-06
YOR336W,1.99377E-05
YKR099W,4.90016E-06
YOR290C,2.41364E-05
YER142C,1.98159E-06
YJL180C,7.5855E-06
YMR282C,5.38545E-06
YGL206C,0.000231467
YPR010C,0.000117601
YOR210W,9.23146E-06
YHR123W,6.04849E-06
YER012W,5.15501E-05
YMR307W,0.000126637
YGL173C,0.000104649
YOL116W,5.77084E-06
YER103W,2.33282E-05
YOR332W,0.00010512
YGR092W,2.13597E-05
YAR018C,2.37535E-06
YNL183C,1.99801E-05
YDR189W,1.62431E-05
YLR268W,1.25335E-05
YPL153C,5.45761E-06
YLR043C,7.13214E-05
YBR097W,6.12204E-06
YGL233W,1.04497E-05
YOR207C,2.56766E-05
YGR183C,6.89974E-07
YAR007C,4.59237E-05
YJL063C,1.54704E-05
YKR085C,5.68442E-06
YGL248W,2.40691E-06
YGR171C,7.08781E-07
YDR143C,5.02107E-06
YKL210W,0.000262832
YPL008W,1.87349E-05
YOL016C,9.09251E-06
YLR240W,1.02268E-05
YOL004W,3.95112E-05
YJR017C,1.61208E-05
YOL058W,0.000521237
YGR209C,2.89586E-05
YIL004C,2.93899E-06
YGL156W,2.22483E-06
YKL114C,1.31072E-05
YFL014W,8.0653E-06
YHL021C,1.18185E-05
YLL021W,3.98933E-05
YNL229C,1.91516E-05
YML063W,0.001371254
YPR074C,0.00106247
YCR042C,1.00127E-05
YHR057C,3.47225E-06
YLR433C,1.62711E-05
YHR135C,7.47406E-06
YNL154C,1.96629E-05
YPR161C,1.03833E-05
YEL034W,0.001485543
YFR015C,7.60667E-07
YGR076C,5.90292E-06
YDR243C,2.30857E-06
YKR052C,4.75567E-06
YNL240C,6.71374E-06
YLR027C,0.000257521
YLR362W,3.80989E-06
YMR011W,1.47885E-05
YDL134C,1.11978E-06
YDL188C,1.32156E-05
YGR116W,6.2272E-05
YGR135W,3.8371E-05
YML092C,5.75704E-05
YJR077C,0.000242168
YML115C,1.02702E-05
YDR495C,3.63547E-06
YMR203W,0.000202621
YBL041W,4.61159E-05
YLR300W,8.83759E-05
YMR283C,3.13309E-06
YMR281W,2.26019E-06
YLL043W,6.46325E-06
YHR026W,4.94713E-05
YGR148C,0.000469045
YKL197C,1.04961E-06
YDR293C,4.02371E-05
YEL032W,0.000541153
YMR079W,6.89562E-05
YKL149C,1.66346E-06
YER013W,0.000272876
YPR175W,5.81204E-06
YMR220W,9.51994E-06
YBL105C,9.29316E-06
YNL112W,0.000144741
YPL119C,2.843E-07
YJR090C,3.36278E-06
YPR119W,1.11044E-06
YDL155W,2.07318E-06
YDL122W,1.65955E-05
YOL023W,4.92915E-06
YLR069C,4.43584E-05
YOL022C,8.36715E-06
YPR065W,1.74656E-06
YOR157C,2.54492E-05
YDL230W,3.31285E-06
YMR296C,2.46603E-05
YML008C,0.000134031
YOR201C,5.10293E-06
YKR048C,6.26936E-05
YNL007C,0.000114268
YKL190W,9.76855E-06
YMR061W,2.81542E-05
YGL044C,4.38517E-06
YER111C,2.19128E-06
YMR214W,9.25512E-06
YCR036W,3.59535E-06
YCR008W,2.55299E-06
YIR029W,1.32547E-05
YCR063W,9.3092E-07
YGL010W,2.5312E-06
YGL014W,1.64855E-05
YGL012W,4.73994E-05
YCR002C,3.48285E-05
YCR009C,3.2999E-05
YCL032W,3.95386E-06
YCR003W,1.61316E-05
YCR004C,7.68996E-05
YCR023C,3.66097E-06
YCR026C,1.07939E-05
YCR054C,6.30443E-06
YCR032W,8.1971E-06
YCR033W,9.20127E-06
YCR034W,1.15446E-05
YCR035C,1.31166E-05
YCR037C,3.71178E-06
YCR043C,5.38786E-06
YCR067C,2.05943E-05
YCR095C,1.29576E-05
YCL028W,4.40062E-05
YCL031C,5.41048E-06
YCL034W,9.17296E-06
YCR011C,1.69443E-05
YCR083W,1.39549E-05
YCL035C,1.12709E-05
YCL017C,3.96907E-05
YCL057W,2.24533E-05
YCL025C,4.29976E-05
YCR027C,7.97518E-06
YCR072C,2.42914E-05
YLR078C,4.95605E-06
YDL058W,4.05584E-05
YCL024W,3.48977E-06
YDL150W,9.1568E-06
YGL123W,0.001499005
YER094C,1.76487E-05
YER095W,8.28469E-06
YNL064C,0.00017704
YKL015W,6.07129E-06
YEL027W,1.99173E-05
YCL010C,1.50795E-06
YCL011C,2.087E-05
YCL014W,1.78233E-05
YCL016C,1.87928E-06
YCL001W,1.1319E-05
YCL033C,1.29506E-06
YCL037C,8.02628E-05
YCL038C,2.22328E-07
YCL039W,4.91541E-06
YCL042W,0.002295787
YCL044C,1.54838E-05
YCL045C,8.28526E-05
YCL047C,2.47868E-06
YCL051W,2.56424E-06
YCL052C,5.41518E-06
YCL054W,3.97891E-05
YCL059C,1.76408E-05
YCL061C,6.9874E-06
YCL008C,8.21327E-06
YCL009C,0.000140536
YCR015C,4.19962E-06
YCR016W,3.00973E-06
YCR017C,6.50754E-05
YCR030C,3.52544E-05
YCR044C,2.7522E-06
YCR046C,1.14476E-05
YCR047C,8.72267E-06
YCR048W,4.57372E-06
YCR051W,1.8028E-05
YCR052W,1.00575E-05
YCR057C,3.39076E-05
YCR059C,3.49677E-06
YCR060W,9.26481E-07
YCR061W,4.06025E-06
YCR071C,8.16252E-06
YCR077C,3.93312E-05
YCR081W,4.23533E-06
YCR086W,6.50613E-06
YCR090C,9.26116E-06
YCR093W,7.24748E-05
YCR094W,6.59168E-06
YCR076C,1.79109E-06
YDL126C,0.000345936
YML078W,6.73769E-05
YFL002C,9.86312E-06
YHR120W,6.98107E-06
YOL090W,1.39677E-05
YGR087C,4.63169E-06
YPL131W,0.0005744
YER170W,3.6547E-07
YDL170W,3.45375E-06
YOR026W,4.71208E-06
YML016C,1.0892E-05
YPL160W,0.000459799
YJL139C,3.43528E-06
YNL312W,6.13251E-06
YJL173C,1.42119E-05
YJR123W,0.001612375
YIL133C,0.000609244
YNL069C,0.00082272
YOR096W,0.001097699
YKL113C,1.60428E-05
YDR123C,4.48618E-06
YBR278W,3.62642E-06
