all_gene,prot.1,prot.10,prot.11,prot.12,prot.13,prot.14,prot.15,prot.16,prot.17,prot.18,prot.19,prot.2,prot.20,prot.21,prot.22,prot.23,prot.24,prot.25,prot.26,prot.27,prot.28,prot.29,prot.3,prot.30,prot.31,prot.32,prot.33,prot.34,prot.35,prot.36,prot.37,prot.38,prot.39,prot.4,prot.40,prot.41,prot.42,prot.5,prot.6,prot.7,prot.8,prot.9
YER005W,3.55561E-09,5.11556E-09,3.53997E-09,4.43048E-09,4.797E-09,5.08976E-09,5.16892E-09,6.83229E-09,7.78355E-09,8.41222E-09,8.70059E-09,3.53252E-09,1.05442E-08,8.23715E-09,7.19356E-09,1.08838E-08,7.84239E-09,7.93703E-09,4.88803E-09,6.4882E-09,2.70354E-09,4.73249E-09,3.21561E-09,6.48807E-09,6.29864E-09,7.96214E-09,6.80928E-09,6.67561E-09,6.465E-09,7.38087E-09,5.27687E-09,8.07255E-09,5.99281E-09,5.12591E-09,5.47908E-09,7.55153E-09,6.40523E-09,5.91626E-09,5.71814E-09,2.95462E-09,3.34936E-09,3.17052E-09
YDR135C,5.54592E-08,6.67528E-08,5.84656E-08,6.02647E-08,7.47111E-08,7.05165E-08,7.46803E-08,1.17444E-07,1.235E-07,1.25933E-07,1.41914E-07,5.25962E-08,1.39899E-07,1.49507E-07,8.45422E-08,1.14403E-07,1.13558E-07,1.05546E-07,6.04811E-08,6.89292E-08,4.14971E-08,7.80288E-08,5.32552E-08,8.02978E-08,6.54742E-08,8.17976E-08,7.23302E-08,9.39548E-08,8.75713E-08,9.30587E-08,6.50021E-08,9.06718E-08,6.89845E-08,5.24248E-08,8.53053E-08,8.66205E-08,8.61126E-08,6.30563E-08,6.26118E-08,4.8838E-08,5.23902E-08,5.33618E-08
YHR081W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR326C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHR155W,1.31029E-10,1.66027E-10,1.47438E-10,1.84136E-10,1.82515E-10,1.71281E-10,1.95278E-10,1.90096E-10,2.39632E-10,2.69217E-10,2.41751E-10,1.48329E-10,2.74359E-10,2.85228E-10,2.65222E-10,2.05363E-10,3.13467E-10,2.23191E-10,1.42367E-10,1.72385E-10,8.55035E-11,1.9341E-10,1.14126E-10,1.64727E-10,1.44728E-10,1.88357E-10,1.60903E-10,1.99431E-10,2.07597E-10,1.82555E-10,1.5229E-10,1.69007E-10,1.48313E-10,1.99755E-10,1.84625E-10,2.35173E-10,1.88649E-10,1.56454E-10,2.0174E-10,1.21426E-10,1.24049E-10,1.04816E-10
YGR112W,8.515E-09,1.12251E-08,9.46205E-09,8.84715E-09,1.26018E-08,1.10485E-08,1.28837E-08,1.44973E-08,1.74934E-08,1.79214E-08,1.70886E-08,7.53776E-09,1.93805E-08,1.98045E-08,2.33012E-08,3.60879E-08,3.40385E-08,2.40234E-08,1.4523E-08,1.5881E-08,7.4207E-09,1.22726E-08,7.79094E-09,1.47196E-08,2.59153E-08,3.1028E-08,3.00876E-08,1.48215E-08,1.28823E-08,1.81083E-08,1.49491E-08,3.45157E-08,1.63359E-08,2.05756E-08,1.36539E-08,1.74686E-08,1.47893E-08,2.27162E-08,2.31485E-08,7.48673E-09,7.94121E-09,4.81075E-09
YIL097W,9.04862E-09,8.38801E-09,7.23117E-09,7.80234E-09,6.9699E-09,6.73591E-09,8.14014E-09,8.25564E-09,7.79824E-09,7.59776E-09,7.28161E-09,8.53415E-09,8.34128E-09,7.65323E-09,1.58183E-08,1.55369E-08,1.68014E-08,1.6786E-08,8.55369E-09,1.05204E-08,4.68564E-09,9.79068E-09,8.15097E-09,1.03029E-08,1.19888E-08,1.46169E-08,1.19247E-08,1.21279E-08,1.11907E-08,1.14489E-08,9.78705E-09,1.45001E-08,8.80422E-09,1.22665E-08,9.14532E-09,1.32608E-08,8.22187E-09,1.23691E-08,1.25526E-08,6.8399E-09,7.92997E-09,5.01948E-09
YJR110W,6.29542E-09,7.0097E-09,5.70818E-09,6.19001E-09,6.81631E-09,6.28499E-09,7.11998E-09,1.04961E-08,8.09712E-09,7.16877E-09,7.93708E-09,5.50647E-09,7.16685E-09,9.91403E-09,1.2566E-08,1.0499E-08,1.59274E-08,1.32786E-08,6.97186E-09,8.14876E-09,3.89086E-09,7.47336E-09,6.17566E-09,7.90643E-09,9.38971E-09,1.20308E-08,1.00664E-08,1.02258E-08,8.75687E-09,9.0649E-09,7.96425E-09,9.10824E-09,7.59242E-09,7.68196E-09,8.63998E-09,9.28914E-09,8.94482E-09,6.48774E-09,7.18608E-09,5.46402E-09,5.59131E-09,4.92587E-09
YOR153W,1.37711E-08,1.83778E-08,1.50213E-08,1.76918E-08,1.74707E-08,1.57595E-08,1.55917E-08,2.26296E-08,2.21273E-08,2.73526E-08,3.4578E-08,1.13479E-08,3.80407E-08,3.73242E-08,2.0466E-08,2.24257E-08,2.46211E-08,2.00393E-08,1.29219E-08,1.5111E-08,1.19491E-08,1.96765E-08,1.57553E-08,2.06247E-08,9.95702E-09,1.14974E-08,1.46764E-08,2.41813E-08,2.27059E-08,2.46847E-08,1.70094E-08,2.0903E-08,1.55466E-08,1.51034E-08,2.70104E-08,2.63137E-08,3.13048E-08,1.44334E-08,1.27193E-08,1.66347E-08,1.39526E-08,1.15576E-08
YHR005C,2.20855E-07,2.44355E-07,2.1712E-07,2.14936E-07,2.2546E-07,2.3835E-07,2.54555E-07,2.73161E-07,2.98545E-07,2.97037E-07,3.33054E-07,2.02902E-07,3.39191E-07,3.72212E-07,2.71179E-07,2.74509E-07,2.65307E-07,3.12822E-07,2.0304E-07,2.41336E-07,1.45632E-07,2.73699E-07,2.22778E-07,2.89869E-07,2.5637E-07,2.96851E-07,2.79006E-07,3.356E-07,3.12504E-07,3.08542E-07,2.4132E-07,2.96657E-07,2.13856E-07,2.16362E-07,3.87427E-07,3.65016E-07,4.14288E-07,2.15635E-07,1.81287E-07,1.73823E-07,1.8083E-07,2.10877E-07
YBR118W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR080W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR080W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR240C,1.96394E-06,2.52435E-06,1.97849E-06,2.12997E-06,2.15837E-06,2.26126E-06,1.97848E-06,3.12951E-06,3.46277E-06,3.21656E-06,4.41289E-06,1.68166E-06,4.74171E-06,4.62239E-06,2.68409E-06,3.3959E-06,3.49697E-06,3.59281E-06,2.10666E-06,2.71689E-06,1.86379E-06,3.19132E-06,1.79897E-06,2.95242E-06,3.32986E-06,4.09924E-06,3.16082E-06,3.41525E-06,3.3874E-06,3.31827E-06,2.25529E-06,2.97196E-06,2.53506E-06,2.0531E-06,4.72737E-06,3.92729E-06,4.65623E-06,2.17198E-06,1.74905E-06,1.76409E-06,1.55019E-06,2.44995E-06
YDR419W,3.54006E-09,5.26665E-09,3.80488E-09,4.3124E-09,4.41669E-09,4.04756E-09,4.58682E-09,7.13826E-09,6.19014E-09,5.86549E-09,6.75495E-09,3.65532E-09,6.1758E-09,9.08732E-09,3.83014E-09,6.31461E-09,7.43664E-09,7.59867E-09,4.45306E-09,6.11741E-09,3.26893E-09,5.50726E-09,3.20245E-09,5.31246E-09,5.08868E-09,5.79652E-09,5.25158E-09,6.05325E-09,6.35389E-09,6.56841E-09,4.85157E-09,5.91561E-09,5.84162E-09,3.66652E-09,7.19323E-09,7.24388E-09,7.52108E-09,4.65798E-09,3.51945E-09,3.75378E-09,3.17906E-09,4.33259E-09
