epoch,acc
0,57.22222187452846
1,73.88888878954782
2,81.33333341942893
3,87.22222199042638
4,89.11111089918349
5,87.22222182485793
6,85.44444441795349
7,83.33333333333333
8,82.2222222884496
9,81.11111058129205
10,80.44444405370288
11,77.99999995364084
12,75.88888920015759
13,75.44444451729457
14,70.22222239110205
15,64.33333390288882
16,64.22222231825192
17,61.88888947168986
18,61.88888889220026
19,65.00000001655684
20,59.88888914386431
21,61.77777813540565
22,59.22222240931458
23,59.777778055932785
24,58.555555840333305
25,57.33333379030228
26,53.00000069869889
27,54.444444096750686
28,51.444444557031
29,51.333333510491585
30,48.88888916207684
31,48.11111069801781
32,52.333333591620125
33,48.6666668827335
34,47.44444435669316
35,47.00000002566311
36,47.222222305006454
37,48.77777770161629
38,48.44444485174285
39,47.88888901886013
40,49.8888887051079
41,48.33333332919412
42,49.22222201195028
43,48.777777287695145
44,48.8888887481557
45,51.66666642245319
46,51.44444443285465
47,52.777777115503945
48,50.9999996672074
49,52.66666640010145
50,52.444444079365994
51,52.55555541565021
52,52.11111060861084
53,53.33333294838667
54,54.666666231221626
55,53.888888781269394
56,53.55555551747481
57,55.444444239967396
58,56.5555553469393
59,53.666666543318165
60,55.44444426066346
61,55.99999963823292
62,54.88888888309399
63,58.555555467804275
64,57.444444174567856
65,55.444444281359516
66,55.888888136380245
67,57.444444215959976
68,55.55555501745807
69,58.666666224598885
70,55.3333332348201
71,57.77777776949935
72,54.99999972267283
73,52.44444492790434
74,52.99999960180786
75,54.888888634741306
76,52.66666677263048
77,55.88888910909494
78,52.99999995364083
79,52.8888887208369
80,53.2222224606408
81,53.444444884856544
82,56.22222253845798
83,54.55555551581912
84,54.11111130896542
85,56.66666680739986
86,54.77777802281909
87,56.22222220732106
88,52.555555601914726
89,59.44444429543283
90,56.22222237288952
91,58.99999986092249
92,59.66666676104069
93,57.55555567642053
94,60.00000014901161
95,62.999999771515526
96,61.00000043710073
97,59.22222253349092
98,65.00000067883067
99,62.44444482856326
100,62.33333382341597
101,61.1111113594638
102,61.111111276679566
103,56.88888861073388
104,55.777777979771294
105,54.777777526113724
106,52.44444393449359
107,54.222222458985115
108,52.88888948659102
109,52.55555568469895
110,52.555555601914726
111,54.000000324514176
112,55.888888984918594
113,52.44444463815954
114,52.88888932102256
115,56.88888881769445
116,57.33333354194959
117,57.7777778936757
118,57.11111120051808
119,54.777777940034866
120,54.22222200367186
121,53.77777790029844
122,51.33333367606004
123,47.666666615340446
124,50.22222246560786
125,52.66666660706202
126,50.44444488982359
127,50.777777863873375
128,49.777777844833004
129,53.11111153827773
130,52.1111112087965
131,55.55555522441864
132,54.333333629700874
133,54.55555592974027
134,49.88888916042116
135,52.66666706237528
136,51.33333367606004
137,51.7777779036098
138,53.66666677097479
139,56.33333358499739
140,51.222222505344284
141,53.66666689515114
142,51.66666693985462
143,54.5555557227797
144,53.22222266760137
145,54.33333354691664
146,49.22222246726354
147,55.66666693323188
148,55.777778021163414
149,50.66666698290242
150,54.88888952467177
151,53.1111111657487
152,51.555555748442806
153,50.55555585357878
154,53.000000408954094
155,50.111111150019696
156,52.66666656566991
157,52.11111116740439
158,52.999999829464485
159,52.22222229672803
160,51.33333344840341
161,56.33333350221316
162,54.77777839534812
163,52.88888919684622
164,50.66666702429453
165,50.777778070833946
166,48.44444493452708
167,48.77777782579263
168,50.44444464147091
169,52.777777798473835
170,52.22222258647283
171,50.55555577079455
172,51.88888878458076
173,55.55555563833978
174,54.22222274872992
175,54.3333331329955
