gene,rxnID,kcat_value1
YJR048W,r_0001_2,7826.2682610739985
YJR048W,r_0001_4,340210.8745729001
YJR048W,r_0002_2,2763.3045812962864
YJR048W,r_0004_2,1248750.9017520514
YEL038W,r_0013,29708.690762455186
YMR108W,r_0016_1,911676.8635481008
YHR063C,r_0019,14047.021792595857
YDR487C,r_0038,7516.679025089882
YDR376W,r_0043_2,64480.689505503164
YLR231C,r_0045,5619.573066637019
YJR024C,r_0086,27419.562007257246
YPR118W,r_0087_fwd,21948.517171319156
YPR118W,r_0087_rvs,15030.464873861136
YCL009C,r_0097_1,4996679.655681981
YML022W,r_0139_2,4569.937471736432
YKL001C,r_0154,27986.94627708028
YMR083W,r_0165_2,254623.1276254827
YMR083W,r_0167_2,217396.1628861833
YMR083W,r_0187_2,214899.0240692495
YBR126C,r_0195_1,251935.3593498635
YOL058W,r_0208_fwd,85525.53805014392
YER052C,r_0215,1940575.454309212
YDR158W,r_0219,59598.17848747311
YLL018C,r_0220,272859.0512439825
YCL050C,r_0224,1164.68093361719
YPL271W,r_0226_1,5781961.125272799
YPL271W,r_0226_2,25716848.402646635
YPL271W,r_0226_3,11411339.283403987
YLR100W,r_0236,523357.8838546292
YGR060W,r_0240,5597.467293087926
YLR304C,r_0280_rvs,205470.54493496387
YLR304C,r_0302_rvs,7561960.831377436
YDR044W,r_0304,10403.77339724755
YHR007C,r_0317,57423.32924891191
YDR454C,r_0330_fwd,242632.26917085127
YDR454C,r_0330_rvs,1595113.798497376
YMR113W,r_0346,428673.85416292096
YDL100C,r_0348,137962.55548509618
YJR143C,r_0362_3,43013.34834710442
YJR048W,r_0437_2,276416.5813208886
YHR051W,r_0438_1,226423824.97924474
YDL067C,r_0438_2,20853404.745889835
YHR051W,r_0438_2,20853404.745889835
YJR048W,r_0438_3,1719663.138221971
Q0250,r_0438_3,3439326.276443942
YGL191W,r_0438_3,3439326.276443942
YHR051W,r_0438_3,3439326.276443942
YLR038C,r_0438_3,3439326.276443942
YDL067C,r_0438_4,19671482.318338744
YGL191W,r_0438_4,19671482.318338744
Q0250,r_0438_5,1714948.728747704
YDL067C,r_0438_5,1714948.728747704
YDR231C,r_0438_5,1714948.728747704
YJR048W,r_0439_2,127981.90869660105
YEL024W,r_0439_2,127981.90869660105
YOR065W,r_0439_2,127981.90869660105
YOR388C,r_0445,19701.947596037615
YGR204W,r_0446_fwd,32935.961052106
YGR204W,r_0446_rvs,90816.85825481416
YPL262W,r_0451_fwd,175098.95030685872
YPL262W,r_0451_rvs,281364.73574571585
YPL262W,r_0452_rvs,156836.18501193487
YEL047C,r_0454_fwd,32738.635143550608
YEL047C,r_0454_rvs,3100.111239723612
YEL047C,r_0455_fwd,23536.265354848758
YNL241C,r_0466,281074.3915194793
YBR196C,r_0467_fwd,547615.5882913012
YJL052W,r_0486_2_fwd,120761.86909431302
YOL059W,r_0492,24922.014084482442
YDR148C,r_0505_2,302912.7237793397
YIL125W,r_0505_2,302912.7237793397
YDR376W,r_0530_2,847826.6193735427
YJR139C,r_0547,4940218.515306698
YGR209C,r_0552_1,20010.81323953223
YLR043C,r_0552_2,2508.4896656444635
YDR272W,r_0553,333239.08653829765
YML126C,r_0559,71710.97544561978
YML126C,r_0560,175870.46727290616
YOL055C,r_0561_1,257849.99766225097
YLR174W,r_0659_fwd,37727.27800336787
YLR231C,r_0670,2786.511877646439
YLR027C,r_0681,282169.66076125845
YKL106W,r_0682,89721.62843957018
YLR027C,r_0683,520250.85358074843
YJR078W,r_0694,9490.66103447742
YML004C,r_0697,3815080.2973555187
YKL085W,r_0713_rvs,288393.2040404717
YKL029C,r_0719,2218.8001957758847
YGR204W,r_0725_fwd,17896.11403599251
YGR204W,r_0725_rvs,46357.067314498156
YDR502C,r_0726_1,16488.619539648833
YGR204W,r_0732_fwd,21555.89699738192
YGR204W,r_0732_rvs,332305.53460910125
YMR062C,r_0761_2_fwd,769401.4860312529
YJR049C,r_0765_2,1905.6075377456732
YJR049C,r_0771_2,1854.9289719373248
YIL125W,r_0831,169994.31237301018
YFL022C,r_0852,635475.73762941
YLR060W,r_0852,635475.73762941
YGR209C,r_0883_1,18466.615628862404
YHR183W,r_0889_2,58938.31547420531
YCR012W,r_0892_fwd,1339609.5529753512
YKL152C,r_0893_2_rvs,34663.58460034835
YMR220W,r_0904,16039.018166370986
YKL088W,r_0906_1,46987.8869079119
YKL088W,r_0906_2,61495.81567439139
YKL088W,r_0906_4,10760.187933875815
YOL061W,r_0916_4,36135.675161626124
YOL061W,r_0916_5,9898.761870052685
YGL040C,r_0935,22974.191154634562
YNL316C,r_0938,4374.820616020965
YGR209C,r_0971,7410.3196979816885
YGR209C,r_0972,16458.39725513076
YER070W,r_0975_1,10557.901423062925
YJL026W,r_0975_4,35877.289517927406
YGR180C,r_0976_2,583555.8650656466
YJL026W,r_0977_4,7831.735503089044
YJL026W,r_0978_4,4753.177423816605
YER070W,r_0979_1,36775.12115742521
YGR180C,r_0979_2,168049.90012478613
YJL121C,r_0984_fwd,1328512.705351363
YNR050C,r_0989,158212.49538089175
YEL047C,r_1000_rvs,10501.446236374382
YKL141W,r_1021_1_fwd,38611.36904186417
YLL041C,r_1021_1_fwd,38611.36904186417
YDR178W,r_1021_1_rvs,24929.14424591376
YKL141W,r_1021_1_rvs,24929.14424591376
YLL041C,r_1021_1_rvs,24929.14424591376
YDR178W,r_1021_2_fwd,79846.85410978289
YKL141W,r_1021_2_fwd,79846.85410978289
YKL148C,r_1021_2_fwd,79846.85410978289
YKL141W,r_1021_2_rvs,56434.748677756914
YLL041C,r_1021_2_rvs,56434.748677756914
YKL148C,r_1021_2_rvs,56434.748677756914
YLL041C,r_1021_3_fwd,18911.306615070975
YLL041C,r_1021_3_rvs,59861.10705863172
YBR006W,r_1023,74141.81356005267
YCL050C,r_1026,1674390.8188104432
YGR209C,r_1038_1,20246.356845710994
YLR043C,r_1038_2,35834.53462542715
YGR043C,r_1048_1_rvs,537556.9628763708
YLR354C,r_1048_2_fwd,105719.97492845595
YLR354C,r_1048_2_rvs,289148.8034625167
YDR050C,r_1054_rvs,13834017.602799835
YLR027C,r_1065,362791.58534751984
YDR047W,r_1081,5690.744022989072
YOR278W,r_1083,33944.88634693932
YKL035W,r_1084_2_fwd,2311.197401344908
YKL035W,r_1084_2_rvs,2783.0338461173046
YMR110C,r_2116_1,3345.695415107512
YMR170C,r_2116_2,8045.034708517653
YHR137W,r_2117_fwd,50423.186277336135
YHR137W,r_2117_rvs,52786.14140762875
YHR137W,r_2119_fwd,27977.930761892894
YHR137W,r_2119_rvs,36616.128760361295
YKL182W,r_2141,14444.183504800932
YOR317W,r_2194_rvs,36200.783130846175
YMR246W,r_2196_1_fwd,932717.5656833549
YOR317W,r_2196_2_fwd,46996.04725190976
YOR317W,r_2196_2_rvs,105161.1560846445
YMR246W,r_2197_1_rvs,631927.9075299877
YOR317W,r_2197_2_fwd,71663.96108195123
YOR317W,r_2197_2_rvs,183902.56164312255
YMR246W,r_2198_1_rvs,938036.8646876797
YOR317W,r_2198_2_fwd,13914.333757852926
YOR317W,r_2198_2_rvs,72811.62619904555
YMR246W,r_2199_1_fwd,982659.9635971688
YOR317W,r_2200_fwd,89322.95989437122
YMR246W,r_2201_1_rvs,41785.5829912593
YOR317W,r_2201_2_rvs,59170.08409977878
YMR246W,r_2202_1_fwd,75927.15701612327
YMR246W,r_2202_1_rvs,401420.16251532425
YOR317W,r_2202_2_rvs,63834.011702729484
YOR317W,r_2203_2_fwd,204623.28449004065
YMR246W,r_2204_1_fwd,177333.96372932853
YMR246W,r_2204_1_rvs,422929.294155657
YOR317W,r_2204_2_fwd,12610.523055887095
YMR246W,r_2205_1_rvs,553468.0413274711
YLR304C,r_2305_fwd,2478852.9306313475
YLR304C,r_2305_rvs,67598.85466747172
YKR067W,r_2308_2,3406.1029058399463
YKR067W,r_2310,28229.501494400527
YKR067W,r_2313_2,25417.930924984223
YKR067W,r_2316,8380.817541577519
YKR067W,r_2321,4625.716714410159
YKR067W,r_2322,12744.545293340894
YDL052C,r_2335_1,49201.09909955556
YDL052C,r_2337_1,10874.061057943049
YDL052C,r_2340_1,4065.8003080520602
YDL052C,r_2341_1,31855.283604823868
YDL052C,r_2342_1,11757.61352371564
YDL052C,r_2343_1,4387.256819709838
YPR113W,r_2458,129592.70234728302
YPR113W,r_2460,143500.3451489926
YPR113W,r_2461,613168.7707081984
YGR170W,r_2472,30748.95879166792
YGR170W,r_2479,282890.24205687945
YGR170W,r_2480,19138.195260316686
YGR170W,r_2482,25200.528929159558
YGR170W,r_2483,37730.176397104675
YGR157W,r_2489_1,48684.5329531342
YGR157W,r_2493_1,31966.602658240005
YGR157W,r_2494_1,10259.416565575817
YGR157W,r_2495_1,20636.3309319654
YMR313C,r_3264_3,2559.091351329875
YMR313C,r_3273_3,2216.7314690158455
YMR313C,r_3274_3,2405.0940788222756
YMR313C,r_3279_3,2553.3855999995503
YMR313C,r_3282_3,1942.0665992995266
YMR313C,r_3287_3,1871.0696125278273
YMR313C,r_3288_3,2197.1394726149665
YMR313C,r_3297_2,1358.7503693337164
YMR313C,r_3298,2529.770850059516
YMR313C,r_3300,1453.1676071322627
YMR313C,r_3301,1417.4570665249903
YMR313C,r_3312,2260.7727188977
YMR313C,r_3315,2217.2203427021814
YOR222W,r_1099_1_fwd,2609.7085037466536
YMR241W,r_1112_fwd,16059.04313456574
YMR241W,r_1112_rvs,18508.449726874842
YNL142W,r_1115_3_fwd,31556.14023916009
YNL142W,r_1115_3_rvs,34450.332963709494
YPR021C,r_1118,19280.704642789307
YKL217W,r_1136_fwd,370458.9020630065
YKR039W,r_1173_2_fwd,6540.379128531984
YKR039W,r_1173_2_rvs,22738.157473598854
YKR039W,r_1183_4_fwd,12501.67593316782
YKR039W,r_1184_2_rvs,2818.117700552582
YKR039W,r_1186_3_fwd,16044.040543655756
YBR068C,r_1192_1_rvs,142915.4897253072
YKR039W,r_1192_6_fwd,15185.207638924554
YKR039W,r_1199_3_rvs,49414.63814690306
YKR039W,r_1201_3_fwd,29577.535832592625
YKL217W,r_1206_rvs,24552.276040513647
YKL217W,r_1207,24087.308343075318
YKR039W,r_1211_6_fwd,100285.33611372241
YKR039W,r_1211_6_rvs,8382.538188899809
YKR039W,r_1214_7_fwd,263695.2940421053
YBR068C,r_1215_1_fwd,302255.5274098541
YBR068C,r_1215_1_rvs,219794.15857606984
YKR039W,r_1216_1_rvs,3706.780845843417
YKR039W,r_1217_4_rvs,7894.120462064023
YKR039W,r_1218_5_fwd,126749.77893594716
YKR039W,r_1218_5_rvs,127654.28105776217
YBR068C,r_1219_1_fwd,385915.12285664026
YBR068C,r_1219_1_rvs,2185975.1499804733
YKR039W,r_1219_4_fwd,34677.537295938666
YBR068C,r_1223_1_rvs,2199310.563855327
YKR039W,r_1223_5_fwd,120206.3837492834
YNR013C,r_1244_5_fwd,6731.235191824625
YKL174C,r_1250,3252.6636567714722
