criteria,pearson,p value,number,extra,rmse
3.9589586070991265,0.4676864294571286,1.196404753612643e-13,273.9375,63.625,13.85115326097263
4.1814214398280765,0.44321315388456567,1.111132259558918e-12,272.375,67.5,14.15396638297006
4.0815399269535595,0.43545636204246463,2.5852830152239393e-10,272.0,67.25,13.85115326097263
4.090038388607626,0.4710100029083674,1.7962595291310037e-15,275.75,65.1875,14.151377284604868
4.187061209663691,0.4424399612435751,4.390814723644819e-11,278.1875,69.625,14.133137396516185
3.9784004336166223,0.45242939017908856,3.0084262049086865e-13,277.375,64.3125,14.156199989348668
3.9508589403963215,0.45694592065557055,3.743881433398448e-13,277.5,62.75,14.110254774030077
3.9380890238574033,0.4784250906919475,1.5441266513134925e-11,278.8125,64.1875,13.85115326097263
3.937654466646441,0.4647560560515666,3.4561258880056517e-13,272.1875,63.25,13.851190701893564
4.177775469031112,0.44641341584267497,2.559970876584076e-13,278.0625,70.875,13.853458193289976
4.2074065516049695,0.4385346753845238,1.3005858024803888e-11,266.0,69.125,13.85115326097263
4.095279145240508,0.4423750199213173,1.228526552742798e-12,273.4375,65.5,13.984805686111098
4.017596619301409,0.44460471025161086,6.238874830024334e-13,270.5,66.375,14.150985617914428
4.079815879954797,0.46205294062668306,6.067956617888899e-12,270.5625,64.25,13.979988544224703
3.8852175958752952,0.4739838933782719,5.609394329062288e-14,268.8125,61.1875,13.926506935725868
4.101628387572008,0.4538388441147608,1.3680839877417411e-10,271.0,69.125,14.154079004381247
4.895877874173981,0.39156969719854745,1.3357846926969332e-09,261.9375,89.0,14.082688515868812
3.9262158203481774,0.4667991280368336,6.619175469149069e-15,274.5,63.4375,13.931828395728065
4.403781383233523,0.43688877390094266,7.435255263670639e-14,265.1875,74.5625,14.141233167082412
5.106716109383399,0.3743701286597392,4.294739201741404e-08,263.5,94.75,14.10607515663319
4.67789497482774,0.38368971457652434,7.594356467146296e-07,270.75,79.875,14.109531143069612
4.139969267341213,0.46604313117268975,6.851766812799355e-14,271.8125,66.75,13.85115326097263
4.216672142569034,0.43527755074668184,5.95602391363519e-13,265.5,70.25,14.156199989348666
4.510212041435276,0.4014371362753136,1.2450003147421788e-09,263.9375,75.8125,14.111318811273588
4.832388631129956,0.3890631125860389,1.8021273444777415e-08,262.375,83.8125,13.89958401262853
3.9635442470092,0.46482846278665835,1.8116862574003167e-13,278.0625,64.5,14.122104932497264
4.045343617375103,0.48721484532972525,1.1648703211704196e-15,279.375,67.6875,14.150471189810885
4.182479114452706,0.4261112148428868,1.5224868989180198e-10,265.9375,68.4375,14.153155362018026
4.071987064327377,0.450442743008972,4.350968187532483e-12,263.4375,65.3125,14.094308243652215
4.189211143660199,0.44408201427885086,1.0243807615755422e-13,274.5625,71.8125,13.984805686111098
4.103663167999522,0.44233934814134673,8.700759219760468e-12,271.875,67.5625,14.131792986757008
4.146230454641204,0.4305704308094048,1.1173792342467871e-11,260.9375,68.5625,14.112222713339028
5.032358323051479,0.4105123289871945,1.2570354921558706e-11,264.625,91.5,14.140205775952081
4.186896588581685,0.445591533434433,8.158756244024527e-14,268.875,68.8125,13.85115326097263
4.245170022211029,0.49386042482814174,1.1228722349036141e-13,272.875,69.0625,14.140042630538652
3.9472231376434186,0.44906652768524297,5.626244884531e-14,278.0625,65.0625,14.150828315128676
4.2125293476453,0.4352752676231864,1.7738722248797253e-11,270.4375,69.1875,13.984805686111098
4.003861721681321,0.4456423306246189,1.2666799545398928e-11,268.3125,63.25,14.118055211322751
3.943010304659967,0.4834611341732836,3.7565503196527795e-15,275.625,62.875,13.891117930138748
3.923366838855596,0.4404903534132279,2.8691338380896355e-11,267.0625,63.0625,14.11376899062926
4.349766641356552,0.4594567940234504,1.4181894131855398e-10,264.0625,69.8125,13.853682414264602
3.995069843376843,0.4580031745736773,5.4219714275474143e-14,279.0625,62.25,13.984805686111068
4.019525740841992,0.466138140438156,3.298306382197954e-13,276.75,64.6875,13.85115326097263
4.45499069544282,0.4397906109469016,3.5835691462165354e-12,265.375,73.9375,14.144197482864074
3.9768667961875095,0.4726625024864059,1.6586549316613948e-15,274.6875,64.5625,13.984805686111098
4.010417771335148,0.454093245629255,1.6534445961081973e-12,274.0,63.8125,14.05122276863512
3.869488854691809,0.4714833151589862,9.51008543733104e-15,276.5625,63.4375,13.85115326097263
4.046699156582612,0.47101327478046034,3.1691196773731024e-15,276.1875,63.1875,14.09187402671751
4.003110851634849,0.4794168337927775,8.971283292455859e-15,271.6875,63.0625,14.156199989348668
3.9835981200156767,0.472577473382067,1.608085565521818e-14,269.9375,62.125,14.049262110164012
4.012970969756714,0.4462547151965552,1.1500554375285959e-09,267.0625,64.3125,14.142769562010164
4.325806318174642,0.4090791627733688,1.2416048369512114e-09,265.375,72.4375,13.85115326097263
4.016795170748712,0.4588982754485641,9.084314713313274e-15,279.0625,67.5625,14.156199989348668
4.006477238787813,0.477377713054628,4.0453899153985444e-15,273.125,63.5625,14.154142481645907
3.947329036444452,0.45282198094591675,1.9799425545743123e-13,278.6875,61.6875,13.851153260972632
4.0992740371177945,0.4618328293993785,1.6861962399938077e-12,266.9375,65.0,14.054256484044355
4.026122855016761,0.482355279374909,4.199844404644787e-16,276.625,65.5625,13.85115326097263
3.9880201821298513,0.4475540722971996,2.0632609494563937e-12,271.875,62.375,13.85899388219434
4.024639224362797,0.4675318647291312,1.7468150933041541e-12,270.4375,65.125,14.14700516288294
4.2796936588557335,0.40894432717676765,7.582032524409304e-10,266.125,67.9375,13.898885087443587
3.932129847607928,0.4809561547181905,3.634738074598513e-15,277.875,63.875,13.984805686111098
4.024376344427147,0.45429444220121434,2.4876788953117524e-14,276.75,63.75,13.984805686111098
3.9958947707507178,0.4436892244966816,8.95787425452527e-13,274.5625,67.3125,13.858729591069544
4.455811042150667,0.4068418383994369,7.115985514783953e-11,252.5625,73.8125,14.113661306467458
4.032828698039612,0.47849814822028175,2.0163845724117713e-14,276.8125,65.875,13.85115326097263
4.05859992470889,0.4692548568266363,9.680374133825538e-12,272.5625,66.3125,14.15407900438126
3.9628452251120687,0.4583227812781684,5.451284314496218e-13,271.9375,63.75,13.920964232662593
3.9365563350661614,0.46740073237943747,3.470070339266714e-14,274.5,63.25,13.852958783304135
4.742870049990525,0.389120055654402,3.154978770558762e-09,268.5625,83.4375,13.899392914019009
4.318759125950673,0.4139542535549552,1.811557410014099e-08,271.75,74.125,14.153317067889922
4.366386727955411,0.4683801015146947,3.991674962023875e-14,232.5625,67.25,14.139253863506427
3.875673353613585,0.4373455612974489,8.16404541680392e-13,265.9375,60.0625,14.157205579876488
3.963391318223408,0.4567092408540421,1.3350830141375325e-13,273.0625,62.0,14.054256484044355
4.055258912651748,0.4609081712303774,3.2990635748137675e-11,271.0625,68.6875,14.15814654724169
3.9174896106752897,0.4739114657251755,5.687628921803503e-15,270.625,60.8125,14.15211586322875
3.9336481151123,0.47670750647582305,2.186219580675293e-14,270.0625,61.5625,14.054256484044355
4.318558633077684,0.4283687539428168,6.704569163119104e-12,271.9375,72.125,13.91902452836046
4.350103090362323,0.44503074749488974,4.539510762455219e-12,263.125,73.3125,14.151663038025012
4.401674144979166,0.4179230308915506,1.573179186345672e-10,274.1875,74.5,14.110254774030079
4.011521214921966,0.47249261847090207,4.766841314626282e-15,275.8125,64.0,14.14700516288294
4.128125490394639,0.4371886678494666,4.1628779102866555e-11,274.8125,69.9375,14.156199989348666
3.9554812692497694,0.46958869813281506,3.5225636336383493e-13,271.75,62.875,14.111158676095515
4.141307535363458,0.46658416541333786,5.844705457547585e-15,267.0625,66.0,14.111318811273588
4.265283553338252,0.46021377475760783,1.3182946675788367e-10,271.875,69.6875,14.14592354763832
4.659601269509756,0.4146545569326852,8.262066536057161e-12,267.25,79.0,14.152721364178772
4.505100962057925,0.42426591194863406,3.191945766310337e-10,277.75,78.6875,14.110254774030077
3.9239893964976815,0.4721542129883958,9.125692728623365e-14,277.125,63.3125,14.110254774030077
3.9777612546957752,0.4620509470554699,8.670199874915239e-12,277.8125,62.625,13.85115326097263
3.939962101830824,0.4655846265834021,1.4382350520703807e-14,277.375,62.125,14.139150071635596
3.9961583100849505,0.45706523072316096,5.675280364660292e-12,272.4375,63.9375,14.112222713339026
4.053354782533516,0.47135950135436616,1.7011129531639905e-14,274.5,64.125,14.110254774030077
3.9210687438265706,0.46417669022281566,1.3607250324948712e-14,274.4375,62.75,14.049262110164012
4.088981326051095,0.4391707661718437,8.6359491185922e-14,272.8125,69.0625,13.85115326097263
