epoch,acc
0,60.44444421099292
1,70.00000004967053
2,78.1111114554935
3,80.44444421927135
4,81.33333341942893
5,78.88888873987727
6,76.5555555621783
7,77.55555576748318
8,70.00000071194437
9,67.66666678918733
10,63.555555790662766
11,61.55555587675836
12,60.555555671453476
13,56.22222257985009
14,56.3333333366447
15,59.44444454378552
16,54.77777781585852
17,51.44444439146254
18,52.000000120864975
19,50.33333326379458
20,52.55555568469895
21,50.66666661037339
22,50.33333351214727
23,48.888888830939926
24,49.88888920181327
25,50.44444412406948
26,52.55555564330684
27,55.66666660209497
28,53.66666646053394
29,53.99999986920092
30,52.66666660706202
31,55.7777776900265
32,52.88888915545411
33,50.55555577079455
34,46.777778201633026
35,47.333333206673466
36,49.00000020861626
37,49.333333141273926
38,50.666666900118194
39,53.00000045034621
40,51.66666710542308
41,52.333333633012245
42,52.88888921754228
43,53.444445050425
44,54.222222252024544
45,51.8888889087571
46,53.111111372709274
47,55.88888939883974
48,48.777777660224174
49,51.8888889087571
50,50.33333305683401
51,51.88888882597288
52,50.444444765647255
53,49.777777741352715
54,47.33333331015375
55,49.44444406363699
56,47.33333297901683
57,49.33333330684238
58,50.00000004139211
59,49.33333359658718
60,48.111110884282326
61,54.22222250037723
62,49.44444406363699
63,52.55555543634627
64,47.66666669812467
65,52.44444463815954
66,51.444444557031
67,52.55555564330684
68,52.66666656566991
69,54.11111091574033
70,54.1111108329561
71,54.33333292603493
72,52.00000016225709
73,52.88888853457239
74,49.55555568966601
75,53.11111128992505
76,49.77777749300003
77,54.55555592974027
78,54.22222200367186
79,51.66666677428616
80,53.666666977935364
81,50.888889365726044
82,53.22222229507234
83,52.11111116740439
84,53.999999951985146
85,50.77777798804972
86,52.88888915545411
87,48.777778032753204
88,47.44444468783008
89,50.55555564661821
90,50.3333337398039
91,51.111111169060074
92,52.11111131227679
93,50.33333386398024
94,52.333333839972816
95,53.111111372709274
96,50.11111104653941
97,50.11111121210787
98,51.333333137962555
99,50.000000082784226
100,49.777777741352715
101,53.444445091817116
102,52.3333335088359
103,57.44444479544958
104,55.999999824497436
105,55.11111095547676
106,53.666666853759025
107,49.55555552409755
108,52.777777860562004
109,49.555555606881775
110,52.44444443119897
111,51.11111141741276
112,52.11111100183593
113,55.111110624339844
114,49.000000001655685
115,48.88888878954781
116,47.33333285484049
117,47.44444448086951
118,49.333333472410835
119,46.666666865348816
120,50.33333336727487
121,52.333333219091095
122,50.88888874484433
123,52.55555543634627
124,55.111111452182136
125,54.77777777446641
126,51.77777773804135
127,52.00000003808074
128,54.11111103991667
129,49.22222205334239
130,49.777777410215805
131,51.222222505344284
132,50.99999987416797
133,47.666666739516785
134,48.55555577410592
135,47.333333475722206
136,48.555555153224205
137,49.777777617176376
138,49.333333265450264
139,51.55555531382561
140,53.5555557658275
141,55.00000003311369
142,51.66666665010982
143,54.66666668653488
144,52.44444455537531
145,52.555555353562035
146,51.666666981246735
147,51.44444435007043
