epoch,g_loss
0,0.6160222440958023
1,0.6305691748857498
2,0.6568408633271853
3,0.6956609673798084
4,0.7398660613430871
5,0.7719684748186005
6,0.8058312642905447
7,0.8756036419007514
8,0.9038095043765174
9,0.9510060602592098
10,0.9402323770854208
11,0.9358293703860707
12,0.9424740359601047
13,0.8872810475942161
14,0.8654537571387159
15,0.8440280167592896
16,0.8207181188174419
17,0.7856506374147203
18,0.7703397982857294
19,0.7465997816373905
20,0.7265785919088457
21,0.6955760556997524
22,0.7120527670615249
23,0.6776050411992602
24,0.6690252013504505
25,0.6545509465245737
26,0.6448944362087382
27,0.6350541285549601
28,0.6391320367240243
29,0.6452238168567419
30,0.6435212697833776
31,0.6330368986560239
32,0.6252635877786411
33,0.6262309065916472
34,0.6082217602266206
35,0.6056058483405246
36,0.5961745261318154
37,0.5794362123641703
38,0.5874465399732193
39,0.5735236917518907
40,0.5757178540031115
41,0.5762958101307353
42,0.5658377309640249
43,0.5605069239520364
44,0.5638994628356563
45,0.5544991900937425
46,0.5709997032665544
47,0.5477356511271663
48,0.5585112710379891
49,0.5708808969292376
50,0.5548722667412626
51,0.5448185313079092
52,0.5629830857117971
53,0.5650451617936293
54,0.5484927296638489
55,0.5621096226904128
56,0.5490347490542464
57,0.5549544480939707
58,0.560065076376001
59,0.5529829487204552
60,0.5489594044370784
61,0.5552256022476487
62,0.5517792809340689
63,0.5556917699674765
64,0.5659755588405662
65,0.5646787027104033
66,0.5543462555441592
67,0.557028112312158
68,0.5582183632585738
69,0.5635477329293886
70,0.5719613544642925
71,0.5647183164126344
72,0.5777713321149349
73,0.570009759730763
74,0.5762691824800439
75,0.5722921888033549
76,0.5505833141505718
77,0.5702522711621391
78,0.5600365222328239
79,0.5563100597096814
80,0.5608513239357207
81,0.5435732064975632
82,0.5578558983074294
83,0.5558603376977973
84,0.5466575001676878
85,0.5479798453549544
86,0.531614578432507
87,0.5447844188246462
88,0.5466934910251035
89,0.5448752492666245
90,0.5605071062843004
91,0.5837164744734764
92,0.5710471003419824
93,0.572409359117349
94,0.5819912362429831
95,0.58440736350086
96,0.5595748308632109
97,0.5688137403792806
98,0.5651395602358712
99,0.5487785397304429
100,0.5531792578597864
101,0.5572937193016211
102,0.5686501603987482
103,0.5691197282738156
104,0.5685166973206732
105,0.556553567863173
106,0.5625626291665766
107,0.5694573720296224
108,0.5606213563846217
109,0.5616903781063027
110,0.5619897225664722
111,0.5613584642608961
112,0.564245724843608
113,0.5631851090325249
114,0.5755445969601473
115,0.5761010605427954
116,0.5763028769029511
117,0.5804969494541486
118,0.5772732719779015
119,0.610701382988029
120,0.5918854234947099
121,0.5920839657386144
122,0.588318992820051
123,0.5998391153083907
124,0.5976703547769122
125,0.6051751317249404
126,0.6067670658230782
127,0.612150602042675
128,0.6100354409880109
129,0.6168978429502912
130,0.6085648321443133
131,0.6153722686900033
132,0.6012680605053902
133,0.6230657017893262
134,0.6134520040618049
135,0.6133360217014948
136,0.6131543351544274
137,0.6157985602815946
138,0.6015637806720204
139,0.6148466699653201
140,0.617686534093486
141,0.6070730611681938
142,0.60912643538581
143,0.5996956750750542
144,0.5836512661642499
145,0.5990486641724905
146,0.6065032862954669
147,0.5881235351165136
148,0.5928737388716804
149,0.5834792951742808
150,0.5662074921031793
151,0.5693285018205643
152,0.5730753122932382
153,0.5685637825065188
154,0.5614594105217192
155,0.5519409324559901
156,0.5571567130585512
157,0.5539774613247977
158,0.5652451655930943
159,0.5604140154189534
160,0.5591930283440484
161,0.5632415811220804
162,0.5641961615118716
163,0.5764491226938036
164,0.5643382507065932
165,0.5691924951970577
166,0.5736037136779891
167,0.5772292705045806
168,0.574260353214211
169,0.5818416625261307
170,0.5960529661840863
171,0.5859671247502168
172,0.5786010904444588
173,0.5746904446019067
174,0.5720122270286083
175,0.5705245186885198
176,0.563903702629937
177,0.5506039940648608
178,0.5517500444418855
179,0.5509648041592704
180,0.547776116265191
181,0.5571387948261367
182,0.5494425718983015
183,0.5741712806953324
184,0.5658170961671405
185,0.5767793642977873
186,0.5676844558782048
187,0.566270632048448
188,0.5595828452044063
189,0.5560799299014939
190,0.5562207309736146
191,0.5568931731912825
192,0.5528389203051726
193,0.5535398142205344
194,0.5534401155180402
195,0.5679528837402662
196,0.5499411150813103
197,0.565282435880767
198,0.5551417846646574
199,0.5637845810916688
200,0.5644448573390642
201,0.551606125301785
202,0.5708420475323995
203,0.5374614116218355
204,0.5520252254274156
205,0.5414410258332888
206,0.5555994038780531
207,0.5532338528169526
208,0.5260018445551395
209,0.5364569974028401
210,0.5310719859682851
211,0.5248010009527206
212,0.5244992509898212
213,0.5285002638896307
214,0.539171278062794
215,0.5217758439895179
216,0.5405713762674067
217,0.5313267095221413
218,0.5307483685513338
219,0.5387502457532618
220,0.5320577393803332
221,0.5300080840372376
222,0.5176952048722241
223,0.5249820475776991
224,0.5367600996461179
225,0.5422927414377531
226,0.5299711041152477
227,0.5217271283682849
228,0.5239182429181205
229,0.5418337674604522
230,0.5422158382005162
231,0.5257201422419813
232,0.5261360162662135
233,0.5279616487936841
234,0.5347018134262826
235,0.5430542255441347
236,0.5342448647651408
237,0.5510201859805319
238,0.5466589083274206
239,0.548879353950421
240,0.5472992971125576
241,0.5459798785547415
242,0.5442290753126144
243,0.543503563437197
244,0.5371766475339731
245,0.5420023318794038
246,0.546186164021492
247,0.5432388650046455
248,0.5426981320811642
249,0.5413458148638407
250,0.5468094895283381
251,0.5415016652809249
252,0.5441240258514881
253,0.5348776790002981
254,0.5266397307730384
255,0.5318995685213141
256,0.5317867096099589
257,0.5333957547942797
258,0.5296073477301333
259,0.5211150006701549
260,0.523863915560974
261,0.5242825494044356
262,0.5424096261461576
263,0.5398832658926646
264,0.5381087511777878
265,0.5369087523884244
266,0.5305257481005456
267,0.5375746558937762
268,0.5452935999880234
269,0.5467986418969102
270,0.5473268023795552
271,0.5500907513002554
272,0.5451840166416433
273,0.5432835560705926
274,0.548977163930734
275,0.535846514834298
276,0.5440747833086385
277,0.5340080834511254
278,0.5387054932200246
279,0.535181084026893
280,0.5427715794907676
281,0.5271909886764156
282,0.5399863012135029
283,0.544819362875488
284,0.5386441590057479
285,0.5374819801913368
286,0.5455336901876662
287,0.5489929881360796
288,0.5463969988955392
289,0.5583306584093306
290,0.5411338514337937
291,0.5489417293833362
292,0.5494488721920384
293,0.5508807185623381
294,0.5349279354429908
295,0.5521973061064879
296,0.5573752100268999
297,0.5530245362056626
298,0.5420236564758751
299,0.5448203310370445
300,0.5549369951089224
301,0.5414026267826557
302,0.5352854933589697
303,0.5394404381513596
304,0.54826837985052
305,0.5613470975723531
306,0.5494087992442979
307,0.5492474544379446
308,0.5600803258518378
309,0.5577773882283105
310,0.5457541901204321
311,0.5513403113517497
312,0.5486541589101156
313,0.5548476042846838
314,0.553024063921637
315,0.5418780205978287
316,0.550759302245246
317,0.5591448135674
318,0.5464894854360156
319,0.5587460841569636
320,0.5562988205088509
321,0.5466595325205061
322,0.547127021683587
323,0.546761614167028
324,0.5501818031900458
325,0.5498993999014298
326,0.537124692565865
327,0.5411390629079607
328,0.5452831035686864
329,0.5410801106029086
330,0.5451712093005577
331,0.536365419626236
332,0.5358041686316332
333,0.5323717443065511
334,0.5344065589209398
335,0.5438529435131285
336,0.5472664485375086
337,0.5432404602567354
338,0.5540803567402892
339,0.558499979476134
340,0.5518433401981989
341,0.5569079634216096
342,0.5501233571105533
343,0.5474814607037438
344,0.5514506478276517
345,0.5372483109434446
346,0.5431710804502169
347,0.5360016284717454
348,0.5473679399324788
349,0.5388427639587058
350,0.5481369383633137
351,0.5472858506772253
352,0.5618819780647755
353,0.5548875075247552
354,0.557726312842634
355,0.5624677307075925
356,0.5625852507849535
357,0.5566889997571707
358,0.5458449402617084
359,0.5547954584989283
360,0.5478189703490999
361,0.555357038974762
362,0.5517787366277642
363,0.5527279041707516
364,0.5440801208217939
365,0.5469075453778108
366,0.5440835042132272
367,0.5322877760562632
368,0.5508800538049804
369,0.5488974952863322
370,0.539323226445251
371,0.5511970180604193
372,0.5350299438254701
373,0.5410572704341676
374,0.541959185567167
375,0.5450260813037554
376,0.5427223613692654
377,0.53530753383206
378,0.5512640964653757
379,0.5400528024054236
380,0.5524641457531188
381,0.5420516861809624
382,0.5461602802905772
383,0.5562128652301099
384,0.5515948368443383
385,0.5475642631451288
386,0.5556650488740869
387,0.5516632162034512
388,0.5576080741981665
389,0.557199216965172
390,0.5501434430480003
391,0.5521627527972063
392,0.5526804298990302
393,0.5478588802119096
394,0.5533686942524381
395,0.5420588532255756
396,0.5484699296454588
397,0.5347900334745646
398,0.5461044580572181
399,0.5518051758408546
400,0.5451317719287343
401,0.5552372034225199
402,0.5466263277663125
403,0.5585616727670034
404,0.5453410396973292
405,0.5574632750617133
406,0.5577074053386847
407,0.5599573370483186
408,0.5531577000187503
409,0.560382604598999
410,0.5561185735795233
411,0.5582989897165034
412,0.5650762153996362
413,0.5660825471083323
414,0.578768365085125
415,0.584824381603135
416,0.5694606200688415
417,0.5479596671130922
418,0.5740299158626132
419,0.5641874683399996
420,0.5634646308090951
421,0.5601916110350026
422,0.5497391008668475
423,0.5514453020360734
424,0.5602955553266737
425,0.5573340447412597
426,0.5546707722047964
